1.0.-Etxebizitzen salerosketa kopurua. 2019ko 3. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2019;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;122.540,00;21.104,00;101.436,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.808,00;777,00;4.031,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;23.960,00;4.174,00;19.786,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.161,00;569,00;2.592,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.902,00;421,00;1.481,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.394,00;542,00;2.852,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.401,00;1.143,00;4.258,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.410,00;174,00;1.236,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.896,00;917,00;3.979,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.829,00;1.078,00;3.751,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.114,00;2.784,00;17.330,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.767,00;155,00;1.612,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.988,00;853,00;3.135,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;17.427,00;3.557,00;13.870,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.380,00;669,00;3.711,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.363,00;359,00;1.004,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;806,00;151,00;655,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;18.934,00;2.781,00;16.153,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;530,00;61,00;469,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;524,00;83,00;441,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;553,00;41,00;512,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;153,00;16,00;137,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.144,00;198,00;946,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.622,00;367,00;1.255,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;599,00;67,00;532,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;29,00;2,00;27,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;120,00;5,00;115,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.866,00;290,00;1.576,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.158,00;219,00;939,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;180,00;90,00;90,00;;;;
Eskualde Egitura/Áreas funcionales;Eibar;101,00;28,00;73,00;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;43,00;12,00;31,00;;;;
Eskualde Egitura/Áreas funcionales;Igorre;17,00;3,00;14,00;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;14,00;10,00;4,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;77,00;2,00;75,00;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;88,00;31,00;57,00;;;;
Eskualde Egitura/Áreas funcionales;Mungia;12,00;2,00;10,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;104,00;4,00;100,00;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;118,00;1,00;117,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;36,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;53,00;10,00;43,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;145,00;13,00;132,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;154,00;10,00;144,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;49,00;4,00;45,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;78,00;19,00;59,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;22,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;65,00;6,00;59,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;88,00;6,00;82,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;73,00;6,00;67,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;93,00;12,00;81,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;176,00;50,00;126,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;93,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;70,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;35,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;55,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;98,00;6,00;92,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;76,00;14,00;62,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;69,00;6,00;63,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;53,00;14,00;39,00;;;;
;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2019ko 3. hiruhilekoa;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2019;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;1.756,96;1.796,55;1.748,67;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.668,64;2.806,27;2.648,18;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.400,27;1.462,64;1.386,90;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.456,59;1.909,10;1.353,52;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.212,41;1.332,18;1.179,68;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.525,92;2.357,63;2.558,77;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.808,74;1.551,39;1.877,71;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.582,65;1.766,35;1.555,54;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.056,82;1.317,61;999,61;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;806,61;863,96;789,81;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.194,43;2.190,43;2.195,09;;;;
