1.0.-Etxebizitzen salerosketa kopurua. 2017ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2017;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;113.738,00;20.490,00;93.248,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.593,00;894,00;3.699,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;21.313,00;4.319,00;16.994,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.074,00;544,00;2.530,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.877,00;432,00;1.445,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.787,00;724,00;3.063,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.388,00;1.096,00;4.292,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.371,00;232,00;1.139,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.871,00;1.109,00;3.762,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.052,00;763,00;3.289,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;19.666,00;2.441,00;17.225,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.670,00;147,00;1.523,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.543,00;971,00;2.572,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;16.690,00;3.612,00;13.078,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.259,00;513,00;2.746,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.382,00;306,00;1.076,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;812,00;143,00;669,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;16.390,00;2.244,00;14.146,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;526,00;126,00;400,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;248,00;42,00;206,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;843,00;43,00;800,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;127,00;15,00;112,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.090,00;247,00;843,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.686,00;410,00;1.276,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;584,00;131,00;453,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;39,00;2,00;37,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;98,00;9,00;89,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.200,00;340,00;1.860,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;729,00;167,00;562,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;167,00;70,00;97,00;;;;
Eskualde Egitura/Áreas funcionales;Eibar;126,00;41,00;85,00;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;48,00;8,00;40,00;;;;
Eskualde Egitura/Áreas funcionales;Igorre;28,00;18,00;10,00;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;17,00;10,00;7,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;61,00;1,00;60,00;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;97,00;43,00;54,00;;;;
