1.0.-Etxebizitzen salerosketa kopurua. 2016ko 4. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2016;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;93.423,00;16.072,00;77.351,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.450,00;736,00;2.714,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;18.149,00;3.135,00;15.014,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.514,00;484,00;2.030,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.613,00;381,00;1.232,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.374,00;603,00;2.771,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.803,00;1.138,00;3.665,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.163,00;229,00;934,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.910,00;752,00;3.158,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.063,00;456,00;2.607,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15.729,00;1.775,00;13.954,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.516,00;138,00;1.378,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.161,00;894,00;2.267,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;13.105,00;2.816,00;10.289,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.648,00;407,00;2.241,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;985,00;185,00;800,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;642,00;121,00;521,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;13.598,00;1.822,00;11.776,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;359,00;82,00;277,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;250,00;39,00;211,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;709,00;124,00;585,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;96,00;20,00;76,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;806,00;176,00;630,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.171,00;293,00;878,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;402,00;95,00;307,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;22,00;2,00;20,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;87,00;5,00;82,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.677,00;346,00;1.331,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;589,00;114,00;475,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;80,00;35,00;45,00;;;;
Eskualde Egitura/Áreas funcionales;Eibar;106,00;60,00;46,00;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;53,00;13,00;40,00;;;;
Eskualde Egitura/Áreas funcionales;Igorre;11,00;4,00;7,00;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;15,00;8,00;7,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;47,00;2,00;45,00;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;73,00;23,00;50,00;;;;
Eskualde Egitura/Áreas funcionales;Mungia;13,00;8,00;5,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;92,00;15,00;77,00;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;124,00;4,00;120,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;25,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;40,00;4,00;36,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;119,00;26,00;93,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;106,00;33,00;73,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;28,00;2,00;26,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;31,00;14,00;17,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;17,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;49,00;1,00;48,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;1,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;84,00;5,00;79,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;40,00;14,00;26,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;58,00;19,00;39,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;164,00;86,00;78,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;66,00;1,00;65,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;30,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;53,00;2,00;51,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;117,00;2,00;115,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;130,00;19,00;111,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;101,00;2,00;99,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;40,00;11,00;29,00;;;;
;;;;;;;;
;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2016ko 4. hiruhilekoa;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 04 trimestre 2016;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;1.541,45;1.582,57;1.533,04;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.416,67;2.464,85;2.406,36;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.272,36;1.319,84;1.262,45;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.214,32;1.531,90;1.132,12;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.136,21;1.147,79;1.132,67;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.272,92;2.453,97;2.232,74;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.528,85;1.253,69;1.615,68;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.420,44;1.306,44;1.449,51;;;;
