1.0.-Etxebizitza salerosketak. 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;6,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;7,00;2,00;5,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;44,00;16,00;28,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;46,00;28,00;18,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;6,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;23,00;18,00;5,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;10,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;27,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;5,00;2,00;3,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;35,00;5,00;30,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;37,00;22,00;15,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;24,00;13,00;11,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;29,00;8,00;21,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;25,00;1,00;24,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;8,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;21,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;38,00;6,00;32,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;62,00;19,00;43,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;42,00;2,00;40,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;9,00;3,00;6,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;1.400,16;1.371,94;1.422,93;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.405,12;2.523,92;2.354,24;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.195,93;1.195,91;1.195,95;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.277,85;1.394,86;1.221,21;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.276,02;1.400,87;1.157,21;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.948,07;2.017,29;1.883,54;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.399,43;1.342,81;1.464,62;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.425,02;1.454,49;1.388,37;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;980,90;1.095,09;891,99;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;721,33;798,74;652,55;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.713,38;1.658,24;1.743,24;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;662,60;794,94;601,48;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.149,85;1.118,92;1.201,19;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.085,82;2.055,06;2.104,22;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;973,03;973,34;972,70;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.554,65;1.780,38;1.382,19;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;991,92;1.123,95;889,24;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.119,62;1.150,32;1.093,47;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.713,69;1.967,50;1.597,24;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.583,36;2.916,87;3.838,03;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.186,97;2.957,66;2.071,51;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.958,22; n.d. ; n.d. ;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.193,73;2.205,91;2.189,25;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.460,26;2.578,35;2.382,57;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.695,41;1.951,28;1.587,27;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.623,22; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.944,12; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.381,37;2.637,49;2.283,84;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.985,73;2.494,14;3.191,73;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.513,92;2.772,86;1.897,38;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.060,75;2.321,03;1.855,69;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.265,36;2.299,46;2.238,08;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre; -     ; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;2.549,00; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;2.117,53; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.930,43; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.717,61; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.982,68; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.668,65;3.097,49;2.566,10;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.113,87; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.357,38; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.828,92; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.711,92;1.911,51;1.469,57;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.952,97; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.577,23; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;3.882,78; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.341,56; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;1.750,00; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;3.743,02; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;3.644,21;3.575,65;3.740,18;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;1.868,78; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.471,87; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;1.986,57; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.450,73; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.242,88; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.047,63; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;2.897,53;3.836,16;2.527,77;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;1.936,44; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.154,91; n.d. ; n.d. ;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;1.860,45;1.427,68;1.357,85;1.409,48;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.516,29;2.404,23;2.369,70;2.298,11;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.545,11;1.151,27;1.113,75;1.263,47;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.909,34;1.321,19;1.286,67;1.269,67;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.707,38;1.307,30;1.266,33;1.316,86;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.072,32;1.855,12;1.767,73;1.934,81;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.766,84;1.451,42;1.348,35;1.257,95;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.358,57;1.578,34;1.395,76;1.488,97;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.009,63;938,54;1.110,42;1.113,67;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;952,00;802,09;837,78;769,59;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.082,48;1.676,90;1.646,89;1.785,31;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;582,10;708,66;800,12;750,21;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.699,10;1.178,17;1.109,75;1.117,50;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.357,95;1.667,02;1.552,28;2.194,55;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.295,63;1.127,61;1.021,69;898,03;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.815,59;1.501,36;1.652,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ;916,91;1.100,18;1.029,56;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.326,27;1.166,71;1.022,67;1.039,03;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;
Nazionala/Nacional;ESPAÑA;1.454,12;1.134,14;1.159,73;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.416,35;2.224,74;1.959,12;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.241,94;989,91;1.010,60;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.350,31;1.211,69;643,22;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.347,15;1.062,90;780,19;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.903,32;1.601,13;2.503,76;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.024,86;835,33;428,54;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;737,00;706,34;368,52;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.171,36;993,42;945,40;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.080,73;793,36;511,08;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;802,50;656,35;494,80;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.384,12;1.583,68;1.261,96;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.457,67;1.320,40;1.087,25;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.741,65;1.410,45;1.663,41;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.116,33;1.667,94;2.033,82;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;988,76;990,33;747,60;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.609,38;1.348,20;1.346,43;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.109,41;1.142,16;1.181,02;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;434,28;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;302,28;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;319,21;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;539,85;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;-10,79;0,30;-1,60;7,95;2,59;4,10;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-6,61;0,60;0,10;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-9,27;0,30;-3,80;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-13,47;0,20;-2,20;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-5,66;0,20;-1,80;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-2,78;0,50;-2,20;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-6,91;-0,40;-1,60;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-9,22;0,60;-2,90;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-11,15;0,50;-3,90;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;-15,44;0,20;-1,40;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-12,80;0,20;-0,70;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-13,48;0,00;-6,30;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-13,37;0,50;-1,40;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-9,49;0,20;-0,80;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-12,98;0,40;-3,50;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-7,89;0,00;-2,30;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-17,09;0,10;-1,10;7,95;2,59;4,10;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-12,14;0,20;-1,10;7,95;2,59;4,10;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2013ko 4. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2013ko 4. hiruhilekoa;;;;;
1.4.- Compraventas de extranjeros. 04 trimestre 2013;;;;;;1.4.- Compraventas de extranjeros. 04 trimestre 2013;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;
ESPAÑA;España;57.932,00;0,01;-;;EUSKADI/PAÍS VASCO;España;2.018,00;0,99;-;
ESPAÑA;Reino Unido;1.405,00;0,00;0,00;;EUSKADI/PAÍS VASCO;China;6,00;0,00;0,00;
ESPAÑA;Francia;875,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,00;
ESPAÑA;Rusia;688,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Reino Unido;3,00;0,00;0,00;
ESPAÑA;Alemania;652,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,00;
ESPAÑA;Belgica;633,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Rusia;2,00;0,00;0,00;
ESPAÑA;Suecia;500,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Alemania;1,00;0,00;0,00;
ESPAÑA;Noruega;441,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,00;
ESPAÑA;Italia;295,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Italia;1,00;0,00;0,00;
ESPAÑA;China;233,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Filipinas;1,00;0,00;0,00;
ESPAÑA;Paises Bajos (Holand;224,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Suecia;1,00;0,00;0,00;
ESPAÑA;Argelia;217,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Bolivia;1,00;0,00;0,00;
ESPAÑA;Marruecos;183,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;2,00;0,00;0,00;
ESPAÑA;Rumania;174,00;0,00;0,00;;;;;;;
ESPAÑA;Suiza;129,00;0,00;0,00;;;;;;;
ESPAÑA;Dinamarca;127,00;0,00;0,00;;;;;;;
ESPAÑA;Ucrania;113,00;0,00;0,00;;;;;;;
ESPAÑA;Polonia;94,00;0,00;0,00;;;;;;;
ESPAÑA;Finlandia;89,00;0,00;0,00;;;;;;;
ESPAÑA;Irlanda;86,00;0,00;0,00;;;;;;;
ESPAÑA;Estados Unidos de Am;53,00;0,00;0,00;;;;;;;
ESPAÑA;Gainerakoa/Resto;1.300,00;0,00;0,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;
Nazionala/Nacional;ESPAÑA;3.749,00;15,82;11,33;36,45;36,40;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.565,00;7,04;10,14;24,79;58,03;;;;;
;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2013ko 4. hiruhilekoa;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;
Nazionala/Nacional;ESPAÑA;39,28;6,32;49,23;5,17;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;26,98;5,38;63,16;4,48;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;45,98;2,47;46,81;4,74;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;28,50;3,70;58,34;9,46;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;38,14;10,58;40,23;11,05;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;47,40;0,41;50,79;1,40;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;51,70;1,71;45,17;1,42;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;51,39;3,78;41,34;3,49;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;37,09;4,49;48,66;9,76;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;43,61;2,23;50,21;3,95;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;31,49;1,85;58,83;7,83;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;24,40;13,96;53,20;8,44;;;;;;
