1.0.-Etxebizitza salerosketak. 2013ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;72.560,00;33.087,00;39.473,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.157,00;698,00;1.459,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;14.592,00;7.071,00;7.521,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.863,00;600,00;1.263,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.248,00;608,00;640,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.958,00;936,00;1.022,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.849,00;2.056,00;1.793,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.006,00;555,00;451,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.316,00;1.379,00;1.937,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2.692,00;1.234,00;1.458,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;10.217,00;3.406,00;6.811,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.168,00;448,00;720,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.972,00;1.832,00;1.140,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;11.388,00;5.816,00;5.572,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.038,00;1.022,00;1.016,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;905,00;430,00;475,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;670,00;301,00;369,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;10.521,00;4.695,00;5.826,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;188,00;75,00;113,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;193,00;59,00;134,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;383,00;49,00;334,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;54,00;22,00;32,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;399,00;121,00;278,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;824,00;354,00;470,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;211,00;85,00;126,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;15,00;2,00;13,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;53,00;6,00;47,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.005,00;271,00;734,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;331,00;103,00;228,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;110,00;86,00;24,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;70,00;32,00;38,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;37,00;21,00;16,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;2,00;1,00;1,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;11,00;n.d.;n.d.;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;24,00;1,00;23,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;52,00;28,00;24,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;19,00;15,00;4,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;38,00;7,00;31,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;63,00;11,00;52,00;;;;;;;
