1.0.-Etxebizitza salerosketak. 2014ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2014;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Estatukoa/Estatal;ESPAÑA;79.561,00;27.434,00;52.127,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.904,00;968,00;1.936,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;16.006,00;6.181,00;9.825,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.953,00;365,00;1.588,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.317,00;583,00;734,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.064,00;659,00;1.405,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.075,00;1.715,00;2.360,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.018,00;352,00;666,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.780,00;1.411,00;2.369,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.025,00;1.072,00;1.953,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;11.975,00;2.495,00;9.480,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.237,00;322,00;915,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.948,00;1.552,00;1.396,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.883,00;3.678,00;7.205,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.660,00;1.131,00;1.529,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;999,00;405,00;594,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;528,00;208,00;320,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.189,00;4.337,00;7.852,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;391,00;207,00;184,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;287,00;89,00;198,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;537,00;82,00;455,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;101,00;15,00;86,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;669,00;229,00;440,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;919,00;337,00;582,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;432,00;212,00;220,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;13,00;1,00;12,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;79,00;21,00;58,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.304,00;346,00;958,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;605,00;218,00;387,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;60,00;28,00;32,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;49,00;26,00;23,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;48,00;25,00;23,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;4,00;2,00;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;10,00;9,00;1,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;52,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;83,00;32,00;51,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;16,00;13,00;3,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;64,00;5,00;59,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;85,00;21,00;64,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;7,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;45,00;9,00;36,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;91,00;47,00;44,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;81,00;36,00;45,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;36,00;9,00;27,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;95,00;75,00;20,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;12,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;75,00;31,00;44,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;10,00;1,00;9,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;75,00;17,00;58,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;67,00;27,00;40,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;44,00;13,00;31,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;79,00;6,00;73,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;51,00;3,00;48,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;33,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;36,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;85,00;14,00;71,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;120,00;21,00;99,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;89,00;34,00;55,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;35,00;2,00;33,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2014ko 3. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2014;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Estatukoa/Estatal;ESPAÑA;1.435,65;1.419,71;1.444,04;;;;;;
