1.0.-Etxebizitzen salerosketa kopurua. 2018ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;77,00;1,00;76,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;114,00;1,00;113,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;42,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;82,00;1,00;81,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;154,00;6,00;148,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;155,00;28,00;127,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;178,00;2,00;176,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;67,00;22,00;45,00;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2018ko 2. hiruhilekoa;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;1.666,58;1.743,83;1.650,98;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.460,80;2.555,29;2.442,66;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.328,06;1.387,92;1.316,42;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.279,53;1.759,47;1.187,42;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.191,54;1.391,79;1.143,38;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.344,23;2.339,88;2.345,01;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.890,59;1.900,89;1.887,71;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.396,61;1.517,95;1.373,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.055,18;1.182,38;1.028,33;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;783,43;919,94;754,56;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.053,39;2.043,67;2.054,98;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;681,46;713,87;678,34;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.252,40;1.209,77;1.264,53;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.577,95;2.288,22;2.655,56;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;966,16;968,55;965,69;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.467,72;1.298,95;1.500,76;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.161,88;1.502,19;1.033,81;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.239,38;1.667,48;1.171,77;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.843,97;2.270,76;1.800,11;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.374,56;3.846,54;4.459,04;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.484,66;3.004,25;2.422,65;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.274,90;673,32;1.347,82;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.227,64;2.349,24;2.183,67;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.334,80;2.431,57;2.316,91;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.813,38;2.161,46;1.777,46;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.391,38; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.750,48;1.845,50;1.737,07;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.434,04;2.799,22;2.385,39;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.294,69;2.875,92;3.442,59;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.144,18;2.012,65;2.236,93;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.821,81;1.687,98;1.874,68;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.333,47; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;2.082,06; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;672,36; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.439,54; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.731,42;1.563,07;1.794,55;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.888,00; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.058,80; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.837,02; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.920,56; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.373,85; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.781,35;1.925,90;1.768,21;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.518,64; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.874,04; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.841,05;2.566,58;1.260,63;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.481,54; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.452,44;4.682,14;5.632,18;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.198,72; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.677,38; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.916,25; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.053,02;3.379,58;2.909,18;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.683,16; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.215,55; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.575,32; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.253,51; n.d. ; n.d. ;;;;;
