1.0.-Etxebizitzen salerosketa kopurua. 2020ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa/ Rioja Alavesa;23,00;9,00;14,00;;;;;;
Eskualde Egitura/Áreas funcionales;Aiara/ Ayala;60,00;3,00;57,00;;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena/ Alto Deba;65,00;15,00;50,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;4,00;1,00;3,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;49,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kosta;99,00;1,00;98,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;31,00;1,00;30,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;54,00;3,00;51,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;113,00;23,00;90,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;143,00;10,00;133,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;42,00;1,00;41,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;42,00;7,00;35,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;9,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;21,00;1,00;20,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;47,00;2,00;45,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;60,00;10,00;50,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;54,00;1,00;53,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;63,00;3,00;60,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;81,00;2,00;79,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;60,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;36,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;61,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;226,00;17,00;209,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;95,00;12,00;83,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;117,00;3,00;114,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;34,00;1,00;33,00;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.747,97;2.022,60;1.671,69;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.801,71;3.399,68;2.671,92;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.474,67;1.805,17;1.376,75;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.469,54;2.106,00;1.278,27;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.327,03;1.657,43;1.174,41;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.474,49;2.537,88;2.457,35;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.810,19;1.711,01;1.837,42;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.546,80;1.650,45;1.514,23;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.047,55;1.316,49;994,33;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;819,64;1.055,40;764,74;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.222,95;2.505,68;2.160,54;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;761,74;1.145,83;717,68;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.287,51;1.227,51;1.304,23;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.729,56;2.478,59;2.853,23;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;974,28;1.077,79;948,59;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.670,37;1.816,73;1.617,53;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.049,19;1.324,35;981,30;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.330,10;1.925,07;1.210,52;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.153,02;2.249,29;2.147,88;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.543,72;4.949,85;4.425,33;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.640,95;3.151,82;2.611,07;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.584,84;1.318,18;1.622,45;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.695,86;2.965,33;2.635,77;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.769,00;3.411,89;2.536,54;;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea/ Álava Central;2.107,95;2.228,72;2.100,78;;;;;;
Eskualde Egitura/Áreas funcionales;Enkanterri/ Encartaciones;2.071,39; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;2.073,36; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitarra/ Bilbao Metropolitano;2.764,23;3.493,07;2.603,35;;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Beherea/ Donostialdea-Bajo Bidasoa;3.647,28;4.032,06;3.546,87;;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;2.495,08;2.926,72;2.216,61;;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena/ Bajo Deba;2.276,11;2.901,66;1.806,95;;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;2.839,16; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;2.226,25; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa/ Rioja Alavesa;794,17; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Aiara/ Ayala;1.747,05; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena/ Alto Deba;1.805,43; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;3.082,85; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;2.068,08; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kosta;3.250,50; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.559,60; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.338,92; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.390,08; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.829,66; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.039,56; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.912,46; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.266,54; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.620,27; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.427,78; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.905,62; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.899,53; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.822,16; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.893,35; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.343,97; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.915,99; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.643,37; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.274,21; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.903,63; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.198,18; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.378,36; n.d. ; n.d. ;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;2.491,05;1.903,03;1.776,95;1.754,03;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.505,99;2.555,53;2.520,81;2.774,98;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.433,57;1.494,81;1.415,25;1.509,43;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.793,31;1.350,68;1.562,25;1.652,91;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.483,72;1.210,16;1.227,27;1.436,72;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.647,11;2.830,48;2.623,10;2.512,79;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.695,24;1.897,12;1.767,19;1.540,07;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.984,82;1.681,35;1.514,96;1.613,38;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.114,40;1.129,25;1.143,61;1.172,38;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.419,38;885,24;791,66;908,41;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.710,17;2.393,99;2.272,52;2.373,47;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;698,06;812,06;961,04;861,69;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.696,24;1.445,90;1.339,49;1.308,48;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.098,65;2.819,77;2.582,57;2.717,83;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.158,17;1.046,57;1.060,09;924,30;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2.263,97;1.961,26;1.787,76;1.718,91;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.047,59;1.081,15;1.022,46;1.084,07;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.674,19;1.315,63;1.337,60;1.248,72;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.854,89;1.418,93;1.270,82;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.794,10;2.898,02;3.014,58;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.561,80;1.220,51;1.101,28;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.602,81;1.248,04;700,68;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.380,58;1.305,25;954,07;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.437,44;2.283,56;3.045,21;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.065,80;1.122,79;585,12;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;874,67;599,88;439,98;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.369,82;1.066,48;882,03;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.155,98;919,89;546,05;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;888,88;812,20;591,54;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.816,78;2.021,86;1.493,73;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.610,71;1.298,50;1.135,04;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.357,19;1.731,48;1.719,08;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.833,58;1.941,11;2.480,30;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;992,97;1.047,22;762,43;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.776,14;1.433,57;1.134,10;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.337,02;1.469,65;1.193,71;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;414,41;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;217,37;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;709,40;;;;;;;;
Lurraldea/TTHH;BIZKAIA;466,68;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;2,68;-0,40;-2,40;-27,35;-0,23;0,29;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;7,13;-0,20;-2,10;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,82;-0,30;-1,50;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;5,96;-0,50;-3,00;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;4,01;-0,30;-1,80;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;6,96;-0,50;-6,40;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;0,00;0,30;-5,90;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,75;-0,40;-3,00;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3,42;-0,60;-2,10;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,69;-0,60;-1,60;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,54;-0,50;-3,40;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;5,22;0,10;-2,20;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1,93;-0,30;-1,50;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1,56;-0,50;-1,50;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-4,69;-0,40;-0,90;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;8,24;-0,70;-0,80;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1,25;-0,70;-2,90;-27,35;-0,23;0,29;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,14;-0,30;-2,80;-27,35;-0,23;0,29;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 3. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
ESPAÑA;España;89.841,00;0,89;-;;;;;;
ESPAÑA;Reino Unido;1.487,00;0,01;0,13;;;;;;
ESPAÑA;Francia;1.032,00;0,01;0,09;;;;;;
ESPAÑA;Alemania;946,00;0,01;0,08;;;;;;
ESPAÑA;Belgica;944,00;0,01;0,08;;;;;;
ESPAÑA;Marruecos;750,00;0,01;0,07;;;;;;
ESPAÑA;Rumania;554,00;0,01;0,05;;;;;;
ESPAÑA;Italia;540,00;0,01;0,05;;;;;;
ESPAÑA;Suecia;509,00;0,01;0,05;;;;;;
ESPAÑA;Holanda;421,00;0,00;0,04;;;;;;
ESPAÑA;China;256,00;0,00;0,02;;;;;;
ESPAÑA;Rusia;247,00;0,00;0,02;;;;;;
ESPAÑA;Polonia;201,00;0,00;0,02;;;;;;
ESPAÑA;Noruega;180,00;0,00;0,02;;;;;;
ESPAÑA;Ucrania;158,00;0,00;0,01;;;;;;
ESPAÑA;Suiza;126,00;0,00;0,01;;;;;;
ESPAÑA;Dinamarca;126,00;0,00;0,01;;;;;;
ESPAÑA;Irlanda;121,00;0,00;0,01;;;;;;
ESPAÑA;Bulgaria;116,00;0,00;0,01;;;;;;
ESPAÑA;Argelia;100,00;0,00;0,01;;;;;;
ESPAÑA;Estados Unidos;90,00;0,00;0,01;;;;;;
ESPAÑA;Gainerakoa/Resto;2.368,00;0,02;0,21;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 3. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
EUSKADI/PAÍS VASCO;España;4.486,00;0,98;-;;;;;;
EUSKADI/PAÍS VASCO;Rumania;13,00;0,00;0,17;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;5,00;0,00;0,07;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;4,00;0,00;0,05;;;;;;
EUSKADI/PAÍS VASCO;China;4,00;0,00;0,05;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;4,00;0,00;0,05;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;3,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Portugal;3,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;3,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Brasil;2,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Polonia;2,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Argentina;2,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Italia;2,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Francia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Bangladesh;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Armenia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;18,00;0,00;0,24;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2020ko 3. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;5.789,00;9,34;11,11;11,49;68,06;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;8.267,00;3,96;7,47;9,68;78,89;;;;
;;;;;;;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2020ko 3. hiruhilekoa;;;;;;;;;;
2.1.- Distribución de compraventas (%). 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;
Nazionala/Nacional;ESPAÑA;19,76;2,40;71,67;6,17;;;;;
