1.0.-Etxebizitzen salerosketa kopurua. 2020ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2020;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;102.197,00;22.649,00;79.548,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.707,00;952,00;3.755,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;20.455,00;4.781,00;15.674,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.009,00;646,00;2.363,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.079,00;629,00;1.450,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.642,00;551,00;2.091,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.975,00;841,00;3.134,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.402,00;325,00;1.077,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.671,00;819,00;3.852,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.557,00;962,00;3.595,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15.186,00;2.715,00;12.471,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.995,00;254,00;1.741,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.507,00;753,00;2.754,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;13.912,00;4.891,00;9.021,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.927,00;764,00;3.163,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.155,00;356,00;799,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;812,00;158,00;654,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;14.206,00;2.252,00;11.954,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;966,00;60,00;906,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;493,00;230,00;262,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;771,00;48,00;723,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;145,00;18,00;127,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;857,00;152,00;705,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.271,00;329,00;942,00;;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea/ Álava Central;1.038,00;68,00;970,00;;;;;;
Eskualde Egitura/Áreas funcionales;Enkanterri/ Encartaciones;35,00;2,00;33,00;;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;104,00;8,00;96,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitarra/ Bilbao Metropolitano;1.817,00;313,00;1.504,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Beherea/ Donostialdea-Bajo Bidasoa;928,00;314,00;613,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;113,00;42,00;71,00;;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena/ Bajo Deba;116,00;47,00;69,00;;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;35,00;7,00;28,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;17,00;7,00;10,00;;;;;;
