1.0.-Etxebizitza salerosketak. 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.575,51; n.d. ; n.d. ;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.555,34;2.629,35;2.517,92;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.437,05;2.544,75;2.342,22;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.836,21;2.124,80;1.743,86;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;2.196,02; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.975,96; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.460,70;2.595,12;2.401,41;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.156,14;2.834,72;3.284,97;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.052,66;2.074,16;2.015,63;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.098,20; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.806,47;2.837,45;2.723,07;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.717,95; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;976,88; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.752,10; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.980,20; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.563,73; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.839,56; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.225,61;3.053,05;3.406,66;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.627,60; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.700,25; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.750,83; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.786,88;1.708,16;1.815,14;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.704,60; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.610,15; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;3.089,24; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;4.648,15; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;2.741,76; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;3.758,23;3.470,59;3.816,82;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;3.685,25;3.638,75;3.737,82;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.470,52;2.221,66;2.675,47;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.813,35; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.965,98; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.345,46; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.334,14; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.778,45; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;2.934,08; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.255,52; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.204,84; n.d. ; n.d. ;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;1.867,17;1.544,46;1.398,82;1.401,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.454,09;2.472,38;2.503,17;2.287,11;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.386,84;1.256,09;1.148,92;1.273,59;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.365,21;1.370,92;1.201,75;1.225,67;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.660,81;1.300,49;1.241,49;1.334,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.016,31;1.721,33;1.697,94;1.723,71;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.894,54;1.491,80;1.228,92;1.185,53;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.738,55;1.683,44;1.592,78;1.533,87;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.377,02;1.109,93;1.158,74;1.126,04;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.398,93;849,14;826,04;774,14;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.087,46;1.750,63;1.649,28;1.835,50;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;528,38;749,55;734,77;773,26;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.584,57;1.316,21;1.168,86;1.103,95;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.536,94;2.002,53;1.927,46;2.167,14;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.776,02;1.220,52;1.038,01;933,55;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.719,48;1.440,86;1.570,84;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ;1.194,35;1.186,61;1.220,61;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.381,13;1.288,64;1.088,26;1.023,35;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;
Nazionala/Nacional;ESPAÑA;1.471,33;1.149,89;1.205,46;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.536,53;2.729,94;2.584,12;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.261,84;1.021,73;991,56;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.298,68;1.426,99;517,44;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.363,35;973,06;907,32;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.754,80;1.482,43;2.508,57;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.214,55;897,78;616,71;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;746,24;730,06;370,33;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.206,58;1.066,14;911,19;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.166,75;782,74;530,21;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;808,20;661,46;481,94;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.347,23;1.527,50;1.358,73;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.588,06;1.372,98;1.388,06;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.780,06;1.351,08;1.634,45;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.123,18;1.725,00;2.574,05;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.028,86;1.039,09;775,09;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.511,74;1.154,47;1.234,78;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.143,77;1.166,83;1.175,69;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;753,60;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1.589,22;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;243,01;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;350,12;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;-13,01;0,30;-1,50;17,51;3,27;4,52;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-8,37;0,70;0,10;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-10,99;0,20;-3,50;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-14,43;0,20;-1,70;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-6,58;0,50;-2,60;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-4,31;0,50;-2,10;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-10,19;-0,40;-1,70;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-10,21;0,80;-2,60;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-10,05;0,60;-3,60;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;-15,16;0,30;-1,50;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-17,13;0,50;-0,40;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-2,14;0,10;-5,30;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-11,07;0,50;-2,10;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-12,31;0,30;-0,80;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-9,56;0,60;-2,30;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-11,44;0,00;-2,40;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-13,02;0,20;-1,00;17,51;3,27;4,52;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-12,69;0,20;-1,10;17,51;3,27;4,52;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2013ko 3. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2013ko 3. hiruhilekoa;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2013;;;;;;1.4.- Compraventas de extranjeros. 03 trimestre 2013;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;
ESPAÑA;España;63.531,00;0,01;-;;EUSKADI/PAÍS VASCO;España;2.363,00;0,99;-;
ESPAÑA;Reino Unido;1.307,00;0,00;0,00;;EUSKADI/PAÍS VASCO;China;4,00;0,00;0,00;
ESPAÑA;Francia;1.006,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Rumania;4,00;0,00;0,00;
ESPAÑA;Rusia;820,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,00;
ESPAÑA;Belgica;638,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Alemania;2,00;0,00;0,00;
ESPAÑA;Alemania;612,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Ucrania;2,00;0,00;0,00;
ESPAÑA;Suecia;515,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Dominica;2,00;0,00;0,00;
ESPAÑA;Noruega;452,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Qatar;2,00;0,00;0,00;
ESPAÑA;Italia;319,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Australia;1,00;0,00;0,00;
ESPAÑA;China;289,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Bolivia;1,00;0,00;0,00;
ESPAÑA;Paises Bajos (Holand;243,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Vietnam;1,00;0,00;0,00;
ESPAÑA;Argelia;239,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Rusia;1,00;0,00;0,00;
ESPAÑA;Marruecos;211,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Marruecos;1,00;0,00;0,00;
ESPAÑA;Rumania;172,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Noruega;1,00;0,00;0,00;
ESPAÑA;Suiza;140,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Pakistan;1,00;0,00;0,00;
ESPAÑA;Ucrania;123,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Paraguay;1,00;0,00;0,00;
ESPAÑA;Dinamarca;116,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Peru;1,00;0,00;0,00;
ESPAÑA;Irlanda;78,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Portugal;1,00;0,00;0,00;
ESPAÑA;Polonia;73,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;5,00;0,00;0,00;
ESPAÑA;Finlandia;66,00;0,00;0,00;;;;;;;
ESPAÑA;Argentina;59,00;0,00;0,00;;;;;;;
ESPAÑA;Gainerakoa/Resto;1.316,00;0,00;0,00;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;
Nazionala/Nacional;ESPAÑA;3.621,00;15,55;11,96;38,05;34,44;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.407,00;9,32;8,47;27,48;54,73;;;;;
;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2013ko 3. hiruhilekoa;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;
Nazionala/Nacional;ESPAÑA;40,83;3,81;49,93;5,43;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;26,07;14,91;55,80;3,22;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;47,52;3,76;43,48;5,24;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;17,68;16,49;56,58;9,25;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;38,79;5,11;41,17;14,93;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;44,42;0,28;53,01;2,29;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;59,72;1,76;36,05;2,47;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;41,68;4,73;48,37;5,22;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;40,01;4,84;46,80;8,35;;;;;;
