1.0.-Etxebizitza salerosketak. 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;76.818,00;34.288,00;42.530,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.501,00;1.025,00;1.476,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.782,00;8.094,00;7.688,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.850,00;632,00;1.218,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;959,00;421,00;538,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.774,00;793,00;981,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.972,00;2.442,00;1.530,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;931,00;432,00;499,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.429,00;1.538,00;1.891,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.145,00;1.410,00;1.735,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;12.411,00;3.970,00;8.441,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.114,00;389,00;725,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.693,00;1.563,00;1.130,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;9.532,00;3.520,00;6.012,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.881,00;1.559,00;1.322,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;872,00;353,00;519,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;767,00;406,00;361,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.205,00;5.741,00;6.464,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;373,00;209,00;164,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;226,00;76,00;150,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;347,00;30,00;317,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;55,00;9,00;46,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;552,00;220,00;332,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;846,00;464,00;382,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;389,00;214,00;175,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;16,00;1,00;15,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;59,00;6,00;53,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;965,00;331,00;634,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;441,00;161,00;280,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;109,00;86,00;23,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;35,00;12,00;23,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;68,00;52,00;16,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1,00;n.d.;n.d.;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;4,00;n.d.;n.d.;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;37,00;n.d.;n.d.;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;61,00;45,00;16,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;27,00;21,00;6,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;55,00;10,00;45,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;132,00;64,00;68,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;8,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;21,00;10,00;11,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;64,00;20,00;44,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;142,00;96,00;46,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;18,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;106,00;75,00;31,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;8,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;41,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;17,00;15,00;2,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;68,00;11,00;57,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;57,00;32,00;25,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;34,00;17,00;17,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;52,00;2,00;50,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;44,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;27,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;30,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;50,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;53,00;12,00;41,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;66,00;4,00;62,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;15,00;7,00;8,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2013ko 3. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2013;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;1.423,61;1.386,13;1.454,39;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.540,47;2.607,22;2.508,88;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.219,32;1.241,36;1.194,85;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.241,91;1.595,71;1.128,33;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.310,52;1.551,99;1.082,62;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.809,69;1.979,41;1.670,03;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.366,19;1.296,32;1.483,83;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.558,28;1.631,38;1.494,63;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.042,75;1.208,85;906,97;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;736,78;800,24;685,40;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.737,07;1.614,18;1.799,01;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;680,84;799,64;636,89;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.175,95;1.172,27;1.181,13;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.104,09;1.965,51;2.183,15;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.015,31;1.072,69;944,62;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.464,40;1.185,14;1.619,09;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.168,73;1.372,24;939,36;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.148,08;1.239,55;1.060,10;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.868,58;2.171,09;1.771,16;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.665,94;3.224,23;3.835,10;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.477,55;2.936,53;2.442,69;;;;;;;
