1.0.-Etxebizitzen salerosketa kopurua. 2020ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2020;;;;;;;
;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;63,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;29,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;55,00;1,00;54,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;142,00;7,00;135,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;159,00;16,00;143,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;147,00;15,00;132,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;54,00;6,00;48,00;;;
;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2020ko 1. hiruhilekoa;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;1.757,80;1.957,27;1.709,99;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.787,22;3.038,06;2.739,02;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.411,85;1.574,75;1.373,40;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.406,11;1.831,39;1.273,92;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.222,28;1.376,24;1.176,22;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.584,60;2.537,42;2.595,31;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.837,41;1.540,31;1.906,74;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.479,60;1.544,23;1.467,63;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.071,05;1.257,90;1.029,26;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;838,18;1.050,38;779,70;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.221,88;2.534,62;2.157,77;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;787,24;1.237,20;697,95;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.313,82;1.370,69;1.296,30;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.745,36;2.725,22;2.752,36;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;981,94;1.133,23;950,45;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.755,42;2.061,48;1.642,34;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.088,00;1.257,01;1.042,53;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.275,07;1.654,27;1.207,48;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.067,87;2.407,77;2.012,40;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.725,43;4.429,36;4.834,64;;;
Hiriburak/Capitales de TTHH;Bilbao;2.696,67;3.207,69;2.673,14;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.531,77;2.120,95;1.432,60;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.425,40;2.155,29;2.468,03;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.781,93;3.012,31;2.722,68;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.989,57;2.333,20;1.934,43;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.779,91; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.948,62;2.455,46;1.806,71;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.807,76;3.312,46;2.735,92;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.623,85;3.710,77;3.602,61;;;
Eskualde Egitura/Áreas funcionales;Durango;2.629,69;2.471,79;2.774,11;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.038,81;1.652,58;2.182,42;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.207,29; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.950,93; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;1.526,45; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.792,92; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.828,96;2.171,88;1.740,06;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.046,54; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.861,35; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.092,94; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.530,69; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.479,83; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.304,56;2.587,64;2.185,36;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.796,24; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.041,41; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.830,88; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.013,16; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.255,68;5.664,78;6.657,05;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;3.965,75;3.505,65;4.632,43;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.523,12; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.835,41; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.523,94; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.710,57; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.421,17; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.992,63; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.542,25; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.183,99; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.780,81;4.305,57;3.733,46;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.449,40; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.240,58; n.d. ; n.d. ;;;
;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2020ko 1. hiruhilekoa;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;
Nazionala/Nacional;ESPAÑA; n.d. ; n.d. ; n.d. ; n.d. ;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ; n.d. ; n.d. ; n.d. ;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA; n.d. ; n.d. ; n.d. ; n.d. ;;
;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2020ko 1. hiruhilekoa;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;
Nazionala/Nacional;ESPAÑA; n.d. ; n.d. ; n.d. ;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ; n.d. ; n.d. ;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA; n.d. ; n.d. ; n.d. ;;;
;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2020ko 1. hiruhilekoa;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;257,17;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;196,41;;;;;
Lurraldea/TTHH;GIPUZKOA;346,31;;;;;
Lurraldea/TTHH;BIZKAIA;256,82;;;;;
;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2020ko 1. hiruhilekoa;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS
Nazionala/Nacional;ESPAÑA;3,35;0,00;0,50;-26,57;-0,01;1,13
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6,11;0,10;0,10;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;4,10;0,00;0,80;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;8,69;-0,20;1,10;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-0,28;-0,30;0,90;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;6,58;0,20;0,20;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;0,12;0,90;-0,30;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;4,54;0,00;0,70;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,70;-0,20;0,30;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3,08;-0,20;0,00;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;3,42;0,00;0,70;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;5,91;0,00;0,80;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,51;-0,20;1,20;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4,10;0,10;0,10;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2,20;0,00;0,20;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;8,06;-0,30;0,80;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-5,10;0,00;0,40;-26,57;-0,01;1,13
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;3,87;-0,20;0,50;-26,57;-0,01;1,13
;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 1. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2020;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
ESPAÑA;España;110.724,00;0,88;-;;;
ESPAÑA;Reino Unido;1.907,00;0,02;0,13;;;
ESPAÑA;Francia;1.255,00;0,01;0,08;;;
ESPAÑA;Alemania;1.123,00;0,01;0,08;;;
ESPAÑA;Marruecos;1.001,00;0,01;0,07;;;
ESPAÑA;Rumania;870,00;0,01;0,06;;;
ESPAÑA;Belgica;834,00;0,01;0,06;;;
ESPAÑA;Italia;783,00;0,01;0,05;;;
ESPAÑA;Suecia;652,00;0,01;0,04;;;
ESPAÑA;China;597,00;0,00;0,04;;;
ESPAÑA;Holanda;469,00;0,00;0,03;;;
ESPAÑA;Rusia;412,00;0,00;0,03;;;
ESPAÑA;Noruega;247,00;0,00;0,02;;;
ESPAÑA;Polonia;233,00;0,00;0,02;;;
ESPAÑA;Ucrania;227,00;0,00;0,02;;;
ESPAÑA;Argelia;199,00;0,00;0,01;;;
ESPAÑA;Bulgaria;194,00;0,00;0,01;;;
ESPAÑA;Dinamarca;168,00;0,00;0,01;;;
ESPAÑA;Irlanda;162,00;0,00;0,01;;;
ESPAÑA;Estados Unidos;140,00;0,00;0,01;;;
ESPAÑA;Argentina;132,00;0,00;0,01;;;
ESPAÑA;Gainerakoa/Resto;3.356,00;0,03;0,22;;;
;;;;;;;
1.4.- Atzerritarren salerosketak. 2020ko 1. hiruhilekoa;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2020;;;;;;;
;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;
EUSKADI/PAÍS VASCO;España;4.754,00;0,98;-;;;
EUSKADI/PAÍS VASCO;Rumania;31,00;0,01;0,29;;;
EUSKADI/PAÍS VASCO;China;14,00;0,00;0,13;;;
EUSKADI/PAÍS VASCO;Francia;8,00;0,00;0,07;;;
EUSKADI/PAÍS VASCO;Pakistan;6,00;0,00;0,06;;;
EUSKADI/PAÍS VASCO;Bolivia;4,00;0,00;0,04;;;
EUSKADI/PAÍS VASCO;Italia;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Ucrania;3,00;0,00;0,03;;;
EUSKADI/PAÍS VASCO;Bulgaria;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Argelia;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Portugal;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Marruecos;2,00;0,00;0,02;;;
EUSKADI/PAÍS VASCO;Finlandia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Ecuador;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Peru;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Paraguay;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Dinamarca;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Argentina;1,00;0,00;0,01;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;23,00;0,00;0,21;;;
;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2020ko 1. hiruhilekoa;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;
Nazionala/Nacional;ESPAÑA;5.596,00;9,41;11,82;12,35;66,42;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;8.134,00;4,42;6,00;10,51;79,07;
;;;;;;;
2.1.-Salerosketa-banaketa (%). 2020ko 1. hiruhilekoa;;;;;;;
2.1.- Distribución de compraventas (%). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;
Nazionala/Nacional;ESPAÑA;17,78;1,26;74,33;6,63;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;14,67;3,05;76,98;5,30;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;17,34;1,50;73,94;7,22;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;20,87;1,75;67,78;9,60;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;19,26;4,31;64,34;12,09;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;18,22;0,03;80,25;1,50;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;18,20;0,54;78,16;3,10;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;14,17;0,63;76,69;8,51;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;16,28;1,80;73,54;8,38;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;19,97;1,94;74,37;3,72;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15,66;0,60;76,37;7,37;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;13,93;1,40;70,42;14,25;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;22,69;0,58;73,18;3,55;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;24,40;1,42;70,32;3,86;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;15,43;1,07;73,87;9,63;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;23,50;5,19;63,58;7,73;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;19,46;0,65;72,41;7,48;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;13,70;0,69;77,36;8,25;;
Capitales de TTHH;Vitoria-Gasteiz;11,89;4,53;73,01;10,57;;
Capitales de TTHH;Donostia/San Sebastián;26,54;0,22;71,92;1,32;;
Capitales de TTHH;Bilbao;4,15;2,00;90,70;3,15;;
Resto de TTHH;Resto ARABA/ÁLAVA;13,18;0,78;78,29;7,75;;
Resto de TTHH;Resto GIPUZKOA;12,44;3,85;78,48;5,23;;
Resto de TTHH;Resto BIZKAIA;18,57;3,51;72,46;5,46;;
