1.0.-Etxebizitzen salerosketa kopurua. 2020ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;127.357,00;24.252,00;103.105,00;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.107,00;905,00;4.202,00;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;25.182,00;4.745,00;20.437,00;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.364,00;761,00;2.603,00;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.020,00;476,00;1.544,00;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.507,00;640,00;2.867,00;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.339,00;1.188,00;5.151,00;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.581,00;234,00;1.347,00;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.179,00;936,00;4.243,00;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.218,00;1.143,00;4.075,00;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.232,00;3.289,00;16.943,00;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.074,00;318,00;1.756,00;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.280,00;996,00;3.284,00;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;17.759,00;4.585,00;13.174,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.600,00;759,00;3.841,00;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.502,00;431,00;1.071,00;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;930,00;187,00;743,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;18.483,00;2.659,00;15.824,00;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;698,00;93,00;605,00;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;499,00;127,00;372,00;;;
Hiriburak/Capitales de TTHH;Bilbao;742,00;48,00;694,00;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;156,00;24,00;132,00;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.070,00;174,00;896,00;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.707,00;374,00;1.333,00;;;
Eskualde Egitura/Áreas funcionales;Álava Central;765,00;103,00;662,00;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;21,00;n.d.;n.d.;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;109,00;21,00;88,00;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.121,00;305,00;1.816,00;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.074,00;233,00;841,00;;;
Eskualde Egitura/Áreas funcionales;Durango;179,00;83,00;96,00;;;
Eskualde Egitura/Áreas funcionales;Eibar;123,00;34,00;89,00;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;61,00;14,00;47,00;;;
Eskualde Egitura/Áreas funcionales;Igorre;27,00;9,00;18,00;;;
Eskualde Egitura/Áreas funcionales;Laguardia;9,00;3,00;6,00;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;84,00;12,00;72,00;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;90,00;18,00;72,00;;;
Eskualde Egitura/Áreas funcionales;Mungia;7,00;3,00;4,00;;;
Eskualde Egitura/Áreas funcionales;Tolosa;73,00;n.d.;n.d.;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;129,00;2,00;127,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;37,00;1,00;36,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;56,00;2,00;54,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;196,00;51,00;145,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;160,00;18,00;142,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;52,00;1,00;51,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;184,00;13,00;171,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;17,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;97,00;37,00;60,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;128,00;73,00;55,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;79,00;4,00;75,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;47,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;96,00;12,00;84,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;87,00;2,00;85,00;;;
