1.0.-Etxebizitza salerosketak. 2012ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;12,00;2,00;10,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.487,38;1.500,62;1.474,46;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.635,84;2.787,55;2.536,27;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.285,53;1.305,00;1.260,49;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.403,83;1.693,08;1.248,06;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.418,48;1.616,20;1.179,22;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.937,57;2.068,17;1.796,89;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.345,92;1.311,01;1.399,04;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.574,67;1.548,31;1.609,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.148,80;1.318,87;980,48;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;902,64;1.040,46;778,97;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.756,04;1.743,66;1.763,36;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;887,84;1.119,28;765,56;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.391,17;1.442,23;1.293,31;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.117,13;2.070,28;2.153,49;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.203,28;1.144,66;1.263,97;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.499,06;1.546,01;1.467,35;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.434,99;1.590,07;1.225,05;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.229,24;1.281,67;1.174,12;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.191,51;2.348,32;1.855,23;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.976,98;3.936,92;4.000,92;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.798,84;3.701,43;2.631,70;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.570,57;1.469,51;1.710,26;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.620,50;2.869,04;2.544,92;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.661,04;2.971,78;2.383,77;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.150,33;2.342,80;1.771,11;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.689,55; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;1.840,69; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.770,91;3.245,57;2.546,82;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.434,33;3.520,80;3.402,62;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.577,89;2.732,69;1.932,86;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.407,80;2.692,02;1.896,20;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.285,14;2.758,40;1.992,18;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.967,03; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;1.097,50; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.708,76;1.521,35;1.971,13;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.180,75;2.404,36;2.059,63;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.666,38; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.958,01; -- ; -- ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.889,09;3.960,53;2.653,61;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;2.227,62; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.599,84; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.142,35;2.223,61;1.936,82;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.243,35;2.467,27;1.491,62;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.735,55; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.244,18;2.420,14;1.634,19;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 01;3.600,44; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 02;4.921,70; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 03;2.886,20; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.147,81; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.551,30;4.713,84;4.302,72;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.634,92;2.379,18;2.930,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 01;3.535,83;3.865,17;3.279,68;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;2.962,76; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;1.735,12; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;2.378,67; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;1.801,43; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 06;3.914,03; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 07;1.831,48; -- ; -- ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;2.052,30; -- ; -- ;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
