1.0.-Etxebizitzen salerosketa kopurua. 2018ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;48,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;102,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;156,00;6,00;150,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;129,00;25,00;104,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;119,00;3,00;116,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;45,00;9,00;36,00;;;
;;;;;;;
;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2018ko 1. hiruhilekoa;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;1.634,58;1.727,24;1.615,71;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.457,81;2.668,38;2.413,51;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.314,40;1.338,11;1.309,44;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.250,81;1.629,21;1.171,05;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.224,83;1.443,71;1.152,69;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.332,01;2.361,32;2.325,41;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.701,85;1.790,58;1.679,66;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.462,43;1.477,15;1.459,52;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.021,41;1.134,48;994,54;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;761,47;865,57;739,21;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.995,03;2.097,17;1.976,93;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;678,07;844,74;662,42;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.224,64;1.244,96;1.219,08;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.514,16;2.259,28;2.577,94;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;967,27;1.007,83;959,55;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.508,16;1.687,21;1.465,97;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.037,56;1.174,94;1.006,79;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.225,64;1.568,71;1.178,77;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.749,05;1.802,84;1.744,87;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.293,13;4.393,75;4.274,30;;;
Hiriburak/Capitales de TTHH;Bilbao;2.383,15;3.302,17;2.332,60;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.437,73;903,72;1.562,33;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.303,54;2.500,13;2.234,58;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.341,83;2.552,47;2.284,66;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.702,72;1.588,69;1.713,62;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.290,41; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;2.001,63;2.089,15;1.965,88;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.415,72;2.809,37;2.349,92;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.322,23;3.268,12;3.335,82;;;
Eskualde Egitura/Áreas funcionales;Durango;2.015,64;2.019,86;2.013,07;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.921,83;2.062,28;1.858,82;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.047,79; n.d. ; n.d. ;;;
