1.0.-Etxebizitza salerosketak. 2012ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;77.023,00;36.189,00;40.834,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.886,00;1.251,00;1.635,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.469,00;7.907,00;7.562,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.816,00;625,00;1.191,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.441,00;794,00;647,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.757,00;780,00;977,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.676,00;2.102,00;1.574,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.055,00;546,00;509,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.929,00;1.801,00;2.128,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;3.671,00;1.847,00;1.824,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;10.345,00;3.958,00;6.387,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.777,00;491,00;1.286,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.245,00;1.986,00;1.259,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.647,00;4.495,00;6.152,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.486,00;1.316,00;1.170,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;891,00;399,00;492,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;567,00;224,00;343,00;;;;;;
