1.0.-Etxebizitza salerosketak. 2012ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.365,00;5.667,00;5.698,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;628,00;435,00;193,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;205,00;65,00;140,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;398,00;109,00;289,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;77,00;15,00;62,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;766,00;350,00;416,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;641,00;240,00;401,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;660,00;444,00;216,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;17,00;2,00;15,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;62,00;21,00;41,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;851,00;237,00;614,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;543,00;179,00;364,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;80,00;58,00;22,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;133,00;113,00;20,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;36,00;12,00;24,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;23,00;19,00;4,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;7,00;6,00;1,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;46,00;5,00;41,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;121,00;96,00;25,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;4,00;3,00;1,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;70,00;7,00;63,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;62,00;12,00;50,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;11,00;-;-;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;27,00;8,00;19,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;129,00;67,00;62,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;248,00;204,00;44,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;30,00;6,00;24,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;174,00;144,00;30,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 01;6,00;-;-;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 02;21,00;2,00;19,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 03;54,00;8,00;46,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 04;43,00;1,00;42,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 05;40,00;29,00;11,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 06;33,00;20,00;13,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 01;41,00;2,00;39,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;30,00;-;-;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;15,00;-;-;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;36,00;-;-;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;78,00;13,00;65,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 06;100,00;61,00;39,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 07;68,00;18,00;50,00;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;16,00;3,00;13,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.589,58;1.568,24;1.608,34;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.708,77;2.863,83;2.632,26;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.343,80;1.395,05;1.289,69;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.474,76;1.700,51;1.365,61;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.503,09;1.807,85;1.151,82;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.908,50;2.046,46;1.796,18;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.574,75;1.515,22;1.656,71;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.748,05;1.715,71;1.780,22;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.207,26;1.347,86;1.084,71;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;931,50;952,96;909,30;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.039,17;1.986,38;2.071,82;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;808,41;1.031,31;705,80;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.341,31;1.379,00;1.277,61;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.307,73;2.163,40;2.395,75;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.138,98;1.156,65;1.118,29;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.808,26;1.840,97;1.785,97;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.381,18;1.356,94;1.396,79;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.249,43;1.334,26;1.159,02;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.058,16;1.884,96;2.198,51;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.780,50;3.416,54;4.038,07;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;3.177,74;4.849,16;2.672,91;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.638,55;1.521,70;1.668,93;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.546,47;2.619,91;2.511,47;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.719,95;2.682,29;2.740,23;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.998,31;1.875,95;2.091,23;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.876,02; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;2.495,66;2.343,35;2.565,29;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;3.003,93;3.688,88;2.765,15;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.233,22;3.242,68;3.228,18;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.403,73;2.448,73;2.319,72;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.159,99;2.328,54;1.750,66;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.815,89; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.981,42; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;1.188,87; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.876,25; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.343,35;2.292,44;2.418,38;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.669,26; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.087,52; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.650,59; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.605,70; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;3.202,16; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.053,32; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.760,70;1.677,07;1.962,55;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.597,06; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.752,03; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.907,04; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 02;4.469,76; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.100,00; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.131,25; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.029,22; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.559,40;2.329,51;2.893,79;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 01;3.685,07; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;2.999,86; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;2.100,68; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;2.737,49; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;2.235,06; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 06;4.454,42;5.264,70;2.860,87;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 07;2.282,52; - ; - ;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;2.558,88; - ; - ;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;2.171,48;1.776,08;1.595,75;1.517,54;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.439,14;2.693,65;2.439,21;2.420,86;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.650,46;1.452,66;1.339,90;1.361,57;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.209,70;1.586,73;1.429,58;1.590,29;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.559,88;1.454,59;1.492,79;1.595,89;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.947,17;1.888,58;1.777,66;1.845,45;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.093,54;1.803,36;1.523,00;1.369,70;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.926,85;1.902,24;1.828,05;1.769,79;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.324,84;1.276,62;1.342,06;1.244,52;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.655,90;1.228,48;1.039,31;948,10;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.387,57;2.105,96;1.998,70;2.036,57;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;883,06;821,26;1.184,59;871,74;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.844,78;1.554,04;1.320,74;1.210,43;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.975,12;2.284,25;2.045,19;2.252,82;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.746,20;1.370,36;1.245,43;1.012,74;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;3.279,66;2.440,91;1.693,88;1.711,66;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; - ;1.469,94;1.365,12;1.335,81;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.489,78;1.314,60;1.255,81;1.157,39;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.655,53;1.245,52;1.265,93;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.704,73;2.883,18;2.763,18;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.400,11;1.163,50;988,48;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.633,30;1.062,15;665,51;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.575,25;1.284,58;799,12;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.855,85;1.724,43;2.331,82;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.603,29;1.429,78;1.371,16;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.830,07;1.330,06;1.230,91;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.323,11;1.039,51;533,75;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.005,58;815,78;635,31;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.085,56;1.609,85;1.867,09;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;879,41;843,36;351,93;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.392,26;1.040,53;934,18;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.426,80;1.119,63;752,51;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.331,10;1.776,52;2.960,19;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.156,91;1.159,02;858,72;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.921,14;1.449,59;1.215,29;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.256,34;1.191,68;1.243,14;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;445,32;;;;;;;;
Lurraldea/TTHH;Araba/Álava;357,56;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;374,36;;;;;;;;
Lurraldea/TTHH;Bizkaia;539,98;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;-7,74;1,90;1,10;-31,39;5,55;6,26;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-5,01;1,90;0,50;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-3,85;1,60;1,00;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-18,88;1,80;-0,70;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-9,63;1,80;0,20;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-2,19;2,00;-0,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-1,91;1,00;1,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-9,96;1,90;-0,10;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-9,97;2,40;0,70;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;-11,64;1,80;3,10;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-11,48;2,20;1,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-11,87;1,80;2,20;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-4,59;1,80;0,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-6,23;2,00;1,70;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-4,84;1,80;-1,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-3,14;2,00;-0,30;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-15,95;2,00;0,40;-31,39;5,55;6,26;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-6,94;1,90;1,00;-31,39;5,55;6,26;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2012ko 2. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2012ko 2. hiruhilekoa;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2012;;;;;;1.4.- Compraventas de extranjeros. 02 trimestre 2012;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros
ESPAÑA;España;67.166,00;0,92;-;;EUSKADI/PAÍS VASCO;España;2.738;98,95%;-
ESPAÑA;Erresuma Batua/Reino Unido;1.009,00;0,01;0,17;;EUSKADI/PAÍS VASCO;China;4;0,14%;13,79%
ESPAÑA;Frantzia /Francia;586,00;0,01;0,10;;EUSKADI/PAÍS VASCO;Portugal;4;0,14%;13,79%
ESPAÑA;Errusia /Rusia;556,00;0,01;0,10;;EUSKADI/PAÍS VASCO;Bolivia;2;0,07%;6,90%
ESPAÑA;Alemania;495,00;0,01;0,08;;EUSKADI/PAÍS VASCO;Francia;2;0,07%;6,90%
ESPAÑA;Belgica;379,00;0,01;0,06;;EUSKADI/PAÍS VASCO;Reino Unido;2;0,07%;6,90%
ESPAÑA;Italia;354,00;0,00;0,06;;EUSKADI/PAÍS VASCO;Alemania;1;0,04%;3,45%
ESPAÑA;Norvegia/Noruega;308,00;0,00;0,05;;EUSKADI/PAÍS VASCO;Bulgaria;1;0,04%;3,45%
ESPAÑA;Txina/China;299,00;0,00;0,05;;EUSKADI/PAÍS VASCO;Chile;1;0,04%;3,45%
ESPAÑA;Suedia/Suecia;245,00;0,00;0,04;;EUSKADI/PAÍS VASCO;Cuba;1;0,04%;3,45%
ESPAÑA;Paises Bajos (Holanda);207,00;0,00;0,04;;EUSKADI/PAÍS VASCO;Dominicana, Republic;1;0,04%;3,45%
ESPAÑA;Errumania/Rumania;188,00;0,00;0,03;;EUSKADI/PAÍS VASCO;Iran;1;0,04%;3,45%
ESPAÑA;Aljeria/Argelia;179,00;0,00;0,03;;EUSKADI/PAÍS VASCO;Noruega;1;0,04%;3,45%
ESPAÑA;Maroko/Marruecos;152,00;0,00;0,03;;EUSKADI/PAÍS VASCO;Peru;1;0,04%;3,45%
ESPAÑA;Suitza/Suiza;102,00;0,00;0,02;;EUSKADI/PAÍS VASCO;Senegal;1;0,04%;3,45%
ESPAÑA;Danimarka/Dinamarca;73,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Suiza;1;0,04%;3,45%
ESPAÑA;Ukraina/Ucrania;69,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Venezuela;1;0,04%;3,45%
ESPAÑA;Irlanda;60,00;0,00;0,01;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;4;0,14%;13,79%
ESPAÑA;Finlandia;55,00;0,00;0,01;;;;;;
ESPAÑA;Argentina;52,00;0,00;0,01;;;;;;
ESPAÑA;Polonia;48,00;0,00;0,01;;;;;;
ESPAÑA;Gainerakoa/Resto;423,00;0,01;0,07;;;;;;
;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2012ko 2. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;3.263,00;13,25;19,05;40,13;27,57;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.702,00;9,92;17,23;29,66;43,19;;;;
;;;;;;;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2012ko 2. hiruhilekoa;;;;;;;;;;
2.1.- Distribución de compraventas (%). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;
Nazionala/Nacional;ESPAÑA;41,33;5,65;47,76;5,26;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;25,95;17,39;51,93;4,73;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;45,28;5,83;43,69;5,20;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;26,98;7,43;55,34;10,25;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;40,74;14,37;35,64;9,25;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;43,14;1,25;53,13;2,48;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;55,06;2,12;40,25;2,57;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;42,65;9,10;43,58;4,67;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;39,93;5,90;46,62;7,55;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;44,37;5,94;44,49;5,20;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;35,97;2,29;58,69;3,05;;;;;
