1.0.-Etxebizitza salerosketak. 2015ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 3er trimestre 2015;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;92.786,00;18.017,00;74.769,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.749,00;922,00;2.827,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;18.676,00;3.724,00;14.952,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.406,00;445,00;1.961,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.395,00;351,00;1.044,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.763,00;557,00;2.206,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.658,00;927,00;3.731,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.155,00;264,00;891,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.081,00;877,00;3.204,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.036,00;588,00;2.448,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;14.508,00;1.873,00;12.635,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.290,00;160,00;1.130,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.045,00;1.207,00;1.838,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;13.132,00;2.773,00;10.359,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.149,00;459,00;2.690,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.050,00;250,00;800,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;643,00;155,00;488,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;14.050,00;2.485,00;11.565,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;412,00;101,00;311,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;340,00;76,00;264,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;822,00;276,00;546,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;84,00;9,00;75,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;877,00;160,00;717,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.110,00;284,00;826,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;450,00;103,00;347,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;38,00;2,00;36,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;158,00;9,00;149,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.703,00;480,00;1.223,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;685,00;130,00;555,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;87,00;46,00;41,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;107,00;50,00;57,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;48,00;16,00;32,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;10,00;1,00;9,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;16,00;7,00;9,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;43,00;1,00;42,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;104,00;45,00;59,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;14,00;8,00;6,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;67,00;1,00;66,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;115,00;7,00;108,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;14,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;68,00;14,00;54,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;125,00;53,00;72,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;93,00;22,00;71,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;50,00;3,00;47,00;;;;;;
