1.0.-Etxebizitza salerosketak. 2014ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2014;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;77.881,00;23.093,00;54.788,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.805,00;783,00;2.022,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.800,00;5.126,00;10.674,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.115,00;409,00;1.706,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.275,00;432,00;843,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.454,00;744,00;1.710,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.277,00;1.591,00;2.686,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;972,00;253,00;719,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.516,00;1.087,00;2.429,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2.856,00;936,00;1.920,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;11.810,00;2.282,00;9.528,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.477,00;313,00;1.164,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.035,00;1.498,00;1.537,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.303,00;3.086,00;7.217,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.402,00;840,00;1.562,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.213,00;423,00;790,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;539,00;201,00;338,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.032,00;3.089,00;7.943,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;289,00;110,00;179,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;274,00;56,00;218,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;511,00;63,00;448,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;86,00;19,00;67,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;712,00;230,00;482,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;889,00;296,00;593,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;326,00;121,00;205,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;22,00;3,00;19,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;62,00;11,00;51,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.216,00;267,00;949,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;702,00;225,00;477,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;70,00;37,00;33,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;49,00;22,00;27,00;;;;;;
