1.0.-Etxebizitzen salerosketa kopurua. 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.509,17;1.224,81;1.553,96;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.580,17;2.347,43;2.602,83;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.814,64;3.364,57;2.695,79;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.256,43;2.409,52;2.245,88;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;2.267,66; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.938,89; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.899,25;3.686,28;2.780,28;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.974,15;3.754,29;3.997,81;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.572,05;2.278,24;2.675,74;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.989,54;1.941,15;2.007,44;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.318,11;2.449,54;2.267,11;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.856,40; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;911,91;781,75;1.001,40;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.603,29; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.114,22;2.627,83;1.918,56;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.380,13; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.073,27; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.800,53; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.873,13; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.986,27; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.603,90; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.071,13; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.427,05; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.961,11; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.851,54; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;7.128,56;6.401,51;7.353,29;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.969,87; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.591,88; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.715,88; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.516,46;3.620,85;3.489,03;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;3.060,63; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.740,21;2.885,13;2.682,24;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.741,42; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.706,47; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.306,31; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.044,67;5.139,52;3.931,13;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.551,21; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.503,23; n.d. ; n.d. ;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;2.661,32;2.101,36;1.834,78;1.821,38;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.321,44;2.821,96;2.767,43;2.812,55;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.068,74;1.606,32;1.464,00;1.565,92;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.579,75;1.486,27;1.520,31;1.549,95;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.779,35;1.242,40;1.226,28;1.366,69;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.651,33;3.059,95;2.722,47;2.840,42;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.820,70;2.178,17;1.734,89;1.612,70;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.055,27;1.758,30;1.609,33;1.546,86;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.087,57;1.211,48;1.079,21;1.158,96;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.268,68;935,37;859,28;923,64;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.632,41;2.424,82;2.352,19;2.434,90;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;870,32;810,61;816,17;864,23;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.669,13;1.476,03;1.401,96;1.428,94;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.234,58;3.101,12;2.623,97;2.903,21;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.384,66;1.167,64;1.054,85;1.031,39;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2.722,66;2.193,24;1.872,54;1.778,45;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.179,48;1.169,37;1.169,59;1.190,77;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.941,78;1.478,61;1.411,97;1.278,34;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;
Nazionala/Nacional;ESPAÑA;1.937,96;1.521,13;1.430,09;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.867,44;3.084,00;4.049,93;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.593,07;1.317,22;1.202,51;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.544,76;1.197,15;738,68;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.333,15;1.307,69;1.022,56;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.837,97;2.577,19;3.187,03;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.198,65;1.120,00;772,15;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;845,81;716,28;459,52;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.460,37;1.084,48;912,54;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.149,46;993,12;607,03;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;911,61;849,10;619,04;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.912,95;2.295,65;1.700,87;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.641,03;1.480,51;1.377,92;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.384,58;1.857,63;1.897,50;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.995,73;2.022,07;2.709,70;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.085,12;1.230,49;788,65;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.923,24;1.326,75;1.272,50;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.406,64;1.405,61;1.230,41;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;423,62;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;256,75;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;361,65;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;579,44;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;1,13;4,00;1,40;30,96;-0,32;0,31;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2,71;3,90;2,10;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1,43;4,10;-0,10;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;0,65;4,40;0,60;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,55;3,90;-0,90;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;5,28;4,20;4,10;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1,84;3,20;3,30;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,56;4,50;0,40;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-1,59;4,50;0,60;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;-0,24;4,80;0,50;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;0,35;3,70;1,90;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-3,97;4,30;-0,20;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1,98;4,60;0,30;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2,64;3,60;1,50;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5,69;3,90;0,50;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-0,36;4,10;-0,50;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-3,32;4,30;0,10;30,96;-0,32;0,31;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,28;4,20;2,60;30,96;-0,32;0,31;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;
ESPAÑA;España;137.429,00;0,89;-;;;;;;;
ESPAÑA;Alemania;1.691,00;0,01;0,10;;;;;;;
ESPAÑA;Reino Unido;1.615,00;0,01;0,10;;;;;;;
ESPAÑA;Francia;1.278,00;0,01;0,08;;;;;;;
ESPAÑA;Marruecos;1.073,00;0,01;0,07;;;;;;;
ESPAÑA;Belgica;923,00;0,01;0,06;;;;;;;
ESPAÑA;Rumania;870,00;0,01;0,05;;;;;;;
ESPAÑA;Suecia;825,00;0,01;0,05;;;;;;;
ESPAÑA;Italia;735,00;0,00;0,05;;;;;;;
ESPAÑA;Holanda;645,00;0,00;0,04;;;;;;;
ESPAÑA;Polonia;375,00;0,00;0,02;;;;;;;
ESPAÑA;China;363,00;0,00;0,02;;;;;;;
ESPAÑA;Rusia;339,00;0,00;0,02;;;;;;;
ESPAÑA;Irlanda;264,00;0,00;0,02;;;;;;;
ESPAÑA;Ucrania;204,00;0,00;0,01;;;;;;;
ESPAÑA;Noruega;188,00;0,00;0,01;;;;;;;
ESPAÑA;Dinamarca;179,00;0,00;0,01;;;;;;;
ESPAÑA;Bulgaria;173,00;0,00;0,01;;;;;;;
ESPAÑA;Suiza;168,00;0,00;0,01;;;;;;;
ESPAÑA;Estados Unidos;140,00;0,00;0,01;;;;;;;
ESPAÑA;Argentina;128,00;0,00;0,01;;;;;;;
ESPAÑA;Gainerakoa/Resto;3.986,00;0,03;0,25;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 03 trimestre 2021;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;
EUSKADI/PAÍS VASCO;España;5.295,00;0,97;-;;;;;;;
EUSKADI/PAÍS VASCO;Rumania;24,00;0,00;0,17;;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;10,00;0,00;0,07;;;;;;;
EUSKADI/PAÍS VASCO;China;10,00;0,00;0,07;;;;;;;
EUSKADI/PAÍS VASCO;Francia;6,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;5,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;5,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;5,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;4,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Portugal;4,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Alemania;4,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Cuba;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Argentina;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Nepal;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Georgia;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Irlanda;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Belgica;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Iran;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Armenia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Bulgaria;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Brasil;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Nigeria;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Albania;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Nicaragua;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Italia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Canada;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;31,00;0,01;0,22;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2021ko 3. hiruhilekoa;;;;;;;;;;;
