1.0.-Etxebizitzen salerosketa kopurua. 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;154.155,00;29.433,00;124.722,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.557,00;756,00;4.801,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;32.433,00;7.168,00;25.265,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.818,00;706,00;3.112,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.442,00;465,00;1.977,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.519,00;571,00;3.948,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.529,00;1.462,00;5.067,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.021,00;299,00;1.722,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;6.879,00;1.505,00;5.374,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;6.343,00;1.226,00;5.117,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;24.040,00;3.733,00;20.307,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.274,00;224,00;2.050,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.216,00;1.266,00;3.950,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;21.685,00;5.001,00;16.684,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.189,00;925,00;4.264,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.817,00;597,00;1.220,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.216,00;308,00;908,00;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;22.177,00;3.221,00;18.956,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;560,00;48,00;512,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;600,00;115,00;482,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;965,00;91,00;874,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;205,00;27,00;178,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.258,00;107,00;1.151,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.855,00;357,00;1.498,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;672,00;58,00;614,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;44,00;6,00;38,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;185,00;10,00;175,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.393,00;336,00;2.057,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.113,00;153,00;957,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;171,00;49,00;122,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;150,00;41,00;109,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;117,00;31,00;86,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;22,00;3,00;19,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;31,00;12,00;19,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;73,00;9,00;64,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;105,00;25,00;80,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;44,00;10,00;34,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;139,00;n.d.;n.d.;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;184,00;2,00;182,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;34,00;1,00;33,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;61,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;167,00;16,00;151,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;121,00;9,00;112,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;67,00;9,00;58,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;99,00;9,00;90,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;20,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;80,00;21,00;59,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;66,00;1,00;65,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;105,00;12,00;93,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;92,00;5,00;87,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;231,00;76,00;152,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;123,00;2,00;121,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;130,00;34,00;96,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;34,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;77,00;2,00;75,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;150,00;4,00;146,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;165,00;19,00;146,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;170,00;2,00;168,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;76,00;6,00;70,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2021ko 3. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;1.843,21;1.976,20;1.811,59;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.899,84;3.171,77;2.861,58;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.526,74;1.778,46;1.453,67;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.417,38;1.793,61;1.331,18;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.294,97;1.392,32;1.271,82;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.861,95;2.885,54;2.858,47;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.940,65;1.755,17;1.996,72;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.600,05;1.625,44;1.595,36;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.067,76;1.137,61;1.047,74;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;842,95;990,07;807,31;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.275,34;2.413,69;2.248,86;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;748,60;895,97;733,52;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.374,18;1.448,15;1.350,51;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.888,49;2.863,51;2.895,48;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.074,34;1.080,49;1.072,95;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.785,88;2.115,55;1.618,60;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.167,53;1.475,57;1.057,39;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.384,13;1.720,57;1.324,76;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.364,94;2.482,14;2.357,23;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.865,53;4.370,42;4.935,93;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.870,95;3.361,00;2.819,10;;;;;;;
