1.0.-Etxebizitzen salerosketa kopurua. 2019ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;130.088,00;22.209,00;107.879,00;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.262,00;805,00;4.457,00;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;25.883,00;4.519,00;21.364,00;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.398,00;580,00;2.818,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.389,00;554,00;1.835,00;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.630,00;702,00;2.928,00;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.038,00;1.136,00;4.902,00;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.602,00;267,00;1.335,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.367,00;895,00;4.472,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.090,00;1.112,00;3.978,00;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.567,00;2.911,00;17.656,00;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.262,00;285,00;1.977,00;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.469,00;957,00;3.512,00;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.072,00;3.705,00;14.367,00;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.187,00;700,00;3.487,00;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.502,00;298,00;1.204,00;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;875,00;179,00;696,00;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;19.495,00;2.604,00;16.891,00;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;736,00;103,00;633,00;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;479,00;79,00;400,00;;;;;
Hiriburak/Capitales de TTHH;Bilbao;916,00;86,00;830,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;153,00;24,00;129,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.230,00;253,00;977,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.706,00;365,00;1.341,00;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;819,00;108,00;711,00;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;41,00;1,00;40,00;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;162,00;11,00;151,00;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.256,00;320,00;1.936,00;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.070,00;241,00;829,00;;;;;
Eskualde Egitura/Áreas funcionales;Durango;175,00;89,00;86,00;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;176,00;56,00;120,00;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;77,00;17,00;60,00;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;23,00;9,00;14,00;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;31,00;18,00;13,00;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;42,00;1,00;41,00;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;112,00;34,00;78,00;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;9,00;2,00;7,00;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;102,00;1,00;101,00;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;125,00;2,00;123,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;46,00;2,00;44,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;66,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;209,00;21,00;188,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;196,00;18,00;178,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;81,00;5,00;76,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;127,00;51,00;76,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;26,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;71,00;20,00;51,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;65,00;12,00;53,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;69,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;80,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;147,00;30,00;117,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;87,00;1,00;86,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;96,00;1,00;95,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;50,00;1,00;49,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;112,00;3,00;109,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;185,00;23,00;162,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;154,00;23,00;131,00;;;;;
