1.0.-Etxebizitzen salerosketa kopurua. 2019ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;147,00;10,00;137,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;77,00;24,00;53,00;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2019ko 2. hiruhilekoa;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;1.725,59;1.757,48;1.718,90;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.543,42;2.559,79;2.540,84;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.391,61;1.401,15;1.389,56;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.341,80;1.678,77;1.268,59;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.222,40;1.452,29;1.155,47;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.361,32;1.898,32;2.474,72;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.890,13;1.620,65;1.959,46;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.490,87;1.539,26;1.480,56;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.049,27;1.184,45;1.022,34;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;806,49;918,51;777,08;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.171,86;2.281,87;2.152,85;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;749,14;979,70;710,45;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.290,70;1.265,38;1.297,72;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.742,44;2.489,93;2.806,99;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.030,86;1.137,35;1.009,17;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.546,31;1.473,51;1.563,30;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.019,45;1.084,11;1.001,56;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.290,98;1.662,85;1.229,16;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.050,47;1.710,12;2.076,59;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.173,58;3.722,98;4.274,15;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.606,87;3.053,25;2.575,45;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.313,69;884,40;1.369,08;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.285,89;2.239,15;2.297,07;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.483,94;2.568,09;2.469,85;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.980,55;1.659,08;2.003,91;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.881,33;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.752,70;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.580,13;2.850,92;2.558,30;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.233,06;2.890,23;3.332,15;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.486,28;2.656,22;2.298,45;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.915,75;1.819,74;1.958,21;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.285,81;2.100,99;2.323,46;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.661,84;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;850,95;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.448,64;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.829,80;1.967,72;1.762,09;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.902,42;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.294,02;  n.d.  ;  n.d.  ;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.752,01;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.498,33;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.736,39;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.183,86;1.863,98;2.222,05;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.857,19;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.964,53;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.971,15;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.318,68;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.535,02;4.346,70;6.048,15;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.264,73;3.163,74;4.539,98;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.118,06;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.397,10;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.998,69;3.985,91;2.723,41;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.931,36;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.183,91;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.687,80;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.569,06;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.166,21;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.843,30;3.653,29;3.878,73;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.379,85;  n.d.  ;  n.d.  ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.268,18;  n.d.  ;  n.d.  ;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2019ko 2. hiruhilekoa;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;
Nazionala/Nacional;ESPAÑA;2.626,10;1.989,64;1.706,51;1.659,12;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.871,67;2.580,93;2.396,20;2.472,16;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.035,10;1.590,74;1.341,49;1.372,20;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.556,58;1.349,84;1.381,55;1.425,65;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.346,90;1.123,41;1.161,89;1.315,24;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.803,18;2.694,19;2.427,85;2.308,94;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.851,25;2.204,36;1.511,85;1.481,50;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.028,00;1.529,05;1.469,01;1.516,21;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.559,61;1.120,13;1.106,23;1.114,47;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.048,66;924,85;855,41;891,71;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.667,75;2.359,04;2.204,32;2.317,38;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;536,06;831,08;858,83;835,72;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.957,92;1.474,87;1.313,63;1.236,71;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.123,36;2.886,10;2.593,91;2.760,14;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.335,43;1.102,07;1.025,89;981,53;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2.415,60;1.798,33;1.686,61;1.562,37;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;  n.d.  ;971,01;986,94;1.047,42;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.796,13;1.362,40;1.185,70;1.152,84;;;;
;;;;;;;;;
;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2019ko 2. hiruhilekoa;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;
Nazionala/Nacional;ESPAÑA;1.811,42;1.378,85;1.295,13;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.522,58;3.335,75;3.162,50;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.463,60;1.112,67;1.090,28;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.426,63;1.075,66;723,82;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.239,97;1.291,62;1.022,82;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.468,87;1.460,23;2.683,54;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.042,87;967,07;650,16;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;844,30;619,68;411,22;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.346,68;1.229,96;937,02;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.131,02;862,14;625,76;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;877,18;733,76;584,44;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.910,90;1.911,38;1.578,91;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.517,66;1.206,57;1.429,70;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.287,40;1.687,94;1.675,72;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.825,40;1.898,94;2.549,81;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.052,59;1.143,16;727,27;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.634,83;1.198,15;1.114,56;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.264,87;1.479,53;1.315,22;;;;;
;;;;;;;;;
;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2019ko 2. hiruhilekoa;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;392,37;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;389,95;;;;;;;
Lurraldea/TTHH;GIPUZKOA;377,16;;;;;;;
Lurraldea/TTHH;BIZKAIA;407,20;;;;;;;
;;;;;;;;;
;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2019ko 2. hiruhilekoa;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;
Nazionala/Nacional;ESPAÑA;4,25;0,40;0,40;-4,41;-0,02;0,71;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3,14;0,80;0,40;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,96;0,20;0,50;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4,03;0,40;0,70;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,70;0,30;0,60;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;0,85;0,00;0,30;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4,64;0,00;0,60;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,97;0,40;0,30;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1,56;0,50;0,80;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3,83;0,20;0,40;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;6,49;0,70;0,50;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;6,95;0,30;0,70;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3,82;0,30;0,50;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;7,96;0,70;0,10;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4,63;0,00;0,10;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;5,50;1,00;0,30;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;2,74;0,70;0,60;-4,41;-0,02;0,71;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;3,36;0,20;0,50;-4,41;-0,02;0,71;;
;;;;;;;;;
;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2019ko 2. hiruhilekoa;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;
ESPAÑA;España;113.677,00;0,02;-;;;;;
ESPAÑA;Reino Unido;2.146,00;0,00;0,00;;;;;
ESPAÑA;Francia;1.231,00;0,00;0,00;;;;;
ESPAÑA;Alemania;1.183,00;0,00;0,00;;;;;
ESPAÑA;Marruecos;1.048,00;0,00;0,00;;;;;
ESPAÑA;Rumania;981,00;0,00;0,00;;;;;
ESPAÑA;Belgica;949,00;0,00;0,00;;;;;
ESPAÑA;Italia;860,00;0,00;0,00;;;;;
ESPAÑA;Suecia;720,00;0,00;0,00;;;;;
ESPAÑA;China;645,00;0,00;0,00;;;;;
ESPAÑA;Rusia;505,00;0,00;0,00;;;;;
ESPAÑA;Holanda;455,00;0,00;0,00;;;;;
ESPAÑA;Polonia;303,00;0,00;0,00;;;;;
ESPAÑA;Ucrania;264,00;0,00;0,00;;;;;
ESPAÑA;Noruega;264,00;0,00;0,00;;;;;
ESPAÑA;Argelia;247,00;0,00;0,00;;;;;
ESPAÑA;Irlanda;210,00;0,00;0,00;;;;;
ESPAÑA;Bulgaria;198,00;0,00;0,00;;;;;
ESPAÑA;Dinamarca;153,00;0,00;0,00;;;;;
ESPAÑA;Argentina;126,00;0,00;0,00;;;;;
ESPAÑA;Finlandia;126,00;0,00;0,00;;;;;
ESPAÑA;Gainerakoa/Resto;3.515,00;0,00;0,00;;;;;
;;;;;;;;;
;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2019ko 2. hiruhilekoa;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;
EUSKADI/PAÍS VASCO;España;5.090,00;0,00;-;;;;;
EUSKADI/PAÍS VASCO;Rumania;22,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;China;18,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;6,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Portugal;6,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Bolivia;6,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;6,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Francia;6,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Argentina;5,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Italia;5,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Alemania;4,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Peru;3,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Argelia;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Pakistan;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Nicaragua;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Nigeria;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Venezuela;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Ucrania;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Marruecos;2,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Camerun;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Suecia;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Belgica;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Brasil;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Georgia;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Anguilla;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Ghana;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Chile;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Hungria;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Ecuador;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Bulgaria;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Albania;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Irlanda;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Vietnam;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Cuba;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Uruguay;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,00;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;17,00;0,00;0,00;;;;;
;;;;;;;;;
;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2019ko 2. hiruhilekoa;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 02 trimestre 2019;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;
Nazionala/Nacional;ESPAÑA;5.598,00;9,29;9,50;13,08;68,13;;;
