1.0.-Etxebizitzen salerosketa kopurua. 2020ko 2. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2020;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;76.545,00;14.286,00;62.259,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.701,00;592,00;3.109,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.159,00;2.866,00;12.293,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.941,00;432,00;1.509,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.342,00;346,00;996,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.079,00;346,00;1.733,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.574,00;535,00;2.039,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.069,00;202,00;867,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.097,00;614,00;2.483,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2.618,00;548,00;2.070,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;12.973,00;2.055,00;10.918,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.174,00;184,00;990,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.761,00;604,00;2.157,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;11.612,00;2.730,00;8.882,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.527,00;492,00;2.035,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;943,00;226,00;717,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;586,00;120,00;466,00;;;;
