1.0.-Etxebizitzen salerosketa kopurua. 2022ko 3. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2022;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;167.892,00;28.595,00;139.297,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.967,00;762,00;5.205,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;34.608,00;6.575,00;28.033,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4.572,00;850,00;3.722,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.867,00;553,00;2.314,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.408,00;727,00;3.681,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;7.864,00;1.467,00;6.397,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.284,00;272,00;2.012,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;7.408,00;1.546,00;5.862,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;6.961,00;1.138,00;5.823,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;26.966,00;4.194,00;22.772,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.501,00;328,00;2.173,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.742,00;1.244,00;4.498,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;20.727,00;4.133,00;16.594,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.841,00;803,00;5.038,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.662,00;456,00;1.206,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.171,00;157,00;1.014,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;26.343,00;3.390,00;22.953,00;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;985,00;162,00;823,00;;;;
Lurraldea/TTHH;GIPUZKOA;1.966,00;285,00;1.681,00;;;;
Lurraldea/TTHH;BIZKAIA;3.016,00;315,00;2.701,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;709,00;79,00;630,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;493,00;77,00;416,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.028,00;36,00;992,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;275,00;122,00;153,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.448,00;205,00;1.243,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.904,00;281,00;1.623,00;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;852,00;138,00;714,00;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;50,00;4,00;46,00;;;;
Eskualde Egitura/Áreas funcionales;Goierri;150,00;7,00;143,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.492,00;218,00;2.274,00;;;;
