1.0.-Etxebizitza salerosketak. 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;
Nazionala/Nacional;ESPAÑA;43,62;9,18;42,73;4,47;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;28,26;18,51;46,30;6,93;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;47,35;8,09;38,89;5,67;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;31,47;10,18;50,67;7,68;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;43,07;18,20;26,64;12,09;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;52,26;0,61;45,59;1,54;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;52,71;3,77;41,49;2,03;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;50,04;14,61;33,10;2,25;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;39,11;12,36;43,05;5,48;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;41,57;20,19;35,62;2,62;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;39,53;3,96;53,35;3,16;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;31,44;7,58;50,65;10,33;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;64,71;4,00;29,05;2,24;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;40,48;12,36;44,81;2,35;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;48,45;6,88;41,63;3,04;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;29,66;31,93;34,22;4,19;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;47,99;3,90;40,14;7,97;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;45,79;4,45;44,46;5,30;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;10,89;48,07;25,29;15,75;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;30,23;1,94;46,12;21,71;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;22,84;0,00;74,13;3,03;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;31,82;10,91;50,91;6,36;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;29,18;16,54;49,62;4,66;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;39,39;14,64;43,19;2,78;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;12,03;46,72;26,41;14,84;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;11,54;3,85;80,76;3,85;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;13,44;29,03;55,38;2,15;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;33,74;6,47;57,25;2,54;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;28,55;6,82;53,50;11,13;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;30,99;50,70;16,20;2,11;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;69,92;6,77;18,80;4,51;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;34,88;6,98;55,81;2,33;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;91,67;0,00;8,33;0,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;100,00;0,00;0,00;0,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;19,70;1,52;69,69;9,09;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;52,81;35,39;10,11;1,69;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;60,00;10,00;20,00;10,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;20,62;0,39;78,60;0,39;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;11,32;22,64;40,25;25,79;;;;;;
;;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2012ko 1. hiruhilekoa;;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK BANCOS;KUTXAK CAJAS;BESTELAKOAK OTRAS;;;;;;;
Nazionala/Nacional;ESPAÑA;69,74;16,37;13,89;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;31,49;51,67;16,84;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;75,54;11,35;13,11;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;52,00;24,24;23,76;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;63,93;6,49;29,58;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;77,40;8,64;13,96;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;79,78;8,46;11,76;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;63,68;30,25;6,07;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;63,74;17,21;19,05;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;67,39;17,64;14,97;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;77,07;13,34;9,59;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;70,79;19,86;9,35;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;86,00;7,08;6,92;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;78,54;12,09;9,37;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;56,98;20,35;22,67;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;50,97;18,09;30,94;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;67,65;18,10;14,25;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;71,90;10,21;17,89;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;9,92;76,98;13,10;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;30,25;57,80;11,95;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;50,02;25,92;24,06;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;21,47;54,34;24,19;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;35,91;48,99;15,10;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;35,34;44,50;20,16;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;10,10;76,73;13,17;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;24,65;75,35;0,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;25,14;56,70;18,16;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;41,64;37,27;21,09;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;32,98;51,74;15,28;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;29,45;46,36;24,19;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;30,66;60,79;8,55;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;36,25;31,98;31,77;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;7,41;49,27;43,32;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;6,26;76,61;17,13;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;35,66;30,67;33,67;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;58,04;20,92;21,04;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;55,14;44,86;0,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;16,72;81,69;1,59;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;31,09;50,52;18,39;;;;;;;
;;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;;
Nazionala/Nacional;ESPAÑA;71,18;9,51;3,04;10,63;4,03;1,61;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;74,32;5,62;2,78;10,13;6,66;0,49;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;69,23;10,35;2,12;14,96;2,83;0,51;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;77,70;5,92;2,36;9,11;3,39;1,52;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;62,90;8,41;1,16;15,46;7,19;4,88;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;75,60;8,96;1,72;6,62;2,73;4,37;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;66,68;13,67;2,59;9,53;5,58;1,95;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;66,29;4,52;2,29;22,96;0,84;3,10;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;68,65;9,19;2,75;13,09;4,50;1,82;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;66,32;6,16;2,08;17,14;6,85;1,45;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;67,64;13,88;6,88;5,53;5,86;0,21;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;71,98;9,02;1,01;8,06;7,83;2,10;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;73,42;9,45;2,46;4,71;6,32;3,64;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;83,40;7,46;1,58;6,77;0,37;0,42;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;64,28;11,22;2,17;15,78;3,77;2,78;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;61,29;3,51;1,16;28,66;4,25;1,13;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;65,88;12,70;4,00;9,62;6,76;1,04;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;65,96;10,12;2,96;11,45;2,78;6,73;;;;
Lurraldea/TTHH;Araba/Álava;73,92;2,54;7,26;14,00;2,19;0,09;;;;
Lurraldea/TTHH;Gipuzkoa;75,38;3,87;1,62;7,22;11,17;0,74;;;;
Lurraldea/TTHH;Bizkaia;73,30;9,54;1,40;11,16;4,16;0,44;;;;
;;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2012ko 1. hiruhekoa;;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK LIBRE BANCOS;LIBRE KUTXAK LIBRE CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK VPO BANCOS;BABESTUAK KUTXAK VPO CAJAS;BABESTUAK BESTEAK VPO OTRAS;;
Nazionala/Nacional;ESPAÑA;87,51;12,49;68,82;18,34;12,84;58,98;26,50;14,52;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;76,41;23,59;31,19;51,09;17,72;14,44;65,84;19,72;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;87,02;12,98;70,94;15,40;13,66;79,19;11,18;9,63;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;73,70;26,30;49,19;24,99;25,82;47,86;30,76;21,38;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;79,18;20,82;56,37;6,28;37,35;66,87;7,40;25,73;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;95,71;4,29;80,87;10,88;8,25;89,40;6,88;3,72;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;94,51;5,49;78,86;10,97;10,17;87,08;3,29;9,63;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;90,50;9,50;70,43;21,68;7,89;85,44;8,24;6,32;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;82,56;17,44;63,29;22,46;14,25;59,30;19,79;20,91;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;87,89;12,11;62,10;23,86;14,04;82,48;10,66;6,86;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;94,05;5,95;73,74;16,40;9,86;76,14;9,98;13,88;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;80,47;19,53;71,65;22,45;5,90;68,13;25,66;6,21;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;95,69;4,31;87,19;9,06;3,75;74,16;14,20;11,64;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;89,11;10,89;76,96;12,59;10,45;75,03;20,97;4,00;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;90,78;9,22;62,79;17,25;19,96;48,22;21,42;30,36;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;62,19;37,81;45,47;24,62;29,91;41,89;32,88;25,23;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;88,53;11,47;60,42;25,38;14,20;60,40;18,49;21,11;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,88;9,12;74,95;12,30;12,75;65,47;18,38;16,15;;
Lurraldea/TTHH;Araba/Álava;43,27;56,73;13,62;68,19;18,19;12,17;72,02;15,81;;
Lurraldea/TTHH;Gipuzkoa;81,20;18,80;28,70;56,80;14,50;16,96;59,15;23,89;;
Lurraldea/TTHH;Bizkaia;91,11;8,89;38,98;39,99;21,03;17,01;58,46;24,53;;
;;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m²ka (€). 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m²(€). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK   CAJAS;BESTELAKOAK OTRAS;;;;;;
Nazionala/Nacional;ESPAÑA;1.322,54;1.312,09;1.372,63;1.280,52;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.710,25;1.907,76;1.615,38;1.784,34;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.102,22;1.114,91;1.089,81;1.040,70;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.210,17;1.164,44;1.293,58;1.206,99;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.195,66;1.195,06;1.244,09;1.183,61;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.310,10;1.290,93;1.475,77;1.346,69;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.031,12;1.073,55;1.008,32;648,90;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.206,80;1.191,73;1.217,84;1.277,24;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.052,01;1.058,87;1.069,19;990,23;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;852,02;852,55;825,50;886,70;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.606,35;1.620,58;1.594,32;1.509,95;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;741,33;749,75;773,69;454,96;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.073,35;1.073,87;1.134,80;889,62;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.827,13;1.832,56;1.800,93;1.842,05;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;921,67;933,54;817,03;997,91;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.267,19;1.255,50;1.275,18;1.276,64;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.045,34;1.016,54;1.101,44;1.078,17;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;972,50;990,63;922,48;919,72;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.354,18;1.370,74;1.317,60;1.520,17;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.404,27;2.434,20;2.372,91;2.472,68;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.048,54;2.110,14;2.079,89;1.864,39;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.175,73;1.527,64;1.134,91;1.044,91;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.721,94;1.706,75;1.667,85;1.887,13;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.905,21;2.015,45;1.861,14;1.857,38;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.342,49;1.363,92;1.307,45;1.503,88;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.448,88; - ; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;1.553,83;1.679,24;1.551,71;1.504,32;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.963,78;2.037,00;1.912,14;1.943,63;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.206,68;2.255,68;2.226,46;2.075,16;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.813,97;2.701,93;1.717,03;1.469,32;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.682,12;1.528,05;1.726,94; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.243,32; - ;2.903,13;1.897,16;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;2.031,51; - ; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;799,89; - ;799,89; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.438,33;1.752,82;1.412,19;1.239,09;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.801,99;1.343,98;1.750,15;1.934,73;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.511,76; - ; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.542,41;1.530,56;1.535,93; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;1.741,82;2.032,50;1.579,17;2.201,42;;;;;;
;;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;;
Nazionala/Nacional;ESPAÑA;109.453,09;109.950,72;114.773,25;100.243,83;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;139.404,38;145.974,01;138.330,05;133.539,45;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;97.589,16;100.590,64;92.148,68;89.052,30;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;97.968,08;96.720,41;96.813,70;101.878,83;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;96.602,50;96.238,39;83.175,10;100.254,68;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;113.782,83;111.246,07;153.715,30;102.005,87;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;79.886,82;79.635,62;113.512,04;62.250,36;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;100.279,09;101.665,18;98.799,27;92.249,20;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;92.340,53;91.998,41;93.698,36;91.828,69;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;90.080,89;86.440,21;107.589,04;84.331,82;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;118.534,22;117.825,66;126.717,90;112.011,60;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;68.534,06;68.111,24;71.706,99;62.454,63;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;88.517,45;87.649,40;99.310,02;85.408,80;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;179.629,24;182.755,94;176.482,16;161.826,96;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;69.035,15;74.802,17;65.861,92;58.235,70;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;113.674,02;116.276,54;115.360,86;108.311,72;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;85.908,50;82.229,17;92.781,52;91.275,32;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;87.838,11;91.297,28;81.998,91;76.745,93;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;125.119,00;112.534,26;128.509,63;120.188,39;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;159.491,76;185.997,54;145.514,51;169.097,53;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;153.843,35;165.741,89;162.455,78;122.865,89;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;107.393,74;120.167,01;102.395,39;108.427,64;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;141.996,65;140.416,88;145.141,90;134.698,53;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;138.039,75;136.819,02;136.942,96;142.235,48;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;124.067,13;113.747,96;126.470,94;121.463,97;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;104.541,21; - ;100.658,82; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;130.831,41;134.216,30;137.000,05;114.212,14;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;146.011,97;150.421,99;145.208,78;139.765,33;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;148.104,39;163.258,78;142.575,83;139.252,70;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;130.687,02;131.907,47;139.304,20;117.123,05;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;127.559,42;119.616,72;130.330,36;134.253,33;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;134.771,06;93.399,90;167.461,87;135.129,41;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;132.515,11; - ;155.564,38;118.377,78;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;97.481,30; - ;97.028,96; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;111.883,65;118.844,14;115.559,05;101.366,30;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;158.317,96;132.118,92;177.956,50;153.356,83;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;315.752,00; - ; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;150.888,68;132.128,21;155.819,14; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;149.094,61;179.887,63;137.941,21;137.970,84;;;;;;
;;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziaren indizeak (%). 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;;;;;
Nazionala/Nacional;ESPAÑA;3,13;96,87;90,89;4,20;1,78;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,70;98,30;93,54;2,72;2,04;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,29;96,71;87,24;7,55;1,92;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1,79;98,21;95,91;1,91;0,39;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;3,52;96,48;94,32;1,31;0,85;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2,82;97,18;89,82;5,64;1,72;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;11,71;88,29;83,72;1,94;2,63;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;3,10;96,90;91,31;3,35;2,24;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3,48;96,52;91,15;3,55;1,82;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;2,09;97,91;92,67;4,18;1,06;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,41;97,59;90,80;4,29;2,50;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;3,85;96,15;89,01;3,78;3,36;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,34;97,66;93,48;2,08;2,10;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2,71;97,29;95,24;1,49;0,56;;;;;
