1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;89,00;28,00;61,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;152,00;51,00;101,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;67,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;78,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;38,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;51,00;n.d.;n.d.;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;119,00;1,00;118,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;124,00;24,00;100,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;94,00;3,00;91,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;30,00;3,00;27,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;1.616,05;1.665,36;1.605,79;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.449,08;2.615,67;2.414,98;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.324,75;1.365,07;1.315,80;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.219,12;1.170,29;1.231,31;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.176,53;1.368,71;1.128,36;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.451,70;2.432,72;2.455,22;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.721,11;1.610,06;1.750,16;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.498,40;1.586,64;1.479,13;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;970,03;1.082,80;943,08;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;755,57;854,36;733,87;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.020,22;1.965,01;2.029,14;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;636,65;787,80;625,36;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.224,97;1.258,05;1.215,80;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.387,82;2.192,62;2.439,98;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;977,28;1.068,08;961,48;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.438,56;1.444,68;1.437,24;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;973,21;1.078,61;953,04;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.211,36;1.616,49;1.149,09;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.777,82;2.366,69;1.660,04;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.990,28;3.428,07;4.167,03;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.387,80;4.727,53;2.274,87;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.406,67;990,32;1.530,04;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.389,32;2.452,62;2.371,39;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.319,17;2.324,48;2.318,05;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.747,91;2.283,22;1.640,53;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.431,51; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.739,91; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.422,34;3.023,64;2.356,71;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.251,22;2.870,08;3.387,78;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.942,05;1.859,69;2.016,92;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.960,62;2.232,67;1.789,92;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.893,60;1.865,65;1.903,70;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.688,37; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;730,14; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.624,04; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.848,46;1.838,79;1.854,27;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.396,60; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.840,88; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.248,63; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.309,48; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.295,04;2.560,55;2.169,27;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.748,95;2.031,18;1.718,21;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.463,76; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.724,94; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.059,73;2.619,98;1.268,78;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.983,15; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.072,80; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;3.957,52; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.612,08; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.160,10;3.971,24;4.250,76;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.842,17;2.950,76;2.783,06;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.616,38; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.074,49; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.538,65; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.171,19; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.751,86; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.569,60;5.290,27;3.178,54;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.431,97; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.861,59; n.d. ; n.d. ;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;2.451,01;1.764,42;1.575,76;1.568,74;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.090,42;2.391,78;2.299,13;2.404,80;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.796,54;1.388,29;1.261,02;1.342,82;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.343,48;1.022,67;1.335,25;1.301,66;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.255,53;1.106,25;1.131,34;1.259,80;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.028,70;2.585,10;2.432,93;2.316,70;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.568,24;1.817,58;1.530,09;1.407,73;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.617,54;1.493,57;1.424,82;1.656,81;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.270,27;981,64;1.031,79;1.073,13;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;966,07;845,84;838,33;827,27;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.468,02;2.172,51;2.030,76;2.094,26;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;602,76;722,03;748,34;713,24;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.697,44;1.299,65;1.237,76;1.240,86;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.835,60;2.362,57;2.139,89;2.381,74;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.231,07;1.070,01;973,70;896,70;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.550,00;1.673,35;1.544,89;1.478,18;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.330,82;944,36;971,43;975,94;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.569,09;1.279,38;1.115,08;1.066,08;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;
Nazionala/Nacional;ESPAÑA;1.680,09;1.331,04;1.321,66;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.429,40;2.897,26;2.892,11;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.377,39;1.131,17;1.055,51;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.276,50;1.116,11;741,45;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.202,65;1.102,93;1.005,13;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.451,97;1.847,79;2.794,81;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;992,81;1.001,04;610,21;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;713,90;546,57;445,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.285,42;1.110,55;815,51;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.051,38;877,33;573,91;;;;;;;
