1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
EUSKADI/PAÍS VASCO;Honduras;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Armenia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Azerbaijan;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Panama;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Filipinas;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Uruguay;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Nicaragua;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;10,00;0,00;0,09;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;
Nazionala/Nacional;ESPAÑA;5.220,00;8,87;9,77;15,11;66,25;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.811,00;3,85;6,96;12,77;76,42;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2017ko 4. hiruhilekoa;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;
Nazionala/Nacional;ESPAÑA;15,68;1,59;75,47;7,26;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;15,57;2,05;75,62;6,76;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;16,65;1,16;74,99;7,20;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;17,63;1,37;71,11;9,89;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;16,22;4,59;64,49;14,70;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;15,31;0,05;82,50;2,14;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;19,83;0,82;76,27;3,08;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;16,36;0,48;74,77;8,39;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;16,67;4,97;69,51;8,85;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;16,68;1,56;76,02;5,74;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;12,52;1,90;77,46;8,12;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;5,61;2,56;76,15;15,68;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;20,82;1,09;74,98;3,11;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;19,43;1,73;72,98;5,86;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;13,50;1,15;77,17;8,18;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;15,12;5,64;70,50;8,74;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;14,25;1,38;74,91;9,46;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11,97;0,84;78,50;8,69;;;;;;
Capitales de TTHH;Vitoria-Gasteiz;13,90;3,36;69,74;13,00;;;;;;
Capitales de TTHH;Donostia/San Sebastián;23,51;0,28;75,36;0,85;;;;;;
Capitales de TTHH;Bilbao;4,47;0,54;92,84;2,15;;;;;;
Resto de TTHH;Resto ARABA/ÁLAVA;19,75;2,47;66,67;11,11;;;;;;
Resto de TTHH;Resto GIPUZKOA;20,80;0,69;73,55;4,96;;;;;;
Resto de TTHH;Resto BIZKAIA;15,38;3,45;72,04;9,13;;;;;;
Áreas funcionales;Álava Central;14,08;3,52;70,39;12,01;;;;;;
Áreas funcionales;Balmaseda-Zalla;0,00;0,00;93,75;6,25;;;;;;
Áreas funcionales;Beasain-Zumárraga;5,26;1,32;86,84;6,58;;;;;;
Áreas funcionales;Bilbao Metropolitano;8,92;2,30;81,82;6,96;;;;;;
Áreas funcionales;Donostia-San Sebastián;25,58;0,29;71,82;2,31;;;;;;
Áreas funcionales;Durango;43,48;5,22;47,82;3,48;;;;;;
Áreas funcionales;Eibar;35,16;0,00;56,05;8,79;;;;;;
Áreas funcionales;Gernika-Markina;25,45;0,00;65,46;9,09;;;;;;
Áreas funcionales;Igorre;38,46;0,00;46,16;15,38;;;;;;
Áreas funcionales;Laguardia;76,92;0,00;15,39;7,69;;;;;;
Áreas funcionales;Laudio / Llodio;2,50;0,00;75,00;22,50;;;;;;
Áreas funcionales;Arrasate-Bergara;28,30;5,66;47,17;18,87;;;;;;
Áreas funcionales;Mungia;25,00;33,33;41,67;0,00;;;;;;
Áreas funcionales;Tolosa;1,79;0,00;98,21;0,00;;;;;;
Áreas funcionales;Zarautz-Azpeitia;6,35;0,00;91,27;2,38;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2017ko 4. hiruhilekoa;;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;;
Nazionala/Nacional;ESPAÑA;91,23;8,77;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;76,96;23,04;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;90,40;9,60;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;89,41;10,59;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;73,37;26,63;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;93,80;6,20;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;91,31;8,69;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;95,97;4,03;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;87,02;12,98;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;77,84;22,16;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;92,75;7,25;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;88,67;11,33;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;93,87;6,13;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;97,37;2,63;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;87,45;12,55;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;67,15;32,85;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;83,73;16,27;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;91,09;8,91;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;75,50;24,50;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia/San Sebastián;77,04;22,96;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;83,87;16,13;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;51,81;48,19;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;73,27;26,73;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;77,19;22,81;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;76,35;23,65;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;98,49;1,51;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;68,28;31,72;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;78,32;21,68;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;77,92;22,08;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;92,33;7,67;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;60,16;39,84;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;76,39;23,61;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;91,59;8,41;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;100,00;0,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;31,44;68,56;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;53,62;46,38;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;51,95;48,05;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;88,98;11,02;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;70,40;29,60;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2017ko 4. hiruhilekoa;;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK    LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;;
Nazionala/Nacional;ESPAÑA;83,34;6,17;1,04;6,30;2,42;0,73;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;80,22;6,91;1,24;9,92;1,41;0,30;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;85,79;4,01;1,11;6,54;1,85;0,70;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;77,60;3,69;1,97;10,77;4,94;1,03;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;76,78;9,33;1,11;5,01;4,41;3,36;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;85,43;7,44;0,70;3,76;1,74;0,93;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;79,29;10,98;1,35;4,37;2,68;1,33;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;90,70;5,32;1,36;1,27;1,00;0,35;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;76,24;5,23;1,05;11,31;5,84;0,33;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;84,33;3,73;0,73;6,69;3,87;0,65;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;86,52;7,31;0,95;2,82;2,30;0,10;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;82,67;3,09;0,44;5,63;7,58;0,59;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;80,34;4,78;1,21;1,58;10,44;1,65;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;83,02;7,03;0,99;7,91;0,45;0,60;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;80,42;3,20;1,09;1,35;5,74;8,20;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;81,34;5,30;0,43;6,34;6,36;0,23;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;82,44;6,96;1,30;8,21;1,09;0,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;82,60;4,84;0,97;7,76;3,45;0,38;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;86,30;5,64;1,24;6,09;0,48;0,25;;;;
Lurraldea/TTHH;GIPUZKOA;81,13;9,37;1,14;5,63;2,25;0,48;;;;
Lurraldea/TTHH;BIZKAIA;78,25;5,61;1,31;13,55;1,08;0,20;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2017ko 4. hiruhilekoa;;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 04 trimestre 20172;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK/KUTXAK LIBRE BANCOS/CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK/KUTXAK VPO BANCOS/CAJAS;BABESTUAK BESTEAK VPO OTRAS;;;;
Nazionala/Nacional;ESPAÑA;92,02;7,98;91,97;8,03;89,87;10,13;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;91,48;8,52;81,08;18,92;71,36;28,64;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91,45;8,55;92,71;7,29;92,17;7,83;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;88,07;11,93;89,30;10,70;83,07;16,93;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;81,15;18,85;69,86;30,14;70,46;29,54;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;98,05;1,95;92,98;7,02;98,11;1,89;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;95,59;4,41;91,81;8,19;91,53;8,47;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;91,71;8,29;95,86;4,14;95,86;4,14;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;82,96;17,04;86,87;13,13;93,63;6,37;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;94,30;5,70;81,78;18,22;79,43;20,57;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;91,39;8,61;92,48;7,52;94,53;5,47;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;75,12;24,88;93,12;6,88;88,95;11,05;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96,17;3,83;96,53;3,47;87,58;12,42;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;94,43;5,57;97,21;2,79;97,38;2,62;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;88,76;11,24;88,37;11,63;80,91;19,09;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;86,50;13,50;67,05;32,95;60,27;39,73;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;91,23;8,77;81,67;18,33;92,70;7,30;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,18;9,82;91,27;8,73;89,81;10,19;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;75,20;24,80;85,17;14,83;53,69;46,31;;;;
Lurraldea/TTHH;GIPUZKOA;96,89;3,11;74,40;25,60;64,83;35,17;;;;
Lurraldea/TTHH;BIZKAIA;91,92;8,08;84,95;15,05;86,57;13,43;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m koadroka (€). 2017ko 4. hiruhilekoa;;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m²(€). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS;BESTELAKOAK OTRAS;;;;;;;
Nazionala/Nacional;ESPAÑA;1.228,40;1.238,55;1.110,54;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.671,29;1.658,92;1.732,44;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;981,28;989,57;868,74;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;979,00;990,89;891,11;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.009,68;1.012,48;1.003,02;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.490,88;1.495,00;1.371,47;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.057,11;1.057,77;1.048,12;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.089,33;1.099,48;836,77;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;852,58;852,68;851,74;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;683,68;680,45;703,22;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.550,90;1.557,70;1.447,88;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;655,28;657,41;627,08;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.018,35;1.025,86;849,17;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.759,53;1.762,83;1.662,05;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;771,56;772,00;768,27;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.120,56;1.090,25;1.185,54;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;792,08;780,81;866,20;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;854,64;858,56;804,14;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.287,72;1.279,61;1.324,51;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.625,76;2.542,06;3.065,68;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.661,98;1.636,16;1.786,18;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.030,88;1.023,85;1.066,72;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.638,12;1.649,21;1.601,64;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.600,75;1.599,98;1.606,19;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.272,17;1.266,12;1.300,82;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.209,45;1.209,45; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.431,28;1.431,64;1.430,27;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.647,57;1.641,29;1.682,34;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.195,28;2.159,57;2.367,89;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.464,19;1.458,67; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.475,06;1.468,27;1.499,12;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.549,27;1.496,50; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.324,09; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;699,74;699,74; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.189,76;1.199,52; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.441,56;1.411,14;1.473,57;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.061,67; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.451,46;1.459,35; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;1.945,48;2.018,58;1.775,88;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2017ko 4. hiruhilekoa;;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;
Nazionala/Nacional;ESPAÑA;120.945,27;122.654,43;104.600,93;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;135.680,26;138.583,78;125.032,60;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;100.275,90;101.252,93;89.376,60;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;97.232,30;98.759,08;86.845,94;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;87.321,51;86.451,19;89.419,40;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;160.132,44;155.850,30;253.994,93;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;91.993,99;92.776,21;84.059,66;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;100.639,76;101.188,61;89.418,78;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;88.913,25;89.241,14;86.575,45;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;87.813,96;86.784,05;92.709,61;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;139.763,77;140.604,42;129.960,43;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;79.585,15;80.298,21;72.137,52;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;95.495,48;95.982,63;84.661,76;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;192.008,19;192.555,21;174.666,90;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;77.685,18;78.035,43;75.312,72;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;106.845,12;108.171,49;104.346,16;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;87.754,58;83.678,13;114.251,51;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;85.159,48;86.005,39;77.346,36;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;92.625,96;118.593,97;53.614,12;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;201.283,33;187.246,47;246.813,14;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;144.396,72;149.215,61;118.915,98;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;104.490,08;101.543,43; n.d. ;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;135.579,60;134.545,29;139.048,87;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;135.368,26;132.666,57;152.034,08;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;93.849,26;118.429,33;54.566,04;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;96.773,11;99.805,32; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;120.643,01;120.903,61;120.025,79;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;141.424,90;140.875,08;144.423,22;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;171.240,85;160.706,06;210.499,41;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;120.185,77;120.504,41; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;102.451,67;101.550,20;105.108,67;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;115.342,64;119.056,85; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;94.941,22;97.730,53; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;81.289,79; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;100.548,04;97.419,06; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;127.450,60;128.813,86;124.909,98;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;110.358,03; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;147.732,69;140.818,05; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;158.266,32;163.399,66;143.828,81;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziar indizeak (%). 2017ko 4. hiruhilekoa;;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;;;;;
Nazionala/Nacional;ESPAÑA;36,63;63,37;62,52;0,27;0,58;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;20,45;79,55;79,30; -     ;0,25;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;34,57;65,43;64,18;0,48;0,77;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;25,23;74,77;74,62;0,10;0,05;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;52,15;47,85;46,94; -     ;0,91;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;44,11;55,89;55,12;0,26;0,51;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;45,59;54,41;52,82;0,43;1,16;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;35,14;64,86;64,33; -     ;0,53;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;28,35;71,65;70,59;0,45;0,61;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;30,45;69,55;68,21;0,75;0,59;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;49,35;50,65;49,94;0,22;0,49;;;;;
