1.0.-Etxebizitzen salerosketa kopurua. 2017ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;119.408,00;20.065,00;99.343,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.481,00;868,00;3.613,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;22.802,00;3.953,00;18.849,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.982,00;383,00;2.599,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.945,00;407,00;1.538,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.459,00;701,00;3.758,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.427,00;1.082,00;5.345,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.188,00;232,00;956,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.626,00;957,00;3.669,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.112,00;704,00;3.408,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.131,00;2.558,00;17.573,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.746,00;143,00;1.603,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.610,00;818,00;2.792,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.120,00;3.976,00;14.144,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.379,00;464,00;2.915,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.287,00;283,00;1.004,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;693,00;150,00;543,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;17.420,00;2.386,00;15.034,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;533,00;65,00;468,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;502,00;108,00;394,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;693,00;55,00;638,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;110,00;19,00;91,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.132,00;315,00;817,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.458,00;306,00;1.152,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;590,00;78,00;512,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;48,00;1,00;47,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;124,00;16,00;108,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.821,00;273,00;1.548,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;940,00;226,00;714,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;153,00;53,00;100,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;156,00;53,00;103,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;54,00;12,00;42,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;24,00;13,00;11,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;18,00;8,00;10,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;52,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;161,00;95,00;66,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;14,00;4,00;10,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;96,00;4,00;92,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;177,00;32,00;145,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;28,00;1,00;27,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;78,00;14,00;64,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;160,00;20,00;140,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;142,00;13,00;129,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;58,00;4,00;54,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;46,00;13,00;33,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;19,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;83,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;89,00;40,00;49,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;82,00;2,00;80,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;91,00;27,00;64,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;131,00;38,00;93,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;89,00;3,00;86,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;99,00;3,00;96,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;32,00;n.d.;n.d.;;;;;;
