1.0.-Etxebizitzen salerosketa kopurua. 2017ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2017;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;73,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;120,00;1,00;119,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;142,00;35,00;107,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;90,00;1,00;89,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;38,00;10,00;28,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.605,66;1.659,65;1.594,76;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.422,65;2.545,00;2.397,13;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.302,08;1.357,76;1.290,06;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.128,69;1.323,77;1.101,53;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.153,46;1.221,92;1.137,54;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.134,79;2.283,23;2.106,53;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.674,52;1.553,67;1.698,97;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.470,14;1.568,20;1.444,96;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.030,23;1.214,48;982,70;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;749,45;746,40;750,08;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.977,02;1.983,69;1.976,01;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;655,68;681,37;653,49;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.249,33;1.233,01;1.254,12;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.412,12;2.260,07;2.452,58;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;960,79;994,79;955,21;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.414,46;1.637,37;1.352,85;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;961,07;1.055,03;934,71;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.151,95;1.337,65;1.121,23;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.644,46;1.800,50;1.625,48;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.079,03;3.476,79;4.251,34;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.332,16;3.477,75;2.254,71;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.539,08; n.d. ; n.d. ;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.259,73;2.375,37;2.217,83;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.278,11;2.318,02;2.270,77;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.630,12;1.763,40;1.612,96;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.454,55; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.951,34;2.019,52;1.941,49;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.365,12;2.789,87;2.319,18;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.251,81;2.929,80;3.348,31;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.077,53;2.090,29;2.070,58;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.935,63;1.749,26;2.041,81;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.188,52; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.651,77;1.826,07;1.445,78;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;796,89; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.710,54; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.306,88;2.712,82;1.788,97;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.380,10; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.933,52; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.807,65;2.884,59;2.788,86;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.479,77; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.081,37;2.041,59;2.092,07;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.648,87;1.779,94;1.634,30;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.420,69; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.670,76; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.465,74; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.133,87; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.418,64; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.131,82;4.436,66;3.860,85;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.997,09; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.124,38;3.871,00;4.243,61;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.513,38;2.115,21;2.670,79;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.404,98; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;1.980,44; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;2.106,42; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.176,36; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.994,78; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.554,69;4.117,85;3.400,49;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;1.868,64; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.827,07; n.d. ; n.d. ;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;2.275,55;1.735,99;1.545,97;1.566,24;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.233,98;2.442,83;2.272,73;2.368,70;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.664,25;1.422,81;1.198,96;1.299,01;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.364,06;1.065,52;1.105,73;1.275,26;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.287,10;1.128,69;1.125,94;1.182,03;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.091,87;2.373,40;1.989,11;1.998,83;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.154,36;1.734,00;1.506,82;1.350,93;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.957,28;1.506,88;1.394,57;1.500,92;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.619,92;1.004,91;1.068,23;1.070,20;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.062,77;818,30;817,35;812,57;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.507,79;2.089,89;1.943,84;2.143,23;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;755,71;704,21;726,50;729,02;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.680,74;1.347,16;1.264,83;1.202,52;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.462,77;2.213,50;2.148,41;2.487,18;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.220,65;1.026,29;957,78;893,24;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.839,71;1.443,05;1.422,33;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.264,04;855,36;986,38;945,37;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.498,20;1.200,40;1.039,21;1.014,77;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.662,18;1.320,50;1.321,90;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.403,90;2.850,97;3.146,46;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.349,01;1.113,03;1.059,60;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.185,26;1.007,13;671,94;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.172,27;1.254,14;932,14;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.084,33;1.741,32;2.791,97;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;969,11;863,21;871,88;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;721,62;612,29;385,17;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.279,72;1.082,42;1.055,60;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.089,55;907,81;679,24;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;818,06;666,59;558,10;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.635,34;2.100,40;1.611,83;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.483,50;1.392,33;1.348,96;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.055,21;1.583,47;1.619,63;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.454,23;1.723,07;2.595,61;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;961,48;1.185,29;611,44;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.469,68;1.180,38;1.160,50;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.117,06;1.362,24;1.224,25;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 02 trimestre 2017;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;273,24;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;402,94;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;288,15;;;;;;;;
Lurraldea/TTHH;BIZKAIA;214,84;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;4,85;1,50;0,00;27,94;0,34;1,49;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-0,09;1,50;0,00;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,83;1,40;-0,20;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-0,20;1,40;0,10;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-5,36;1,10;0,20;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4,40;1,80;0,10;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;7,27;1,70;0,20;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-1,23;1,40;0,10;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1,64;1,70;-0,40;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;0,29;1,40;0,80;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;6,27;1,70;-0,30;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-5,94;1,30;-1,00;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4,29;1,60;0,20;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;7,09;1,40;-0,10;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,38;1,10;-0,80;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;6,61;1,10;0,90;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1,78;1,60;0,10;27,94;0,34;1,49;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1,19;1,40;0,50;27,94;0,34;1,49;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2017ko 2. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2017;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
ESPAÑA;España;104.167,00;0,87;-;;;;;;
ESPAÑA;Reino Unido;2.328,00;0,02;0,15;;;;;;
ESPAÑA;Francia;1.322,00;0,01;0,08;;;;;;
ESPAÑA;Alemania;1.220,00;0,01;0,08;;;;;;
ESPAÑA;Belgica;993,00;0,01;0,06;;;;;;
ESPAÑA;Suecia;965,00;0,01;0,06;;;;;;
ESPAÑA;Italia;959,00;0,01;0,06;;;;;;
ESPAÑA;Rumania;840,00;0,01;0,05;;;;;;
ESPAÑA;Marruecos;680,00;0,01;0,04;;;;;;
ESPAÑA;China;640,00;0,01;0,04;;;;;;
ESPAÑA;Rusia;425,00;0,00;0,03;;;;;;
ESPAÑA;Holanda;392,00;0,00;0,03;;;;;;
ESPAÑA;Noruega;343,00;0,00;0,02;;;;;;
ESPAÑA;Ucrania;284,00;0,00;0,02;;;;;;
ESPAÑA;Argelia;234,00;0,00;0,02;;;;;;
ESPAÑA;Polonia;224,00;0,00;0,01;;;;;;
ESPAÑA;Bulgaria;182,00;0,00;0,01;;;;;;
ESPAÑA;Suiza;176,00;0,00;0,01;;;;;;
ESPAÑA;Irlanda;161,00;0,00;0,01;;;;;;
ESPAÑA;Dinamarca;158,00;0,00;0,01;;;;;;
ESPAÑA;Finlandia;115,00;0,00;0,01;;;;;;
ESPAÑA;Gainerakoa/Resto;2.960,00;0,02;0,19;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2017ko 2. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 02 trimestre 2017;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
EUSKADI/PAÍS VASCO;España;4.435,00;0,97;-;;;;;;
EUSKADI/PAÍS VASCO;Rumania;24,00;0,01;0,20;;;;;;
EUSKADI/PAÍS VASCO;China;18,00;0,00;0,15;;;;;;
EUSKADI/PAÍS VASCO;Francia;6,00;0,00;0,05;;;;;;
EUSKADI/PAÍS VASCO;Colombia;5,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;5,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Portugal;5,00;0,00;0,04;;;;;;
EUSKADI/PAÍS VASCO;Ecuador;4,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Italia;4,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;3,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;3,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Alemania;3,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Anguilla;3,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Argentina;3,00;0,00;0,03;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;2,00;0,00;0,02;;;;;;
EUSKADI/PAÍS VASCO;Paraguay;2,00;0,00;0,02;;;;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Bosnia-Herzegovina;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Filipinas;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;India;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Belgica;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Brasil;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Republica Dominicana;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Austria;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Bulgaria;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Costa de Marfil;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Turquia;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Irlanda;1,00;0,00;0,01;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;15,00;0,00;0,13;;;;;;
;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2017ko 2. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 02 trimestre 2017;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;5.069,00;9,02;9,59;18,01;63,38;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.615,00;3,66;5,67;16,48;74,19;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2017ko 2. hiruhilekoa;;;;;;;;;;
2.1.- Distribución de compraventas (%). 02 trimestre 2017;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;
Nazionala/Nacional;ESPAÑA;15,23;1,58;75,56;7,63;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;15,55;3,82;75,88;4,75;;;;;
