1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;91.075,81;90.921,49;92.066,50;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;89.324,60;87.447,30;98.405,83;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;153.323,97;154.225,50;141.497,38;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;74.984,31;75.548,27;68.839,04;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96.839,41;97.427,59;87.527,76;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;194.374,59;192.778,75;239.762,04;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;84.411,17;86.449,29;71.601,12;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;114.901,94;113.261,54;117.854,67;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;87.205,54;82.908,74;105.529,11;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;94.221,52;95.121,78;85.629,22;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;129.673,06;133.319,10;117.678,09;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;220.040,67;216.721,48;229.801,34;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;147.854,52;150.358,01;137.725,23;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;106.225,47;104.535,00;112.826,38;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;131.856,82;132.213,65;130.884,85;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;137.638,54;139.113,18;128.570,92;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;128.700,12;131.776,01;118.190,85;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;127.217,93;133.703,50; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;120.871,50;117.576,99;126.142,71;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;141.903,19;143.645,24;133.370,94;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;177.276,79;175.720,65;182.541,96;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;142.712,68;143.123,21;136.315,17;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;117.105,19;119.236,43;108.047,39;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;134.426,60;136.515,83;128.855,32;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;119.010,09;116.709,82; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;89.904,33; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;102.959,53;102.364,39;104.315,13;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;123.359,85;126.900,81;114.611,58;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;237.453,14; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;135.950,34;118.336,04;216.682,54;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;160.033,08;161.082,08;158.627,42;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziar indizeak (%). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;40,62;59,38;57,73;0,28;1,37;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;26,11;73,89;73,72;0,02;0,15;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;39,95;60,05;58,86;0,69;0,50;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;37,17;62,83;62,51;0,18;0,14;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;46,63;53,37;53,20;0,04;0,13;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;55,30;44,70;44,45; -     ;0,25;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;40,02;59,98;59,40;0,17;0,41;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;45,65;54,35;52,57; -     ;1,78;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;41,23;58,77;58,15;0,10;0,52;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;30,25;69,75;67,76;0,83;1,16;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;51,59;48,41;47,97;0,16;0,28;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;25,34;74,66;72,80;0,84;1,02;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;49,42;50,58;50,34;0,03;0,21;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;29,07;70,93;65,28;0,02;5,63;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;50,37;49,63;49,19;0,09;0,35;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;36,80;63,20;62,75;0,18;0,27;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;38,75;61,25;60,60; -     ;0,65;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;49,49;50,51;49,42;0,36;0,73;;;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;22,69;77,31;76,92;0,13;0,26;;;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;27,56;72,44;72,16; -     ;0,28;;;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;26,11;73,89;73,85; -     ;0,04;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Finantza-erakunde mota. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                         ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;284,00;286,00;273,00;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;293,00;296,00;281,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;288,00;288,00;280,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;270,00;271,00;260,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;281,00;279,00;289,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;252,00;254,00;198,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;255,00;256,00;240,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;276,00;277,00;253,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;272,00;273,00;269,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;276,00;273,00;295,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;291,00;293,00;266,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;278,00;276,00;304,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;279,00;281,00;252,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;309,00;310,00;288,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;274,00;274,00;277,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;274,00;274,00;275,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;260,00;272,00;207,00;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;269,00;270,00;263,00;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;304,00;304,00;303,00;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;279,00;288,00;251,00;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;295,00;296,00;288,00;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;306,00;305,00;312,00;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;290,00;289,00;291,00;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;294,00;299,00;262,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;304,00;303,00;304,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;315,00;318,00; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;301,00;294,00;310,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;292,00;296,00;271,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;280,00;284,00;265,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;313,00;313,00;300,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;297,00;297,00;298,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;307,00;310,00;300,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;314,00;307,00; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;316,00; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;297,00;308,00;274,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;299,00;296,00;306,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;286,00; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;295,00;303,00;260,00;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;287,00;297,00;275,00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
3.4.2.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Higiezin mota.  2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
3.4.2.- Duración media de los nuevos créditos hipotecarios (meses). Tipo bien inmueble. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;264,00;266,00;168,00;296,00;237,00;159,00;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;281,00;293,00;159,00;299,00;186,00;146,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;292,00;291,00;183,00;357,00;259,00;166,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;268,00;270,00;178,00;294,00;287,00;179,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;283,00;281,00;182,00;325,00;145,00;178,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;247,00;251,00;163,00;268,00;190,00;149,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;243,00;250,00;113,00;289,00;315,00;148,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;272,00;276,00;190,00;279,00;282,00;144,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;270,00;272,00;184,00;299,00;232,00;163,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;269,00;276,00;181,00;264,00;235,00;169,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;288,00;291,00;173,00;315,00;228,00;132,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;272,00;278,00;187,00;287,00;265,00;192,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;274,00;279,00;190,00;288,00;192,00;141,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;214,00;218,00;146,00;185,00;258,00;147,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;273,00;274,00;182,00;311,00;261,00;159,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;274,00;275,00;188,00;346,00;203,00;142,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;265,00;260,00;224,00;314,00; n.d. ; n.d. ;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;262,00;265,00;168,00;284,00;222,00;165,00;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;299,00;304,00;167,00;314,00; n.d. ; n.d. ;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;268,00;279,00;143,00;293,00; n.d. ; n.d. ;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;287,00;295,00;192,00;307,00; n.d. ; n.d. ;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;303,00;306,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;281,00;290,00;172,00;324,00;183,00;129,00;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;275,00;294,00;140,00;279,00;161,00;152,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;299,00;304,00;165,00;315,00; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;310,00;315,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;286,00;301,00;168,00;329,00; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;276,00;292,00;155,00;271,00;158,00;155,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;270,00;280,00;155,00;299,00; n.d. ;145,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;300,00;313,00;177,00;325,00; n.d. ;142,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;273,00;297,00;107,00;352,00; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;302,00;307,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;317,00;314,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;298,00; n.d. ; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;298,00;297,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;290,00;299,00;181,00;306,00; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;261,00; n.d. ; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;283,00;295,00; n.d. ; n.d. ; n.d. ; n.d. ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;283,00;287,00; n.d. ;325,00; n.d. ; n.d. ;;;;;;;;;;
;;;;;;;;;;;;;;;;;
3.5.1.- Batez besteko hileroko hipoteka-kuota (€) eta  Soldata kostuarekiko ehunekoa. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
3.5.1.- Cuota hipotecaria mensual media (€) y Porcentaje respecto al coste salarial. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                           ÁMBITO;Hileko kuota Cuota mensual;Soldata-kostua Coste salarial;% soldataren gaineko kuota % cuota sobre salario;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;587,51;1.919,42;30,61;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;611,20;2.258,33;27,06;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;500,24;1.670,50;29,95;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;480,09;1.818,28;26,40;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;437,54;1.950,37;22,43;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;760,89;1.864,97;40,80;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;490,81;1.624,41;30,21;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;479,47;1.836,92;26,10;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;438,06;1.717,84;25,50;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;425,88;1.677,59;25,39;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;719,42;2.050,91;35,08;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;353,37;1.553,80;22,74;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;463,36;1.703,09;27,21;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;829,34;2.313,28;35,85;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;408,41;1.683,59;24,26;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;531,60;2.082,18;25,53;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;430,89;1.731,01;24,89;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;460,69;1.706,66;26,99;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
3.5.2.- Interes-motak. Zenbatekoa (%). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
3.5.2.- Tipos de interés. Importe (%). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;INTERESA     INTERES;;;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;2,47;;;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,79;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,51;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2,44;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,36;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2,52;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2,70;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2,32;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,48;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2,50;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,71;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2,44;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,61;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2,25;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2,59;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2,16;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;2,41;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,56;;;;;;;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1,84;;;;;;;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;1,76;;;;;;;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;1,80;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
