1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;86,00;16,00;70,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;17,00;n.d.;n.d.;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;111,00;55,00;56,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;63,00;1,00;62,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;90,00;4,00;86,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;76,00;2,00;74,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;261,00;135,00;126,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;102,00;1,00;101,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;125,00;n.d.;n.d.;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;50,00;n.d.;n.d.;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;85,00;n.d.;n.d.;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;231,00;81,00;150,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;161,00;27,00;134,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;207,00;17,00;190,00;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;59,00;16,00;43,00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.706,84;1.781,46;1.689,32;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.565,38;2.790,50;2.523,45;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.355,37;1.399,08;1.344,33;;;;;;;;;;;;;
