1.0.-Etxebizitzen salerosketa kopurua. 2019ko 4. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2019;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;117.387,00;21.902,00;95.485,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.608,00;927,00;3.681,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;24.030,00;4.632,00;19.398,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.366,00;804,00;2.562,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.894,00;443,00;1.451,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.226,00;582,00;2.644,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.806,00;1.022,00;3.784,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.546,00;194,00;1.352,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.850,00;956,00;3.894,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.842,00;931,00;3.911,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;18.346,00;2.609,00;15.737,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.745,00;245,00;1.500,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.109,00;861,00;3.248,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;16.602,00;4.032,00;12.570,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.897,00;633,00;3.264,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.328,00;385,00;943,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;857,00;287,00;570,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;17.335,00;2.359,00;14.976,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;588,00;119,00;469,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;587,00;202,00;385,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;700,00;38,00;662,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;127,00;28,00;99,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.140,00;237,00;903,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.398,00;297,00;1.101,00;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea/ Álava Central;638,00;124,00;514,00;;;;
Eskualde Egitura/Áreas funcionales;Enkanterri/ Encartaciones;33,00;1,00;32,00;;;;
Eskualde Egitura/Áreas funcionales;Goierri;113,00;10,00;103,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitarra/ Bilbao Metropolitano;1.796,00;246,00;1.550,00;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Beherea/ Donostialdea-Bajo Bidasoa;1.149,00;325,00;824,00;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;135,00;58,00;77,00;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena/ Bajo Deba;160,00;45,00;115,00;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;44,00;7,00;37,00;;;;
Eskualde Egitura/Áreas funcionales;Arratia;26,00;3,00;23,00;;;;
