1.0.-Etxebizitzen salerosketa kopurua. 2015eko 1. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2015;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;90.534,00;22.670,00;67.864,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.376,00;840,00;2.536,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;17.420,00;4.676,00;12.744,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.435,00;507,00;1.928,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.370,00;401,00;969,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.531,00;543,00;1.988,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.868,00;1.253,00;3.615,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;963,00;208,00;755,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.119,00;1.157,00;2.962,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.110,00;804,00;2.306,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;14.282,00;2.693,00;11.589,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.423,00;308,00;1.115,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.290,00;1.502,00;1.788,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;14.686,00;3.754,00;10.932,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.485,00;644,00;1.841,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.006,00;280,00;726,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;717,00;326,00;391,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.453,00;2.774,00;9.679,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;379,00;113,00;266,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;274,00;61,00;213,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;643,00;85,00;558,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;77,00;14,00;63,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;842,00;212,00;630,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.085,00;364,00;721,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;419,00;124,00;295,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;20,00;2,00;18,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;114,00;22,00;92,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.435,00;282,00;1.153,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;643,00;171,00;472,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;175,00;127,00;48,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;72,00;26,00;46,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;46,00;14,00;32,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;20,00;8,00;12,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;13,00;9,00;4,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;39,00;3,00;36,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;69,00;20,00;49,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;7,00;4,00;3,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;94,00;10,00;84,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;134,00;27,00;107,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;16,00;2,00;14,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;51,00;23,00;28,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;106,00;32,00;74,00;;;;;;
