1.0.-Etxebizitza salerosketak. 2014ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2014;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Estatukoa/Estatal;ESPAÑA;78.464,00;30.605,00;47.859,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.103,00;970,00;2.133,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.583,00;6.808,00;8.775,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.032,00;613,00;1.419,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.202,00;484,00;718,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.190,00;901,00;1.289,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.596,00;2.261,00;2.335,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.033,00;442,00;591,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.301,00;1.291,00;2.010,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.003,00;1.216,00;1.787,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;11.980,00;3.264,00;8.716,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.292,00;467,00;825,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.987,00;1.633,00;1.354,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.522,00;3.883,00;6.639,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.524,00;1.245,00;1.279,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;998,00;365,00;633,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;527,00;225,00;302,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.591,00;4.537,00;7.054,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;519,00;351,00;168,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;262,00;58,00;204,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;493,00;66,00;427,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;73,00;15,00;58,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;785,00;345,00;440,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;914,00;352,00;562,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;542,00;359,00;183,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;28,00;5,00;23,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;73,00;11,00;62,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.197,00;308,00;889,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;476,00;118,00;358,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;94,00;60,00;34,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;73,00;42,00;31,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;41,00;17,00;24,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;8,00;4,00;4,00;;;;;;
