1.0.-Etxebizitza salerosketak. 2015ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2015;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;84.031,00;15.819,00;68.212,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.366,00;646,00;2.720,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;16.535,00;3.157,00;13.378,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.194,00;326,00;1.868,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.439,00;412,00;1.027,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.858,00;568,00;2.290,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.364,00;910,00;3.454,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.124,00;233,00;891,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.449,00;745,00;2.704,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2.837,00;488,00;2.349,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;13.406,00;1.896,00;11.510,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.268,00;161,00;1.107,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.196,00;1.211,00;1.985,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;11.272,00;2.461,00;8.811,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.950,00;428,00;2.522,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.002,00;180,00;822,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;574,00;176,00;398,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.197,00;1.821,00;10.376,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;263,00;38,00;225,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;329,00;46,00;283,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;720,00;64,00;656,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;77,00;16,00;61,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;868,00;174,00;694,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;994,00;269,00;725,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;299,00;46,00;253,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;53,00;5,00;48,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;168,00;11,00;157,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.501,00;266,00;1.235,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;672,00;141,00;531,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;85,00;36,00;49,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;114,00;54,00;60,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;28,00;8,00;20,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;19,00;10,00;9,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;16,00;8,00;8,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;31,00;1,00;30,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;55,00;8,00;47,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;8,00;4,00;4,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;93,00;2,00;91,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;109,00;7,00;102,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;13,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;32,00;2,00;30,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;78,00;14,00;64,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;69,00;16,00;53,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;32,00;1,00;31,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;26,00;4,00;22,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;23,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;55,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;7,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;137,00;4,00;133,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;57,00;27,00;30,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;48,00;13,00;35,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;78,00;3,00;75,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;75,00;2,00;73,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;19,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;55,00;4,00;51,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;147,00;5,00;142,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;124,00;37,00;87,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;134,00;5,00;129,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;31,00;7,00;24,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2015ko 4. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 4 trimestre 2015;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.482,03;1.536,35;1.469,56;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.384,91;2.603,09;2.349,78;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.273,05;1.321,76;1.261,41;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.173,02;1.439,43;1.122,46;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.331,74;1.659,14;1.198,13;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.139,53;2.341,53;2.089,03;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.465,82;1.352,34;1.495,13;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.482,24;1.492,53;1.479,52;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;941,31;1.060,53;906,99;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;725,64;901,96;689,71;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.793,06;1.986,85;1.760,22;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;643,72;816,14;622,55;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.177,36;1.161,77;1.187,31;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.134,38;1.973,79;2.175,28;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.001,25;921,24;1.014,99;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.253,74;1.089,95;1.286,90;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;975,90;996,16;966,12;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.143,32;1.361,54;1.104,23;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.781,94;1.631,08;1.799,43;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.907,92;3.424,55;4.007,44;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.464,28;2.885,58;2.425,90;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.316,57;779,33;1.477,74;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.063,57;2.574,35;1.981,37;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.339,19;2.561,87;2.294,43;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.720,34;1.452,09;1.756,22;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.910,65; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.370,21; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.441,59;2.927,15;2.383,94;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.045,66;2.866,18;3.076,91;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.093,58;2.062,98;2.117,57;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.433,34;2.859,72;2.032,54;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.207,33; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.549,74; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;887,57; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.714,59; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.462,89; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.934,62; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.598,58; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.551,46; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.361,32; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.273,40; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.751,69; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.666,77; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.862,45; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;977,32; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.093,70; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;4.627,55; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;2.317,82; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.471,38; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;3.994,16;4.053,02;3.939,51;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.221,41;1.885,37;2.333,42;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.426,20; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.016,88; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.514,79; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.202,37; n.d. ; n.d. ;;;;;;
