1.0.-Etxebizitzen salerosketa kopurua. 2017ko 3. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2017;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;119.156,00;20.885,00;98.271,00;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.357,00;818,00;3.539,00;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;22.497,00;4.086,00;18.411,00;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.950,00;549,00;2.401,00;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.939,00;484,00;1.455,00;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.875,00;735,00;3.140,00;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.985,00;1.244,00;4.741,00;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.466,00;308,00;1.158,00;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.455,00;808,00;3.647,00;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.282,00;659,00;3.623,00;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;20.535,00;2.672,00;17.863,00;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.684,00;206,00;1.478,00;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.729,00;919,00;2.810,00;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.046,00;3.759,00;14.287,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.621,00;626,00;2.995,00;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.250,00;220,00;1.030,00;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;789,00;176,00;613,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;17.696,00;2.616,00;15.080,00;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;595,00;98,00;497,00;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;443,00;92,00;351,00;;;
Hiriburak/Capitales de TTHH;Bilbao;832,00;117,00;715,00;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;87,00;12,00;75,00;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;976,00;273,00;703,00;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.310,00;220,00;1.090,00;;;
Eskualde Egitura/Áreas funcionales;Álava Central;637,00;104,00;533,00;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;28,00;2,00;26,00;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;104,00;10,00;94,00;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.878,00;256,00;1.622,00;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;935,00;269,00;666,00;;;
Eskualde Egitura/Áreas funcionales;Durango;123,00;50,00;73,00;;;
Eskualde Egitura/Áreas funcionales;Eibar;108,00;32,00;76,00;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;53,00;14,00;39,00;;;
Eskualde Egitura/Áreas funcionales;Igorre;13,00;4,00;9,00;;;
Eskualde Egitura/Áreas funcionales;Laguardia;15,00;6,00;9,00;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;46,00;1,00;45,00;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;123,00;49,00;74,00;;;
Eskualde Egitura/Áreas funcionales;Mungia;14,00;5,00;9,00;;;
Eskualde Egitura/Áreas funcionales;Tolosa;61,00;2,00;59,00;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;105,00;8,00;97,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;38,00;2,00;36,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;88,00;25,00;63,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;160,00;20,00;140,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;166,00;31,00;135,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;58,00;3,00;55,00;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;66,00;16,00;50,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;17,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;59,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;93,00;37,00;56,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;98,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;74,00;29,00;45,00;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;97,00;23,00;74,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;114,00;2,00;112,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;87,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;39,00;n.d.;n.d.;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;113,00;2,00;111,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;113,00;4,00;109,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;166,00;48,00;118,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;104,00;9,00;95,00;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;87,00;50,00;37,00;;;
;;;;;;;
;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2017ko 3. hiruhilekoa;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 03 trimestre 2017;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;
Nazionala/Nacional;ESPAÑA;1.622,77;1.675,23;1.611,61;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.484,05;2.624,96;2.452,30;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.305,33;1.410,89;1.281,27;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.215,68;1.529,96;1.143,29;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.166,86;1.311,14;1.121,78;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.306,21;2.326,19;2.301,44;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.705,11;1.701,90;1.705,95;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.473,13;1.494,25;1.467,09;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;995,94;1.090,27;975,86;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;759,12;878,25;739,11;;;
