1.0.-Etxebizitzen salerosketa kopurua. 2018ko 4. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2018;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;120.199,00;21.760,00;98.439,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.398,00;832,00;3.566,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;23.850,00;4.337,00;19.513,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.131,00;551,00;2.580,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.065,00;425,00;1.640,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.416,00;572,00;2.844,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.215,00;1.204,00;4.011,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.670,00;302,00;1.368,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.002,00;928,00;4.074,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.606,00;920,00;3.686,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;19.456,00;2.832,00;16.624,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.792,00;230,00;1.562,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.092,00;829,00;3.263,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;17.605,00;4.282,00;13.323,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.918,00;734,00;3.184,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.409,00;354,00;1.055,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;931,00;261,00;670,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;17.643,00;2.167,00;15.476,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;453,00;51,00;402,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;399,00;77,00;322,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;806,00;122,00;684,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;131,00;19,00;112,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.082,00;271,00;811,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.375,00;334,00;1.041,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;493,00;56,00;437,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;41,00;6,00;35,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;98,00;12,00;86,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.891,00;368,00;1.523,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;961,00;249,00;712,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;114,00;56,00;58,00;;;;
Eskualde Egitura/Áreas funcionales;Eibar;144,00;59,00;85,00;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;62,00;10,00;52,00;;;;
Eskualde Egitura/Áreas funcionales;Igorre;22,00;5,00;17,00;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;24,00;13,00;11,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;72,00;1,00;71,00;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;62,00;17,00;45,00;;;;
Eskualde Egitura/Áreas funcionales;Mungia;18,00;2,00;16,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;112,00;14,00;98,00;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;132,00;6,00;126,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;51,00;4,00;47,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;55,00;6,00;49,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;144,00;17,00;127,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;108,00;10,00;98,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;48,00;2,00;46,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;41,00;12,00;29,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;14,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;61,00;22,00;39,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;54,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;66,00;2,00;64,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;81,00;19,00;62,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;121,00;34,00;87,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;96,00;1,00;95,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;63,00;1,00;62,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;32,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;63,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;214,00;80,00;134,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;135,00;24,00;111,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;153,00;5,00;148,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;45,00;11,00;34,00;;;;
;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2018ko 4. hiruhilekoa;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 04 trimestre 2018;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;1.700,55;1.777,53;1.683,61;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.532,19;2.697,74;2.497,65;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.369,27;1.475,53;1.345,11;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.294,69;1.656,29;1.208,75;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.205,28;1.352,32;1.168,09;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.491,40;2.475,38;2.494,70;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.779,16;1.668,69;1.813,06;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.507,26;1.707,84;1.460,05;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.017,18;1.149,66;987,04;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;778,88;890,16;751,33;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.139,87;2.260,99;2.117,99;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;667,36;1.049,31;609,88;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.275,25;1.157,67;1.305,08;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.686,13;2.316,15;2.795,39;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.049,68;1.058,57;1.047,60;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.541,81;1.838,57;1.470,24;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.304,61;1.991,89;1.011,95;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.239,00;1.559,14;1.194,14;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.816,09;1.976,85;1.803,30;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.203,96;4.270,71;4.189,36;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.504,48;2.855,18;2.468,61;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.369,85;912,06;1.456,77;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.379,05;2.333,14;2.389,36;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.463,69;2.686,69;2.394,89;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.754,66;1.818,10;1.748,96;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.675,64; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.742,74; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.557,77;2.927,09;2.485,72;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.251,14;3.226,54;3.257,16;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.131,53;2.087,82;2.176,98;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.976,26;1.804,60;2.072,39;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.072,29; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.548,84; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;772,42; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.686,16; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.634,53;1.701,93;1.611,41;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.950,23; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.923,92;2.120,78;1.898,24;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.248,87; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.569,03; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.270,26; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.954,07; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.615,18; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.883,89; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.484,96; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.869,41; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.278,61;3.891,74;5.951,04;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.262,56; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.838,38; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.224,66;3.781,10;4.333,45;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.179,75;4.660,23;2.575,87;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.806,38; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.261,28; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.579,07; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.435,43; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.986,70;2.333,78;1.911,50;;;;
