1.0.- Número de compraventas de vivienda. 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;18.746,00;2.734,00;16.012,00;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;609,00;65,00;544,00;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;559,00;93,00;466,00;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;982,00;51,00;931,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;239,00;55,00;184,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.354,00;218,00;1.136,00;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.884,00;402,00;1.482,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;721,00;74,00;647,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;55,00; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;200,00;17,00;183,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.394,00;334,00;2.060,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;1.121,00;199,00;922,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;172,00;58,00;114,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;162,00;48,00;114,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;132,00;36,00;96,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;24,00;2,00;22,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;25,00;8,00;17,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;112,00;40,00;72,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;102,00;37,00;65,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;46,00;6,00;40,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;143,00;14,00;129,00;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;218,00;11,00;207,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;33,00;4,00;29,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;93,00;1,00;92,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;171,00;28,00;143,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;140,00;14,00;126,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;65,00;9,00;56,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;100,00;9,00;91,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;25,00; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;90,00;30,00;60,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;64,00;3,00;61,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;94,00;5,00;89,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;95,00;5,00;90,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;190,00;50,00;140,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;119,00;2,00;117,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;92,00; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;51,00; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;111,00;1,00;110,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;190,00;3,00;187,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;169,00;33,00;136,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;157,00;6,00;151,00;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;83,00;6,00;77,00;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO; OROKORRA GENERAL ; BERRIA     NUEVA ; ERABILIA USADA ;;;;;;;
Nazionala/Nacional;ESPAÑA;1.807,13;2.014,89;1.757,17;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.781,30;3.005,00;2.741,22;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.431,89;1.701,22;1.362,88;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.470,92;2.038,44;1.339,79;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.263,02;1.406,40;1.226,64;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.730,94;2.569,84;2.766,46;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.906,25;1.834,62;1.925,62;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.556,61;1.554,17;1.557,05;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.037,99;1.293,76;978,30;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;812,92;946,79;782,37;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.267,74;2.472,82;2.227,43;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;717,33;912,55;693,19;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.347,23;1.398,10;1.331,18;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.819,59;2.734,65;2.849,98;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.041,97;1.188,26;1.006,54;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.622,73;1.613,34;1.625,29;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.101,64;1.333,22;1.057,84;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.321,04;1.750,82;1.243,72;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.344,09;2.424,59;2.336,26;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.710,64;4.633,89;4.726,43;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.731,04;3.644,44;2.679,01;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.627,13;1.771,68;1.569,79;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.517,70;2.440,11;2.531,44;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.616,66;3.014,79;2.516,07;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;2.237,86;2.255,19;2.236,22;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.951,85; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.857,59;2.571,99;1.780,20;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.705,28;3.282,80;2.619,02;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.804,20;3.823,11;3.800,56;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.659,28;2.656,94;2.660,47;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.905,91;1.798,57;1.952,35;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.524,46;2.685,70;2.455,03;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.812,37; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;732,56; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.798,95;1.995,94;1.651,21;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.918,88;2.146,64;1.745,58;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.323,04; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.127,20; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.990,23;3.148,22;2.981,41;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;2.149,70; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.969,06; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.452,23;2.803,59;2.386,78;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.113,34; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.149,33; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.896,37; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.367,05; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.327,97;6.218,53;6.384,72;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.620,84; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.695,53; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.835,03; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.308,66;3.665,09;3.169,57;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.836,69; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.626,71; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.889,87; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.666,71; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.172,66; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.028,68;4.119,67;4.005,18;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.370,89; n.d. ; n.d. ;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.441,86; n.d. ; n.d. ;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; < 40 m² ; 40 m² - 60 m² ;  60 m² - 80 m² ;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;2.731,67;2.054,45;1.826,17;1.776,76;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.789,80;2.712,89;2.622,21;2.781,35;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.348,92;1.492,03;1.365,54;1.466,21;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.668,29;1.450,76;1.584,25;1.620,87;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.481,47;1.179,99;1.180,80;1.332,62;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.970,67;2.874,86;2.692,49;2.522,38;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.504,89;2.195,08;1.706,57;1.597,82;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.687,20;1.639,49;1.560,61;1.616,73;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.271,56;1.123,78;1.133,60;1.110,86;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.021,41;806,16;847,14;897,47;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.951,65;2.449,64;2.323,10;2.383,98;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;495,23;781,60;806,86;781,55;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.989,73;1.571,42;1.427,50;1.322,53;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.018,57;2.900,34;2.651,57;2.838,50;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.767,28;1.208,73;1.079,59;953,19;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.961,11;1.782,62;1.649,23;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.379,33;1.079,87;1.059,22;1.149,22;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.982,81;1.390,05;1.352,10;1.233,03;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; PISUAK PISOS ; ETXE ATXIKIAK ADOSADOS ; FAMILIABAKARRA UNIFAMILIARES ;;;;;;;
Nazionala/Nacional;ESPAÑA;1.904,73;1.442,33;1.387,02;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.775,16;3.020,53;2.737,27;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.502,39;1.216,32;1.097,63;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.608,41;1.166,56;662,96;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.287,45;1.212,63;1.076,37;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.667,92;2.289,49;3.422,25;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.135,54;945,35;704,21;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;761,40;804,13;499,19;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.445,87;883,07;900,47;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.130,24;881,55;587,68;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;876,77;827,60;601,17;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.864,58;2.388,98;1.654,72;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.612,59;1.355,22;1.310,46;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.377,73;1.842,00;1.860,33;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.918,67;1.906,42;2.725,31;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.070,28;1.133,86;724,99;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.713,66;1.419,27;1.247,84;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.350,18;1.305,17;1.151,75;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; Batez bestekoa Valor Medio ;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;384,77;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;182,70;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;381,36;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;504,87;;;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA ; KPI         IPC ; SOLDATEN KOSTUA COSTE SALARIAL ;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;-0,41;2,70;0,20;21,98;-0,21;0,46;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2,99;2,90;0,70;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1,24;2,70;-0,10;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1,71;3,20;0,80;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;5,79;2,90;-0,40;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1,00;3,20;-2,40;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-0,03;1,60;-1,70;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA; -   ;3,10;0,10;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-2,29;3,30;0,30;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;-0,60;3,40;0,20;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;0,10;2,60;0,80;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-2,54;3,00;0,40;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-0,02;3,30; -   ;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;0,95;2,10;0,10;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;0,54;2,60;0,80;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-1,25;3,20;0,20;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-6,19;2,80; -   ;21,98;-0,21;0,46;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1,42;3,00;0,40;21,98;-0,21;0,46;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2021ko 2. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2021ko 2. hiruhilekoa;;;;;
1.4.- Compraventas de extranjeros. 2 trimestre 2021;;;;;;1.4.- Compraventas de extranjeros. 2 trimestre 2021;;;;;
;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD; GUZTIRA EAE NUMERO CAE ; Guztiaren% %Total ; Atzerritaren% % Extranjeros ;;;;;;;
EUSKADI/PAÍS VASCO;España;5.498,00;0,98; - ;;;;;;;
EUSKADI/PAÍS VASCO;Rumania;21,00;0,00;0,15;;;;;;;
EUSKADI/PAÍS VASCO;China;10,00;0,00;0,07;;;;;;;
EUSKADI/PAÍS VASCO;Portugal;8,00;0,00;0,06;;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;8,00;0,00;0,06;;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;6,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Italia;6,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Alemania;5,00;0,00;0,04;;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;4,00;0,00;0,03;;;;;;;
EUSKADI/PAÍS VASCO;Argentina;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Paraguay;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Nepal;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Rusia;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Irlanda;3,00;0,00;0,02;;;;;;;
EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Ecuador;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Suiza;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;2,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Brasil;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Filipinas;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Bielorrusia;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Mexico;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Nicaragua;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Anguilla;1,00;0,00;0,01;;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;32,00;0,01;0,23;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BATEZBESTEKOA MEDIA ; < 2 urte             < 2 años ; 2 - 5 urte       2 - 5 años ;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;
Nazionala/Nacional;ESPAÑA;6.032,00;7,84;11,43;11,95;68,78;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;8.660,00;3,87;7,15;10,45;78,53;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
