1.0.- Número de compraventas de vivienda. 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Nazionala/Nacional;ESPAÑA;137.204,00;26.384,00;110.820,00;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.790,00;894,00;4.896,00;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;27.905,00;5.583,00;22.322,00;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4.026,00;743,00;3.283,00;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.335,00;479,00;1.856,00;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.132,00;554,00;2.578,00;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.082,00;1.070,00;4.012,00;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.732,00;253,00;1.479,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.923,00;1.133,00;4.790,00;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.525,00;1.019,00;4.506,00;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;22.062,00;3.469,00;18.593,00;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.382,00;247,00;2.135,00;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.540,00;1.100,00;3.440,00;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;20.631,00;5.671,00;14.960,00;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4.834,00;905,00;3.929,00;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.525,00;371,00;1.154,00;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.034,00;159,00;875,00;;;;;;;
