1.0.-Etxebizitza salerosketak. 2016ko 2. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2016;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;107.838,00;19.547,00;88.291,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.398,00;940,00;3.458,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;20.846,00;3.853,00;16.993,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.720,00;417,00;2.303,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.633,00;377,00;1.256,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.832,00;876,00;2.956,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.511,00;999,00;4.512,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.177,00;265,00;912,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.550,00;931,00;3.619,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.708,00;614,00;3.094,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;17.300,00;2.219,00;15.081,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.640,00;187,00;1.453,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.703,00;990,00;2.713,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;15.540,00;3.585,00;11.955,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.514,00;501,00;3.013,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.213,00;311,00;902,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;819,00;213,00;606,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;15.734,00;2.269,00;13.465,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;525,00;121,00;404,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;422,00;133,00;289,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;968,00;153,00;815,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;105,00;10,00;95,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.024,00;217,00;807,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.275,00;287,00;988,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;561,00;124,00;437,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;31,00;1,00;30,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;110,00;10,00;100,00;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.955,00;331,00;1.624,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;921,00;251,00;670,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;147,00;70,00;77,00;;;;
Eskualde Egitura/Áreas funcionales;Eibar;101,00;41,00;60,00;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;55,00;11,00;44,00;;;;
Eskualde Egitura/Áreas funcionales;Igorre;20,00;7,00;13,00;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;14,00;8,00;6,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;60,00;n.d.;n.d.;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;82,00;20,00;62,00;;;;
Eskualde Egitura/Áreas funcionales;Mungia;14,00;8,00;6,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;77,00;3,00;74,00;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;171,00;36,00;135,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;33,00;2,00;31,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;62,00;6,00;56,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;147,00;36,00;111,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;139,00;30,00;109,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;49,00;2,00;47,00;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;66,00;26,00;40,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;24,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;90,00;28,00;62,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4,00;2,00;2,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;77,00;7,00;70,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;113,00;47,00;66,00;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;111,00;47,00;64,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;169,00;82,00;87,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;98,00;4,00;94,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;35,00;n.d.;n.d.;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;77,00;5,00;72,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;127,00;2,00;125,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;240,00;19,00;221,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;135,00;9,00;126,00;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;52,00;6,00;46,00;;;;
;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2016ko 2. hiruhilekoa;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 2 trimestre 2016;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;1.515,31;1.543,44;1.509,11;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.430,26;2.345,52;2.448,76;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.238,49;1.268,47;1.231,62;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.164,57;1.356,97;1.127,96;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.156,62;1.288,15;1.119,42;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.987,30;1.811,37;2.040,13;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.608,05;1.477,84;1.636,70;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.457,02;1.652,43;1.403,56;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.012,42;1.151,99;973,49;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;760,79;902,18;733,74;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.846,76;1.824,05;1.850,27;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;674,21;865,79;653,75;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.168,82;1.129,12;1.183,83;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.194,64;2.118,46;2.216,16;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;950,71;950,81;950,70;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.264,81;1.094,91;1.317,08;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;862,70;1.026,58;805,03;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.123,63;1.312,37;1.090,34;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.600,16;1.722,56;1.575,59;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.683,98;3.129,23;3.927,48;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.658,17;2.362,37;2.718,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.470,88; n.d. ; n.d. ;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.192,55;1.975,26;2.232,80;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.319,75;2.331,59;2.317,30;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.598,29;1.705,38;1.577,83;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.945,92; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.830,08; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.537,74;2.428,18;2.555,85;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.004,82;2.798,19;3.065,92;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.052,20;2.230,90;1.885,42;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.839,61;1.697,14;1.926,68;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.120,01; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.528,06; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;725,57; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.587,60; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.915,91;1.650,97;2.004,23;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.145,00; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.819,22; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.885,75;2.636,16;2.943,19;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.170,91; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.090,89; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.630,76;1.867,98;1.541,42;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.416,21; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.604,01; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.347,93;1.473,52;1.222,35;;;;
