1.0.-Etxebizitza salerosketak. 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Irun;184,00;5,00;179,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;60,00;5,00;55,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;340,00;145,00;195,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;72,00;11,00;61,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Getxo;173,00;33,00;140,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Portugalete;90,00;16,00;74,00;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Santurtzi;147,00;19,00;128,00;;;;;;;;
;;;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.950,50;2.143,57;1.910,32;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.932,16;3.318,25;2.859,48;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.669,74;1.831,63;1.632,69;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.558,62;2.272,34;1.382,11;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.279,04;1.450,79;1.247,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.256,51;3.477,37;3.208,68;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.175,89;1.998,57;2.215,34;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.712,26;1.881,43;1.682,98;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.124,79;1.429,52;1.049,46;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;834,13;1.028,34;800,03;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.416,63;2.622,91;2.377,34;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;760,41;1.180,40;723,26;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.389,23;1.351,46;1.400,84;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.175,61;2.953,79;3.235,09;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.146,14;1.165,04;1.142,57;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.749,51;1.932,58;1.682,06;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.187,51;1.440,01;1.153,56;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.464,68;1.860,06;1.406,31;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;2.579,81;3.294,06;2.296,05;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;3.368,69;3.106,22;3.400,64;;;;;;;;
Lurraldea/TTHH;BIZKAIA;2.797,80;3.425,89;2.691,24;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.765,81;3.425,73;2.462,37;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;5.331,95;4.495,89;5.400,80;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.950,13;4.871,95;2.815,91;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.807,93;2.198,81;1.735,05;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.808,91;2.850,23;2.803,40;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.728,28;3.188,48;2.626,27;;;;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;2.645,82;3.367,41;2.349,70;;;;;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;2.137,08;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;1.814,58;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.889,59;3.803,19;2.763,50;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;4.093,24;3.772,58;4.129,90;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;2.390,03;2.331,50;2.415,75;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;2.028,26;1.673,75;2.130,52;;;;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;2.487,66;2.584,91;2.431,81;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;2.174,36;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;900,77;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Aiara;2.156,79;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;2.096,54;2.783,29;1.800,52;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;3.024,08;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;2.286,15;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;3.320,64;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;2.079,03;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;3.716,28;3.905,76;3.206,78;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.517,08;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.299,30;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.507,38;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.376,61;2.504,26;2.312,19;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;6.699,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.697,01;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;5.184,25;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;6.374,22;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;6.525,21;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.474,05;4.042,28;3.351,67;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;3.089,18;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.481,39;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;2.054,79;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.741,58;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.362,45;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.497,46;5.231,98;4.219,97;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.618,53;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.608,02;n.d.;n.d.;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Irun;2.897,69;n.d.;n.d.;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;3.142,69;n.d.;n.d.;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;2.588,17;3.738,45;2.504,63;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;2.708,95;n.d.;n.d.;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Getxo;3.983,77;4.524,72;3.844,31;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Portugalete;2.462,66;2.503,73;2.453,28;;;;;;;;
Udalerriak >40.000/Municipios >40.000;Santurtzi;2.393,43;2.720,93;2.333,01;;;;;;;;
;;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;;
Nazionala/Nacional;ESPAÑA;2.972,71;2.241,11;1.957,00;1.874,05;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.939,44;2.961,63;2.791,69;2.760,32;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.380,55;1.900,72;1.625,66;1.663,67;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.800,46;1.591,00;1.627,07;1.741,60;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.502,13;1.232,11;1.238,07;1.343,81;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.205,85;3.561,13;3.140,54;3.064,11;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.216,35;2.603,59;1.944,42;1.752,08;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.671,52;1.869,94;1.700,53;1.705,17;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.411,44;1.224,57;1.195,32;1.188,77;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;983,42;916,73;881,78;907,67;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.916,73;2.607,90;2.441,44;2.473,46;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.040,68;807,76;909,25;892,66;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.092,07;1.591,31;1.399,92;1.432,91;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.441,08;3.118,02;2.900,32;3.277,44;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.614,91;1.303,88;1.148,68;1.083,56;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2.515,67;2.558,20;1.995,37;1.726,37;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.626,42;1.196,34;1.177,18;1.208,85;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2.001,66;1.504,58;1.454,94;1.328,98;;;;;;;
;;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;;
Nazionala/Nacional;ESPAÑA;2.051,86;1.620,01;1.490,38;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.904,30;3.620,38;3.350,58;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.756,66;1.367,36;1.350,00;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.702,68;1.345,64;696,58;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.299,63;1.371,68;1.094,41;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.249,71;2.791,44;3.572,97;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.217,14;1.254,00;706,86;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;880,52;589,20;453,09;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.487,28;1.110,18;929,77;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.219,89;1.057,44;654,75;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;901,47;870,53;612,94;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.168,89;2.632,54;1.736,99;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.754,19;1.542,02;1.484,22;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.526,66;1.946,83;1.977,93;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.263,27;2.270,11;2.990,46;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.169,71;1.273,18;836,42;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.887,71;1.518,80;1.055,45;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.451,28;1.576,46;1.455,06;;;;;;;;
;;;;;;;;;;;;
1.1.4.-  Etxebizitza erosteko batez besteko prezioa (€). 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.1.4.- Precio medio de compraventa de vivienda (€). 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                 ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;;;
Nazionala/Nacional;ESPAÑA;186.921,00;218.217,00;180.409,00;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;246.489,00;293.807,00;238.771,00;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;172.664,00;203.113,00;165.695,00;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;135.681,00;207.565,00;117.902,00;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;111.590,00;123.105,00;109.442,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;351.941,00;358.180,00;350.590,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;178.465,00;172.527,00;179.786,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;157.738,00;180.175,00;153.855,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;114.578,00;150.476,00;105.703,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;95.311,00;118.760,00;91.194,00;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;217.674,00;249.582,00;211.595,00;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;81.616,00;138.283,00;76.604,00;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;130.138,00;142.665,00;126.290,00;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;308.973,00;315.485,00;307.227,00;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;112.344,00;117.100,00;111.445,00;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;170.817,00;187.153,00;164.798,00;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;111.600,00;137.925,00;108.059,00;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;141.745,00;194.228,00;133.997,00;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;211.927,00;225.117,00;208.911,00;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;275.551,00;281.889,00;274.779,00;;;;;;;;
Lurraldea/TTHH;BIZKAIA;239.868,00;324.943,00;225.434,00;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;222.620,00;226.961,00;221.573,00;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;464.445,00;575.791,00;455.275,00;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;248.803,00;440.187,00;235.436,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;174.197,00;217.066,00;166.204,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;221.692,00;227.750,00;220.884,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;235.791,00;306.023,00;220.222,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;216.615,00;227.469,00;214.201,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;196.060,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;153.049,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;246.664,00;371.686,00;229.409,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;335.074,00;366.661,00;331.463,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;207.897,00;202.689,00;210.186,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;153.269,00;122.954,00;162.013,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;203.757,00;219.090,00;194.952,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;200.258,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;78.590,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Aiara;192.558,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;168.307,00;234.505,00;139.773,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;341.321,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;199.259,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;272.540,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;160.125,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;306.519,00;276.676,00;329.068,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;240.013,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;177.533,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;206.745,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;210.301,00;201.673,00;214.655,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;521.667,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;520.338,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;416.990,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;609.246,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;491.001,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;324.011,00;610.774,00;262.247,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;268.810,00;n.d.;n.d.;;;;;;;;
