1.0.-Etxebizitza salerosketak. 2022ko 4. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2022;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
Nazionala/Nacional;ESPAÑA;150.141,00;25.862,00;124.279,00;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.125,00;970,00;4.155,00;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;31.472,00;5.806,00;25.666,00;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.551,00;687,00;2.864,00;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.726,00;467,00;2.259,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.175,00;734,00;3.441,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.161,00;1.137,00;5.024,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.091,00;293,00;1.798,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;6.590,00;1.271,00;5.319,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.853,00;867,00;4.986,00;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;24.038,00;3.815,00;20.223,00;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.503,00;234,00;2.269,00;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.263,00;1.219,00;4.044,00;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.528,00;3.906,00;14.622,00;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.135,00;814,00;4.321,00;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.556,00;445,00;1.111,00;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.059,00;123,00;936,00;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;24.315,00;3.074,00;21.241,00;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;907,00;236,00;671,00;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;1.497,00;162,00;1.335,00;;;;;;;;
Lurraldea/TTHH;BIZKAIA;2.721,00;572,00;2.149,00;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;718,00;199,00;519,00;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;343,00;33,00;310,00;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;811,00;103,00;708,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;189,00;32,00;157,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.154,00;173,00;981,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.813,00;426,00;1.387,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;810,00;210,00;600,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;73,00;3,00;70,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;152,00;23,00;129,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.148,00;422,00;1.726,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;861,00;92,00;769,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;111,00;31,00;80,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;148,00;34,00;114,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;182,00;61,00;121,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;23,00;3,00;20,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;21,00;10,00;11,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Aiara;82,00;11,00;71,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;112,00;37,00;75,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;42,00;4,00;38,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;108,00;n.d.;n.d.;;;;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;155,00;25,00;130,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;32,00;1,00;31,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;178,00;123,00;55,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;124,00;6,00;118,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;125,00;6,00;119,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;54,00;3,00;51,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;202,00;60,00;142,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;9,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;62,00;3,00;59,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;34,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;64,00;3,00;61,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;71,00;9,00;62,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;102,00;17,00;85,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;140,00;56,00;84,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;73,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;51,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;75,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;136,00;5,00;131,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;136,00;36,00;100,00;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;129,00;n.d.;n.d.;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;60,00;5,00;55,00;;;;;;;;
