1.0.-Etxebizitzen salerosketa kopurua. 2016ko 1. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;78,00;6,00;72,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;122,00;16,00;106,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;25,00;1,00;24,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;65,00;2,00;63,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;141,00;30,00;111,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;239,00;136,00;103,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;44,00;2,00;42,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;43,00;16,00;27,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;23,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;168,00;113,00;55,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;5,00;1,00;4,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;87,00;3,00;84,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;96,00;36,00;60,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;128,00;67,00;61,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;79,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;87,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;43,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;81,00;12,00;69,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;219,00;4,00;215,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;159,00;38,00;121,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;108,00;11,00;97,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;34,00;6,00;28,00;;;;;;
;;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;1.505,85;1.594,62;1.484,97;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.413,03;2.621,82;2.362,52;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.267,02;1.338,80;1.251,12;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.250,15;1.536,32;1.183,82;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.194,69;1.416,00;1.133,57;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.118,08;2.470,19;2.024,95;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.451,14;1.271,43;1.498,26;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.514,63;1.726,80;1.454,57;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;993,63;1.099,84;965,92;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;742,88;858,19;716,08;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.793,94;1.916,33;1.773,33;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;701,92;855,48;680,97;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.209,55;1.190,11;1.218,35;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.156,38;2.101,28;2.173,80;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;959,07;955,34;959,86;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.294,68;1.177,57;1.326,13;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;988,24;1.087,90;933,05;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.130,19;1.257,26;1.106,98;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.784,89;1.962,33;1.755,75;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;3.644,18;3.441,36;3.790,06;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.338,88;2.753,22;2.304,35;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.598,11; n.d. ; n.d. ;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.189,07;2.020,04;2.219,83;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.307,79;2.392,19;2.285,28;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.787,66;1.938,69;1.763,81;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.447,62; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.501,65; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.373,88;2.714,18;2.331,27;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.097,77;3.185,27;3.060,84;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.164,83;2.207,18;2.107,88;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.005,26;1.977,14;2.017,04;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.305,72;2.205,24;2.332,68;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.718,79; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;833,34; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.572,91; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.744,18;1.629,76;1.794,24;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.684,42; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.705,95; n.d. ; n.d. ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.766,10;2.254,52;2.847,96;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.527,22; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.221,62; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.820,00;2.000,40;1.762,38;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.451,74; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.993,68; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.651,85;1.795,22;1.553,29;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;3.736,42; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;4.106,11;3.775,13;4.842,37;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;1.885,26; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.178,47; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;3.724,05;3.498,19;3.865,77;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.453,84;2.555,05;2.379,27;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.386,58; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;1.892,26; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.823,71; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.566,98;2.133,78;2.652,20;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.837,86; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.383,98;3.779,41;3.317,28;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.055,00; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.658,07; n.d. ; n.d. ;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;2.046,88;1.582,81;1.456,69;1.479,74;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.165,06;2.226,33;2.280,70;2.317,38;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.840,14;1.328,89;1.181,37;1.258,44;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.681,16;1.123,42;1.261,49;1.346,40;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.452,26;1.124,93;1.079,82;1.261,98;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.835,70;2.129,34;1.917,09;1.972,35;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.760,70;1.560,96;1.320,49;1.167,19;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.646,73;1.505,94;1.379,50;1.502,82;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.328,90;975,05;1.033,43;1.059,46;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;837,25;782,72;771,84;832,36;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.257,65;1.788,81;1.758,70;1.908,18;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;707,37;760,93;706,50;800,64;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.509,91;1.284,00;1.218,37;1.183,44;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.712,47;2.004,34;1.866,12;2.273,19;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.160,32;1.063,73;1.032,95;877,84;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.325,06;1.483,27;1.381,85;1.327,90;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ;968,22;995,87;981,75;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.581,23;1.127,72;1.056,77;998,28;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.556,29;1.247,17;1.293,12;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.406,70;2.840,81;2.313,45;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.309,52;1.069,40;1.123,09;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.324,24;1.100,65;703,06;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.217,11;1.136,42;1.035,32;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.065,50;1.879,97;2.614,10;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.009,83;958,00;593,42;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;786,16;579,98;452,12;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.254,97;1.046,06;867,48;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.068,25;858,40;557,49;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;817,27;680,13;517,71;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.416,64;1.815,94;1.494,06;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.468,23;1.944,20;1.328,70;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.841,47;1.476,85;1.650,71;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.194,93;1.621,23;2.471,81;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;969,93;1.060,11;657,67;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.352,84;1.150,22;1.042,89;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.104,20;1.176,99;1.262,80;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;644,21;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1.466,03;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;521,93;;;;;;;;
Lurraldea/TTHH;BIZKAIA;259,20;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;2,88;-0,80;1,10;-24,29;0,55;1,57;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,01;-0,40;-0,50;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,09;-0,80;1,00;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-0,29;-0,80;1,60;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-1,36;-0,90;-0,50;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;10,39;-0,70;2,40;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3,64;-0,90;2,10;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1,57;-1,10;1,00;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-2,41;-1,10;0,80;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1,59;-1,40;-1,60;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,84;-0,60;-0,40;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2,83;-0,90;1,10;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-1,73;-1,10;-0,50;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;0,48;-0,80;1,60;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-0,11;-0,80;0,70;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-4,49;-0,70;0,90;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-4,23;-0,80;0,20;-24,29;0,55;1,57;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,21;-1,10;-0,90;-24,29;0,55;1,57;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2016ko 1. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
ESPAÑA;España;86.047,00;0,02;-;;;;;;
ESPAÑA;Reino Unido;2.768,00;0,00;0,00;;;;;;
ESPAÑA;Francia;1.008,00;0,00;0,00;;;;;;
ESPAÑA;Alemania;877,00;0,00;0,00;;;;;;
ESPAÑA;Suecia;799,00;0,00;0,00;;;;;;
ESPAÑA;Belgica;773,00;0,00;0,00;;;;;;
ESPAÑA;Italia;571,00;0,00;0,00;;;;;;
ESPAÑA;China;540,00;0,00;0,00;;;;;;
ESPAÑA;Rumania;527,00;0,00;0,00;;;;;;
ESPAÑA;Marruecos;386,00;0,00;0,00;;;;;;
ESPAÑA;Rusia;355,00;0,00;0,00;;;;;;
ESPAÑA;Holanda;305,00;0,00;0,00;;;;;;
ESPAÑA;Noruega;300,00;0,00;0,00;;;;;;
ESPAÑA;Ucrania;230,00;0,00;0,00;;;;;;
ESPAÑA;Argelia;196,00;0,00;0,00;;;;;;
ESPAÑA;Suiza;176,00;0,00;0,00;;;;;;
ESPAÑA;Irlanda;162,00;0,00;0,00;;;;;;
ESPAÑA;Polonia;154,00;0,00;0,00;;;;;;
ESPAÑA;Finlandia;130,00;0,00;0,00;;;;;;
ESPAÑA;Bulgaria;124,00;0,00;0,00;;;;;;
ESPAÑA;Dinamarca;119,00;0,00;0,00;;;;;;
ESPAÑA;Gainerakoa/Resto;2.185,00;0,00;0,00;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2016ko 1. hiruhilekoa;;;;;;;;;;
1.4.- Compraventas de extranjeros. 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;
EUSKADI/PAÍS VASCO;España;4.192,00;0,00;-;;;;;;
EUSKADI/PAÍS VASCO;China;12,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;9,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Rumania;9,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;5,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;4,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;3,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Portugal;3,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Peru;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Estados Unidos;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Brasil;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Australia;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Alemania;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;2,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Japon;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Ecuador;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Tunez;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Polonia;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Austria;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Nepal;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Italia;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Costa Rica;1,00;0,00;0,00;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;9,00;0,00;0,00;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.5.-Etxebizitzen jabetzaren batez besteko aldia (egunak/%). 2016ko 1. hiruhilekoa;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;
Nazionala/Nacional;ESPAÑA;4.810,00;8,04;9,85;24,62;57,49;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.150,00;4,13;8,07;20,98;66,82;;;;
;;;;;;;;;;
;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2016ko 1. hiruhilekoa;;;;;;;;;;
2.1.- Distribución de compraventas (%). 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;
Nazionala/Nacional;ESPAÑA;17,21;2,29;73,05;7,45;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;15,94;9,60;66,49;7,97;;;;;
