1.0.-Etxebizitzen salerosketa kopurua. 2016ko 1. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;99.427,00;19.385,00;80.042,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.261,00;1.088,00;3.173,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;19.191,00;3.497,00;15.694,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.684,00;464,00;2.220,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.619,00;398,00;1.221,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.067,00;636,00;2.431,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.522,00;1.131,00;4.391,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.149,00;237,00;912,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4.128,00;959,00;3.169,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.476,00;685,00;2.791,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15.879,00;2.226,00;13.653,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.529,00;186,00;1.343,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.312,00;1.031,00;2.281,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;14.985,00;3.763,00;11.222,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.822,00;464,00;2.358,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.249,00;342,00;907,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;614,00;203,00;411,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;13.940,00;2.075,00;11.865,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;570,00;190,00;380,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;509,00;221,00;288,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;829,00;72,00;757,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;68,00;13,00;55,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;894,00;175,00;719,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.335,00;432,00;903,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;593,00;191,00;402,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;27,00;1,00;26,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;97,00;19,00;78,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.857,00;370,00;1.487,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;922,00;296,00;626,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;159,00;95,00;64,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;127,00;43,00;84,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;62,00;16,00;46,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;19,00;6,00;13,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;15,00;13,00;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;41,00;1,00;40,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;74,00;24,00;50,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;12,00;6,00;6,00;;;;;;
