1.0.-Etxebizitzen salerosketa kopurua. 2023ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2023;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;151.983,00;28.739,00;123.244,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;5.038,00;663,00;4.375,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;30.698,00;6.269,00;24.429,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.966,00;819,00;3.147,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;3.145,00;656,00;2.489,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.688,00;751,00;2.937,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;6.570,00;1.368,00;5.202,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.122,00;301,00;1.821,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;6.859,00;1.406,00;5.453,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;6.545,00;1.212,00;5.333,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;24.210,00;4.058,00;20.152,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.566,00;350,00;2.216,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.702,00;911,00;3.791,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.895,00;4.544,00;14.351,00;;;;;;
