1.0.-Etxebizitza salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;
ESPAÑA;Danimarka/Dinamarca;82,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Gainerakoa/Resto;1,00;0,00;0,00;;;;;
ESPAÑA;Ukraina/Ucrania;79,00;0,00;0,00;;;;;;;;;;;
ESPAÑA;Irlanda;66,00;0,00;0,00;;;;;;;;;;;
ESPAÑA;Finlandia;54,00;0,00;0,00;;;;;;;;;;;
ESPAÑA;Argentina;52,00;0,00;0,00;;;;;;;;;;;
ESPAÑA;Polonia;48,00;0,00;0,00;;;;;;;;;;;
ESPAÑA;Gainerakoa/Resto;581,00;0,00;0,00;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;;;;;
Nazionala/Nacional;ESPAÑA;3.258,00;14,52;17,60;39,54;28,34;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.657,00;11,12;11,63;33,57;43,68;;;;;;;;;
;;;;;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;43,56;6,50;45,25;4,69;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;31,16;13,81;46,80;8,23;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;48,95;6,86;39,23;4,96;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;30,48;9,35;51,42;8,75;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;39,28;13,66;32,13;14,93;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;43,33;0,24;52,42;4,01;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;55,33;5,00;37,16;2,51;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;42,14;12,29;41,13;4,44;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;40,35;9,45;42,34;7,86;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;42,76;10,00;43,25;3,99;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;34,72;2,20;60,07;3,01;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;27,88;7,58;54,69;9,85;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;63,33;3,53;31,53;1,61;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;38,57;8,82;49,57;3,04;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;44,99;2,71;48,76;3,54;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;32,25;17,80;44,57;5,38;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;50,30;11,62;34,35;3,73;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;49,03;4,01;41,98;4,98;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;43,08;21,05;22,03;13,84;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;24,22;3,11;67,08;5,59;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;22,10;0,54;72,24;5,12;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;51,16;0,00;39,54;9,30;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;27,23;9,82;49,71;13,24;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;31,13;21,38;44,86;2,63;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;42,80;20,45;23,11;13,64;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;0,00;0,00;96,67;3,33;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;8,53;1,55;30,23;59,69;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;29,15;7,04;60,40;3,41;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;25,11;11,78;59,33;3,78;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;22,29;62,65;12,65;2,41;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;60,29;10,29;27,95;1,47;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;25,00;7,14;60,72;7,14;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;30,00;0,00;60,00;10,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;100,00;0,00;0,00;0,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;46,15;0,00;42,31;11,54;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;46,43;17,86;28,57;7,14;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;40,00;40,00;20,00;0,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;41,56;0,00;58,44;0,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;18,57;0,00;81,43;0,00;;;;;;;;;;
;;;;;;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK BANCOS;KUTXAK CAJAS;BESTELAKOAK OTRAS;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;75,55;10,31;14,14;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;42,91;35,20;21,89;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;76,73;8,89;14,38;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;71,67;8,70;19,63;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;69,32;10,97;19,71;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;83,80;7,35;8,85;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;78,93;5,37;15,70;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;86,16;7,47;6,37;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;73,22;10,26;16,52;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;72,22;9,40;18,38;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;76,29;9,23;14,48;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;81,28;9,00;9,72;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;86,58;5,32;8,10;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;87,43;5,88;6,69;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;65,78;10,99;23,23;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;49,84;20,56;29,60;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;83,94;5,90;10,16;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;75,12;9,06;15,82;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;23,53;60,19;16,28;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;56,63;32,44;10,93;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;53,57;19,12;27,31;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;52,01;20,38;27,61;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;37,90;36,25;25,85;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;45,88;32,35;21,77;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;23,94;59,53;16,53;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;66,12;33,88;0,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;14,80;80,25;4,95;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;51,65;21,16;27,19;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;51,87;31,34;16,79;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;17,39;75,86;6,75;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;38,69;42,30;19,01;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;71,02;5,95;23,03;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;19,36;53,67;26,97;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;49,17;50,83;0,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;80,11;4,43;15,46;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;35,40;1,98;62,62;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;0,00;36,00;64,00;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;59,63;31,35;9,02;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;16,35;22,81;60,84;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;;;;;;
Nazionala/Nacional;ESPAÑA;74,84;8,47;2,33;9,05;4,22;1,09;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;74,40;7,19;1,42;13,68;2,67;0,64;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;72,20;8,07;2,82;13,90;2,57;0,44;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;72,84;9,13;3,08;8,70;5,63;0,62;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;52,01;8,44;2,62;3,80;30,13;3,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;79,29;9,22;1,70;4,47;3,75;1,57;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;67,54;17,25;1,62;6,38;5,49;1,72;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;71,83;7,09;2,16;14,87;3,43;0,62;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;76,18;8,95;2,87;5,81;4,01;2,18;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;71,43;4,87;1,30;12,99;7,06;2,35;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;76,89;9,16;1,55;7,46;4,86;0,08;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;62,06;12,20;1,24;16,38;5,94;2,18;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;79,24;9,86;2,61;2,75;4,19;1,35;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;81,67;5,28;2,31;7,60;1,77;1,37;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;64,71;8,32;7,32;12,18;4,75;2,72;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;86,29;5,64;0,52;4,26;2,99;0,30;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;62,37;9,27;2,50;23,18;0,51;2,17;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;75,45;11,43;2,76;4,86;3,72;1,78;;;;;;;;
Lurraldea/TTHH;Araba/Álava;88,19;3,50;1,29;5,66;1,03;0,33;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;79,27;9,83;1,11;3,71;5,12;0,96;;;;;;;;
Lurraldea/TTHH;Bizkaia;66,33;7,05;1,65;22,52;1,87;0,58;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2012ko 3. hiruhekoa;;;;;;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK LIBRE BANCOS;LIBRE KUTXAK LIBRE CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK VPO BANCOS;BABESTUAK KUTXAK VPO CAJAS;BABESTUAK BESTEAK VPO OTRAS;;;;;;
Nazionala/Nacional;ESPAÑA;89,65;10,35;77,93;10,73;11,34;67,96;18,69;13,35;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;82,20;17,80;47,91;34,22;17,87;25,62;55,91;18,47;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;87,62;12,38;78,09;8,83;13,08;70,11;22,86;7,03;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;80,62;19,38;68,73;11,55;19,72;77,25;12,68;10,07;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;81,46;18,54;67,70;9,55;22,75;63,83;14,52;21,65;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;98,05;1,95;85,98;7,72;6,30;90,06;7,61;2,33;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;88,99;11,01;82,72;6,40;10,88;42,77;4,21;53,02;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;81,08;18,92;82,02;10,32;7,66;97,14;0,38;2,48;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;89,95;10,05;77,41;9,77;12,82;69,91;19,23;10,86;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;89,26;10,74;75,59;10,18;14,23;74,95;15,70;9,35;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;94,92;5,08;78,32;11,04;10,64;81,18;8,42;10,40;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;85,74;14,26;83,85;9,39;6,76;66,80;25,15;8,05;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;97,73;2,27;89,35;6,55;4,10;85,55;7,00;7,45;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;90,73;9,27;88,04;6,48;5,48;90,16;3,79;6,05;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;84,90;15,10;73,03;11,00;15,97;72,02;9,96;18,02;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;75,82;24,18;49,72;21,60;28,68;64,15;16,00;19,85;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;91,63;8,37;78,03;7,53;14,44;78,24;6,43;15,33;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,69;9,31;77,90;8,50;13,60;62,40;13,11;24,49;;;;;;
Lurraldea/TTHH;Araba/Álava;72,71;27,29;25,96;59,42;14,62;30,06;50,36;19,58;;;;;;
Lurraldea/TTHH;Gipuzkoa;84,11;15,89;42,98;35,89;21,13;30,85;54,83;14,32;;;;;;
Lurraldea/TTHH;Bizkaia;85,66;14,34;60,71;22,25;17,04;17,31;62,09;20,60;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m²ka (€). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m²(€). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK   CAJAS;BESTELAKOAK OTRAS;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.201,82;1.196,90;1.293,36;1.130,83;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.662,88;1.684,16;1.629,04;1.699,87;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.014,43;1.008,24;1.013,03;1.072,45;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.117,14;1.140,80;1.094,86;1.045,70;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.147,17;1.161,54;1.299,37;1.059,99;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.202,44;1.171,77;1.413,66;1.391,48;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;928,14;1.014,49;1.007,11;516,77;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.227,88;1.254,30;1.119,07;1.097,20;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;976,71;988,65;937,08;913,39;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;750,83;769,19;645,83;741,72;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.368,25;1.391,13;1.451,10;1.125,20;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;688,91;696,65;623,72; - ;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;947,08;961,54;818,18;818,30;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.701,16;1.714,78;1.668,03;1.539,07;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;877,93;884,26;817,08;879,97;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.280,48;1.336,59;1.275,22;1.174,11;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.020,86;1.026,80;1.189,83;941,96;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;928,07;942,61;835,74;856,52;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.400,78;1.326,70;1.437,94;1.391,91;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.343,70;2.221,39;2.627,36;1.880,90;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.873,73;1.827,28;2.084,02;1.761,00;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.330,56;1.309,58; - ; - ;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.721,34;1.779,80;1.610,39;1.887,95;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.700,39;1.715,79;1.630,89;1.800,32;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.399,21;1.315,22;1.440,13;1.395,77;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.579,40; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;1.387,94;1.563,27;1.360,24; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.819,54;1.774,10;1.922,20;1.818,24;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.047,69;1.985,88;2.183,46;1.959,85;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.504,14;1.462,98;1.522,58; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.662,71;1.665,51;1.642,60; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.919,18; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.068,29; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;923,48; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.495,62; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.588,39;1.511,64; - ;1.594,06;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;885,02; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.881,35;1.859,87;1.895,32; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;1.899,34; - ;1.686,69;2.006,11;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;103.860,93;105.922,85;102.508,61;93.066,04;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;129.290,11;138.097,12;123.815,32;121.796,93;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91.706,57;92.919,29;82.232,58;93.290,16;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;97.180,46;100.740,45;81.765,34;95.740,71;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;83.732,02;84.810,25;90.382,41;78.111,87;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;106.067,87;108.736,93;107.294,87;78.348,75;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;64.703,25;63.178,78;66.865,65;72.544,09;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;103.300,80;106.480,36;86.425,00;91.200,75;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;89.236,08;88.539,64;94.118,95;89.566,94;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;86.726,43;90.706,23;72.177,72;80.151,12;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;113.053,17;114.546,66;119.591,22;98.102,99;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;70.395,15;69.440,82;76.289,97;72.696,10;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;102.159,12;101.822,62;114.529,96;92.940,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;169.722,99;170.091,60;185.009,42;150.557,71;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;72.463,27;79.957,69;65.397,00;53.768,42;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;108.548,38;116.452,28;100.682,70;100.867,30;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;108.642,12;116.512,00;88.280,93;87.267,06;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;81.506,20;82.808,03;76.123,93;78.447,87;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;118.722,53;113.364,95;122.316,43;114.219,65;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;153.797,47;175.828,65;135.392,26;148.464,43;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;156.466,12;170.721,21;160.462,37;120.600,49;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;102.763,35;98.410,51;106.258,53;107.712,82;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;126.245,20;130.032,46;121.868,72;127.598,48;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;125.327,83;133.899,30;116.706,70;119.490,69;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;117.609,92;111.395,29;121.279,73;114.699,50;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;123.499,20; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;115.026,98;109.742,39;117.409,53; - ;;;;;;;;;;
