1.0.-Etxebizitza salerosketak. 2015ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2015;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;87.187,00;18.482,00;68.705,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.629,00;881,00;2.748,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;17.751,00;4.220,00;13.531,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.284,00;360,00;1.924,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.294,00;309,00;985,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.474,00;547,00;1.927,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.678,00;1.072,00;3.606,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.077,00;215,00;862,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.603,00;834,00;2.769,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;2.983,00;658,00;2.325,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;13.228,00;1.823,00;11.405,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.340,00;232,00;1.108,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.083,00;1.253,00;1.830,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;12.514,00;2.785,00;9.729,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.624,00;432,00;2.192,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.229,00;334,00;895,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;636,00;191,00;445,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;12.760,00;2.336,00;10.424,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;467,00;183,00;284,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;313,00;89,00;224,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;897,00;211,00;686,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;69,00;10,00;59,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;680,00;129,00;551,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.083,00;329,00;754,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;493,00;187,00;306,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;50,00;2,00;48,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;94,00;14,00;80,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.705,00;428,00;1.277,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;597,00;153,00;444,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;129,00;72,00;57,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;78,00;21,00;57,00;;;;;;
