1.0.-Etxebizitzen salerosketa kopurua. 2022ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2022;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;163.909,00;27.879,00;136.030,00;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;6.160,00;772,00;5.388,00;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;33.186,00;6.459,00;26.727,00;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4.410,00;711,00;3.699,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.950,00;480,00;2.470,00;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.470,00;770,00;3.700,00;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;7.446,00;1.257,00;6.189,00;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.075,00;280,00;1.795,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;6.905,00;1.296,00;5.609,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;7.016,00;1.207,00;5.809,00;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;26.038,00;4.247,00;21.791,00;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.633,00;343,00;2.290,00;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.274,00;1.069,00;4.205,00;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;21.777,00;4.283,00;17.494,00;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.568,00;869,00;4.699,00;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.768,00;623,00;1.145,00;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.327,00;229,00;1.098,00;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;24.906,00;2.984,00;21.922,00;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1.020,00;173,00;847,00;;;;;
Lurraldea/TTHH;GIPUZKOA;1.873,00;232,00;1.641,00;;;;;
Lurraldea/TTHH;BIZKAIA;3.267,00;367,00;2.900,00;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;702,00;147,00;555,00;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;487,00;71,00;416,00;;;;;
Hiriburak/Capitales de TTHH;Bilbao;968,00;57,00;911,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;261,00;21,00;240,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.361,00;183,00;1.178,00;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.185,00;328,00;1.857,00;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;780,00;156,00;624,00;;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;62,00;2,00;60,00;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;214,00;10,00;204,00;;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.607,00;279,00;2.328,00;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;1.044,00;156,00;888,00;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;189,00;43,00;146,00;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;217,00;68,00;149,00;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;140,00;32,00;108,00;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;31,00;4,00;27,00;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;29,00;6,00;23,00;;;;;
Eskualde Egitura/Áreas funcionales;Aiara;171,00;8,00;163,00;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;98,00;18,00;80,00;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;35,00;7,00;28,00;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;140,00;4,00;136,00;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;207,00;14,00;193,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;57,00;13,00;44,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;52,00;2,00;50,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;186,00;22,00;164,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;148,00;37,00;111,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;66,00;9,00;57,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;180,00;62,00;118,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;20,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;58,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;58,00;1,00;57,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;106,00;27,00;79,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;82,00;13,00;69,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;161,00;30,00;131,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;136,00;17,00;119,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;140,00;4,00;136,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;64,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;121,00;1,00;120,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;163,00;n.d.;n.d.;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;170,00;26,00;144,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;111,00;2,00;109,00;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;59,00;6,00;53,00;;;;;
Udalerriak >40.000/Municipios >40.000;Irun;182,00;6,00;176,00;;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;125,00;32,00;93,00;;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;312,00;36,00;276,00;;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;111,00;7,00;104,00;;;;;
Udalerriak >40.000/Municipios >40.000;Getxo;160,00;15,00;145,00;;;;;
Udalerriak >40.000/Municipios >40.000;Portugalete;120,00;1,00;119,00;;;;;
Udalerriak >40.000/Municipios >40.000;Santurtzi;182,00;1,00;181,00;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.1.-  Etxebizitzen batez besteko prezioa (€/m2). 2022ko 2. hiruhilekoa;;;;;;;;;
1.1.1.- Precio medio de vivienda (€/m2). 02 trimestre 2022;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                          ÁMBITO;OROKORRA GENERAL;BERRIA     NUEVA;ERABILIA USADA;;;;;
Nazionala/Nacional;ESPAÑA;1.956,92;2.055,26;1.936,69;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.787,09;2.901,48;2.772,13;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.649,17;1.866,93;1.593,77;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.475,77;1.790,92;1.424,04;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.281,17;1.548,11;1.232,71;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.179,96;3.363,70;3.141,62;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.147,02;1.768,63;2.224,37;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.643,02;1.653,96;1.641,25;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.159,10;1.374,56;1.107,64;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;830,40;893,65;818,12;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.427,10;2.560,12;2.400,10;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;795,70;1.081,60;757,34;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.440,54;1.299,07;1.476,37;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.168,95;2.842,03;3.245,47;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.122,13;1.149,48;1.116,93;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.773,26;1.898,85;1.709,83;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.162,67;1.380,41;1.114,37;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.431,51;1.773,20;1.384,45;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;1.964,14;2.045,57;1.946,34;;;;;
Lurraldea/TTHH;GIPUZKOA;3.208,03;2.973,00;3.240,92;;;;;
Lurraldea/TTHH;BIZKAIA;2.746,22;3.246,96;2.693,28;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.193,19;2.169,11;2.200,20;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.970,14;4.032,84;5.068,81;;;;;
Hiriburak/Capitales de TTHH;Bilbao;3.001,44;4.778,66;2.932,42;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.397,86;990,74;1.426,32;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.591,80;2.706,38;2.574,32;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.632,80;3.037,49;2.576,83;;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;2.162,57;2.129,75;2.171,35;;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;1.901,94; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Goierri;1.857,29; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.812,10;3.593,21;2.745,45;;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;3.905,87;3.846,25;3.913,95;;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;2.454,14;2.346,74;2.483,43;;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;2.155,32;1.681,04;2.365,75;;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;2.661,45;2.663,67;2.660,75;;;;;
Eskualde Egitura/Áreas funcionales;Arratia;1.747,77; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;942,34; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Aiara;1.283,38; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;2.226,75;2.571,61;2.150,11;;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;2.836,64; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;2.118,64; n.d. ; n.d. ;;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;3.089,16;3.196,11;3.081,35;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;2.197,97; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.969,64; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.442,23;3.198,28;2.364,23;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.051,24;2.485,56;1.920,95;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.149,08; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.710,15;1.548,80;1.887,97;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.312,27; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.159,64; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;5.156,80; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;6.202,58; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;5.364,10; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.578,58;3.514,28;3.593,42;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;3.186,44; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.534,27; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.930,90; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.581,22; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.670,39; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;4.572,65;5.758,79;4.379,55;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.670,45; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.674,19; n.d. ; n.d. ;;;;;
Udalerriak >40.000/Municipios >40.000;Irun;2.777,95; n.d. ; n.d. ;;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;3.060,00;4.226,45;2.648,31;;;;;
Udalerriak >40.000/Municipios >40.000;Barakaldo;2.490,55;2.759,76;2.462,70;;;;;
Udalerriak >40.000/Municipios >40.000;Basauri;2.144,03; n.d. ; n.d. ;;;;;
Udalerriak >40.000/Municipios >40.000;Getxo;3.910,83;4.850,43;3.807,20;;;;;
Udalerriak >40.000/Municipios >40.000;Portugalete;2.641,97; n.d. ; n.d. ;;;;;
Udalerriak >40.000/Municipios >40.000;Santurtzi;2.496,91; n.d. ; n.d. ;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2022ko 2. hiruhilekoa;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 02 trimestre 2022;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;
Nazionala/Nacional;ESPAÑA;2.945,33;2.200,99;1.943,88;1.904,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.520,64;2.757,93;2.620,47;2.713,62;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2.474,31;1.764,52;1.593,99;1.662,75;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.753,54;1.538,11;1.533,76;1.581,38;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.448,99;1.263,81;1.240,47;1.330,15;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.666,06;3.396,66;3.032,42;3.084,80;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3.034,14;2.446,73;1.841,47;1.692,80;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.214,18;1.707,00;1.673,88;1.589,77;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.554,43;1.185,55;1.222,78;1.224,41;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;991,76;963,95;884,44;913,42;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.973,91;2.584,23;2.438,69;2.525,58;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;879,51;930,54;897,97;887,69;;;;
