1.0.-Etxebizitza salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
1.4.- Atzerritarren salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.4.- Compraventas de extranjeros. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros;;;;;;;;
EUSKADI/PAÍS VASCO;España;5.004,00;0,00;-;;;;;;;;
EUSKADI/PAÍS VASCO;Rumania;27,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Marruecos;8,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Italia;7,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Reino Unido;6,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Portugal;6,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Ecuador;5,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;China;4,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Pakistan;4,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Francia;3,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Cuba;2,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Bolivia;2,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Republica Dominicana;2,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Brasil;2,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Ucrania;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Moldavia;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Azerbaijan;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Chile;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Venezuela;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Argentina;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Argelia;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Bangladesh;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Holanda;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Suiza;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Rusia;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Colombia;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Alemania;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Nicaragua;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Mongolia;1,00;0,00;0,00;;;;;;;;
EUSKADI/PAÍS VASCO;Gainerakoa/Resto;21,00;0,00;0,00;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.5.-Etxebizitzen edukiaren batez besteko aldia (egunak/%). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.5.- Periodo medio de posesión de las viviendas (días/%). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;< 2 urte             < 2 años;2 - 5 urte       2 - 5 años;5 - 10 urte       5 - 10 años;>10 urte          >10 años;;;;;;
Nazionala/Nacional;ESPAÑA;5.899,00;8,59;11,41;11,79;68,21;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;8.498,00;4,10;6,37;10,62;78,91;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;LIBRE BERRIA NUEVA LIBRE;BERRIA BABESTUA NUEVA VPO;LIBRE ERABILIA USADA LIBRE;ERABILIA BABESTUA USADA VPO;;;;;;;
Nazionala/Nacional;ESPAÑA;19,96;1,86;71,61;6,57;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;17,48;2,24;73,81;6,47;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;19,96;2,23;70,19;7,62;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;17,99;2,13;69,69;10,19;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;19,46;2,89;67,17;10,48;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;22,22;0,24;75,22;2,32;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;22,85;0,61;73,81;2,73;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;16,47;0,50;76,19;6,84;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;18,83;1,53;72,36;7,28;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;20,79;1,16;74,56;3,49;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;17,18;0,70;74,92;7,20;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;9,02;3,18;69,97;17,83;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;25,75;0,72;70,36;3,17;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;27,36;4,35;64,23;4,06;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;16,58;0,82;75,40;7,20;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;29,11;7,49;58,11;5,29;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;15,90;0,50;76,13;7,47;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;15,72;0,64;75,93;7,71;;;;;;;
Capitales de TTHH;Vitoria-Gasteiz;10,90;5,19;61,76;22,15;;;;;;;
Capitales de TTHH;Donostia/San Sebastián;22,76;0,00;75,61;1,63;;;;;;;
Capitales de TTHH;Bilbao;5,12;0,14;90,31;4,43;;;;;;;
Resto de TTHH;Resto ARABA/ÁLAVA;4,93;0,70;86,62;7,75;;;;;;;
Resto de TTHH;Resto GIPUZKOA;18,17;1,25;76,46;4,12;;;;;;;
Resto de TTHH;Resto BIZKAIA;24,64;3,41;67,51;4,44;;;;;;;
Áreas funcionales;Álava Central;10,14;4,61;65,43;19,82;;;;;;;
Áreas funcionales;Balmaseda-Zalla;0,00;0,00;93,94;6,06;;;;;;;
Áreas funcionales;Beasain-Zumárraga;36,59;0,61;59,75;3,05;;;;;;;
Áreas funcionales;Bilbao Metropolitano;18,30;2,66;75,24;3,80;;;;;;;
Áreas funcionales;Donostia-San Sebastián;19,52;0,81;76,55;3,12;;;;;;;
Áreas funcionales;Durango;27,13;0,78;59,69;12,40;;;;;;;
Áreas funcionales;Eibar;24,81;0,75;70,68;3,76;;;;;;;
Áreas funcionales;Gernika-Markina;28,57;2,04;66,33;3,06;;;;;;;
Áreas funcionales;Igorre;5,88;0,00;94,12;0,00;;;;;;;
Áreas funcionales;Laguardia;9,09;9,09;81,82;0,00;;;;;;;
Áreas funcionales;Laudio / Llodio;4,29;0,00;80,00;15,71;;;;;;;
Áreas funcionales;Arrasate-Bergara;24,39;6,10;54,88;14,63;;;;;;;
Áreas funcionales;Mungia;12,12;0,00;69,70;18,18;;;;;;;
Áreas funcionales;Tolosa;6,42;0,00;93,58;0,00;;;;;;;
Áreas funcionales;Zarautz-Azpeitia;0,67;0,00;97,32;2,01;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2021ko 1. hiruhilekoa;;;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;;;
Nazionala/Nacional;ESPAÑA;91,34;8,66;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;83,73;16,27;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91,59;8,41;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;91,30;8,70;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;72,73;27,27;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;90,01;9,99;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;92,44;7,56;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;94,44;5,56;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;86,80;13,20;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;82,36;17,64;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;93,16;6,84;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;93,40;6,60;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;93,62;6,38;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;97,00;3,00;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;88,27;11,73;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;60,14;39,86;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;79,80;20,20;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,32;9,68;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;78,66;21,34;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia/San Sebastián;68,34;31,66;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;89,61;10,39;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;88,11;11,89;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;81,22;18,78;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;86,63;13,37;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;81,04;18,96;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;100,00;0,00;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;50,27;49,73;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;86,73;13,27;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;75,46;24,54;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;97,10;2,90;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;92,79;7,21;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;88,18;11,82;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;100,00;0,00;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;100,00;0,00;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;83,79;16,21;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;79,50;20,50;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;91,05;8,95;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;70,30;29,70;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;73,05;26,95;;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;;;
Nazionala/Nacional;ESPAÑA;84,75;2,79;1,29;7,61;3,09;0,47;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;67,49;2,49;1,13;23,63;4,79;0,47;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;84,88;2,23;2,91;8,45;1,31;0,22;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;78,65;3,44;1,31;11,66;4,50;0,44;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;87,23;2,45;1,45;1,64;3,15;4,08;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;87,20;3,10;0,61;6,34;0,78;1,97;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;83,54;7,67;2,25;1,35;1,73;3,46;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;94,42;0,82;1,75;1,35;1,44;0,22;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;87,36;2,52;1,79;6,40;1,50;0,43;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;79,62;2,17;0,88;2,67;13,55;1,11;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;84,10;2,59;0,92;8,59;3,76;0,04;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;84,49;2,72;0,95;6,25;5,01;0,58;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;86,57;3,24;1,46;1,86;5,93;0,94;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;90,16;2,40;0,50;6,28;0,66;0,00;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;80,17;10,32;0,90;0,98;6,83;0,80;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;80,87;2,98;1,18;9,51;5,46;0,00;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;71,25;7,20;0,99;13,18;5,48;1,90;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;89,19;2,31;1,24;1,35;5,10;0,81;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;83,74;1,66;0,99;3,21;10,27;0,13;;;;;
Lurraldea/TTHH;GIPUZKOA;64,35;2,81;0,84;22,84;8,80;0,36;;;;;
Lurraldea/TTHH;BIZKAIA;65,29;2,50;1,34;29,23;1,02;0,62;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2021ko 1 hiruhekoa;;;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK/KUTXAK LIBRE BANCOS/CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK/KUTXAK VPO BANCOS/CAJAS;BABESTUAK BESTEAK VPO OTRAS;;;;;
Nazionala/Nacional;ESPAÑA;92,39;7,61;91,71;8,29;90,15;9,85;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;92,55;7,45;80,60;19,40;78,86;21,14;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91,91;8,09;92,04;7,96;91,61;8,39;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;81,25;18,75;92,08;7,92;91,76;8,24;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;87,55;12,45;73,91;26,09;67,95;32,05;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;97,60;2,40;92,16;7,84;95,06;4,94;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;95,50;4,50;92,61;7,39;87,75;12,25;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;93,04;6,96;93,99;6,01;98,96;1,04;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;91,26;8,74;87,25;12,75;89,07;10,93;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;93,30;6,70;82,49;17,51;66,24;33,76;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;92,60;7,40;93,70;6,30;97,04;2,96;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;75,15;24,85;92,92;7,08;91,85;8,15;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;97,41;2,59;96,30;3,70;92,24;7,76;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;93,53;6,47;96,47;3,53;95,76;4,24;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;91,08;8,92;86,67;13,33;87,06;12,94;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;85,60;14,40;68,84;31,16;57,92;42,08;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;88,78;11,22;77,50;22,50;66,93;33,07;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;92,62;7,38;90,72;9,28;89,07;10,93;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;82,39;17,61;80,29;19,71;67,55;32,45;;;;;
Lurraldea/TTHH;GIPUZKOA;96,86;3,14;71,60;28,40;76,44;23,56;;;;;
Lurraldea/TTHH;BIZKAIA;93,30;6,70;86,17;13,83;89,11;10,89;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m²ka (€). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m² (€). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.306,82;1.320,96;1.165,82;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.945,66;1.905,30;2.093,97;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.035,61;1.049,68;883,34;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.087,17;1.089,89;1.059,65;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.084,12;1.080,18;1.094,49;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.695,83;1.691,36;1.867,51;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.163,09;1.158,37;1.223,04;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.106,01;1.091,78;1.425,42;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;855,04;851,40;880,56;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;731,42;738,64;694,40;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.650,71;1.660,66;1.464,80;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;684,49;688,16;640,63;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.003,95;1.007,25;918,09;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.951,98;1.957,33;1.821,45;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;772,52;797,55;641,60;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.269,58;1.244,19;1.315,35;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;884,94;862,38;973,67;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;922,75;934,17;818,38;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.570,54;1.563,29;1.588,96;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.931,34;2.893,09;3.009,87;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.884,38;1.929,95;1.678,07;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.235,80;1.221,34;1.288,97;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.774,76;1.770,22;1.785,13;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.100,38;1.980,35;3.001,09;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.520,26;1.505,07;1.562,53;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.472,94;1.472,94; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.589,64;1.329,23;1.768,88;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.129,44;2.051,97;2.604,72;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.372,06;2.307,88;2.564,59;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.551,79;1.569,88; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.556,96;1.527,92;1.683,81;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.595,11;1.550,63;1.673,50;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.528,97;1.528,97; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;810,67; n.d. ; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.277,81;1.265,41;1.309,21;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.404,36;1.425,35;1.317,78;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.638,65;1.594,23; n.d. ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.644,59;1.772,45;1.462,49;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.004,54;2.033,37;1.958,74;;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;;;;;
Nazionala/Nacional;ESPAÑA;134.407,60;136.352,03;116.324,14;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;151.664,94;152.764,21;147.297,48;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;114.946,59;117.239,19;93.826,45;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;105.009,51;105.949,27;95.264,44;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;100.776,50;101.517,80;98.808,90;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;182.234,07;175.715,65;325.639,40;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;107.367,64;108.171,00;98.483,54;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;109.977,53;109.204,22;124.670,41;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;99.426,23;99.870,09;96.449,84;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;96.477,47;95.805,45;99.532,67;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;157.036,96;156.420,49;167.274,11;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;81.762,61;82.434,00;74.146,40;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;109.733,68;109.553,42;114.496,57;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;206.952,99;207.581,30;191.318,23;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;81.535,27;85.143,12;63.876,73;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;123.256,25;121.736,28;126.501,89;;;;;;;;
