1.0.-Etxebizitza salerosketak. 2013ko 1. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2013;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;100.768,00;51.990,00;48.778,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.847,00;1.841,00;2.006,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;20.706,00;11.562,00;9.144,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.886,00;1.104,00;1.782,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.880,00;1.074,00;806,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.324,00;1.213,00;1.111,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.056,00;2.315,00;1.741,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.362,00;766,00;596,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;5.411,00;2.926,00;2.485,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;4.844,00;2.942,00;1.902,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;13.636,00;4.752,00;8.884,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.141,00;1.260,00;881,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4.541,00;2.839,00;1.702,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;14.508,00;7.724,00;6.784,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;3.250,00;1.717,00;1.533,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.324,00;582,00;742,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.264,00;907,00;357,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATE/VALENCIA;12.788,00;6.466,00;6.322,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;777,00;507,00;270,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;208,00;85,00;123,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;425,00;78,00;347,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;148,00;29,00;119,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;857,00;365,00;492,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.218,00;674,00;544,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;813,00;519,00;294,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;23,00;4,00;19,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;114,00;19,00;95,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.280,00;491,00;789,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;543,00;206,00;337,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;199,00;164,00;35,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;84,00;60,00;24,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;71,00;52,00;19,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;31,00;20,00;11,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;15,00;n.d.;n.d.;;;;;;
