1.0.-Etxebizitza salerosketak. 2014ko 1. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2014;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Estatukoa/Estatal;ESPAÑA;83.022,00;37.731,00;45.291,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.878,00;931,00;1.947,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;16.336,00;7.855,00;8.481,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.998,00;575,00;1.423,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.188,00;542,00;646,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.540,00;1.166,00;1.374,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.153,00;2.298,00;1.855,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;974,00;495,00;479,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.842,00;1.866,00;1.976,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.152,00;1.531,00;1.621,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;12.190,00;3.882,00;8.308,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.385,00;507,00;878,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.162,00;1.990,00;1.172,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;13.026,00;6.609,00;6.417,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.357,00;1.212,00;1.145,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.188,00;570,00;618,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;657,00;316,00;341,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;11.996,00;5.386,00;6.610,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;328,00;131,00;197,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;281,00;79,00;202,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;513,00;70,00;443,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;76,00;23,00;53,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;730,00;236,00;494,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;904,00;374,00;530,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;361,00;145,00;216,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;15,00;2,00;13,00;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;108,00;36,00;72,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.220,00;322,00;898,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;511,00;137,00;374,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;115,00;79,00;36,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;66,00;42,00;24,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;32,00;19,00;13,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;6,00;4,00;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;9,00;n.d.;n.d.;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;42,00;5,00;37,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;113,00;66,00;47,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;9,00;5,00;4,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;128,00;25,00;103,00;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;97,00;17,00;80,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;8,00;1,00;7,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;34,00;11,00;23,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;114,00;62,00;52,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;50,00;22,00;28,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;20,00;7,00;13,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;91,00;23,00;68,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;15,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;44,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;2,00;n.d.;n.d.;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;59,00;6,00;53,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;70,00;51,00;19,00;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;41,00;20,00;21,00;;;;;;
