1.0.-Etxebizitza salerosketak. 2021eko 4. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 4 trimestre 2021;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Nazionala/Nacional;ESPAÑA;143.982,00;28.555,00;115.427,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;4.803,00;675,00;4.128,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;31.325,00;7.453,00;23.872,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3.508,00;641,00;2.867,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2.388,00;473,00;1.915,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4.792,00;707,00;4.085,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;5.471,00;1.276,00;4.195,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.185,00;350,00;1.835,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;6.481,00;1.329,00;5.152,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;5.954,00;995,00;4.959,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;22.108,00;3.924,00;18.184,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;2.367,00;334,00;2.033,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;5.039,00;1.198,00;3.841,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;18.572,00;4.729,00;13.843,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;5.051,00;835,00;4.216,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.445,00;433,00;1.012,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.169,00;246,00;923,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;21.324,00;2.957,00;18.367,00;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;792,00;63,00;729,00;;;;
Lurraldea/TTHH;GIPUZKOA;1.584,00;224,00;1.360,00;;;;
Lurraldea/TTHH;BIZKAIA;2.427,00;388,00;2.039,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;544,00;62,00;482,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;416,00;55,00;361,00;;;;
Hiriburak/Capitales de TTHH;Bilbao;797,00;111,00;686,00;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;200,00;27,00;173,00;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.116,00;163,00;953,00;;;;
