1.0.-Etxebizitza salerosketak. 2013ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2013;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Nazionala/Nacional;ESPAÑA;79.000,00;32.860,00;46.140,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.555,00;943,00;1.612,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;15.761,00;7.083,00;8.678,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.919,00;582,00;1.337,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.231,00;575,00;656,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.670,00;729,00;941,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4.434,00;2.445,00;1.989,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;902,00;408,00;494,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3.733,00;1.449,00;2.284,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;3.841,00;1.883,00;1.958,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;11.507,00;3.650,00;7.857,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.201,00;429,00;772,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3.151,00;1.760,00;1.391,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;10.760,00;3.686,00;7.074,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.884,00;1.404,00;1.480,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;791,00;287,00;504,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;525,00;199,00;326,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATE/VALENCIA;12.135,00;5.348,00;6.787,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;560,00;280,00;280,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;179,00;72,00;107,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;319,00;40,00;279,00;;;;;;
